sensor,aoi,window,full_slope,full_intercept,n,model_id,fold_n,slope_fold_min,slope_fold_max,slope_fold_median,slope_fold_iqr,slope_fold_sd,intercept_fold_min,intercept_fold_max,intercept_fold_median,intercept_fold_iqr,intercept_fold_sd
landsat,AOI-00,W2022,0.9135300192938256,-0.04315557405183,18588,multi_aoi-2fe0fede1b585c17c8a7,5,0.8816273579586149,0.9325042693472576,0.909157304132186,0.02011687209647328,0.019631669190518862,-0.05263677251975607,-0.02395485917323925,-0.03814589933232171,0.009135234768378853,0.010908982659280612
landsat,AOI-00,W2022_2023,0.8860855093515934,-0.0225508117090089,38144,multi_aoi-4c0e085c837eef32c748,5,0.8657976453231317,0.8897463617862297,0.8868793008326926,0.015000542818741192,0.010665201052959128,-0.02654703839277761,-0.0033227314703841992,-0.02061162054842136,0.0073224294727352035,0.009160364100302196
landsat,AOI-00,W2022_2024,0.8574769860461495,-0.0112924728687063,58330,multi_aoi-22c1fddfb8d877b8125b,5,0.8374992813792124,0.8608995652989307,0.8512390250521377,0.010418046994789099,0.009585535777608359,-0.012732714866820705,0.007509339962731731,-0.008996022664269354,0.0022851602552730332,0.0081567308889022
landsat,AOI-00,W2023,0.8544793879372266,0.0011015203776342,19556,multi_aoi-543ff2c85c4b3fd2c64f,5,0.8448978142824518,0.8616075112364542,0.8492698811616288,0.003031908255476279,0.006549186484876752,0.0018415831704371444,0.007963284732652287,0.004153385723347558,0.002693438421951466,0.0023846511541427175
landsat,AOI-00,W2023_2024,0.8355955161455593,0.0015030395496026,39742,multi_aoi-a6e7fff6cb1a38527b31,5,0.8181300818722643,0.8450877672391168,0.8295139043036764,0.009241664304696084,0.010350196115135065,-0.0034320193013708256,0.016611477669182584,0.005311760934551435,0.007954707742281575,0.007668587129190285
landsat,AOI-00,W2024,0.8213424255681432,-0.0005959104544164,20186,multi_aoi-88c06dd85c5124a7b298,5,0.7807789445560351,0.8220552102727768,0.8206753361663307,0.01068303038389351,0.01764925512275705,-0.0012715300174207522,0.034457496287973566,-0.00029798418661963755,0.005332431738330867,0.015430853505500415
landsat,AOI-01,W2022,0.0880375779596922,-0.0046682387840633,19149,multi_aoi-a6d91658f199c73b0c6a,5,0.06808507440311504,0.11354561057432971,0.10942973042143903,0.011076137463253921,0.018977457161237714,-0.005967724312494663,-0.003524241172441285,-0.005700299170813849,0.0005731421617775363,0.001025466041980181
landsat,AOI-01,W2022_2023,0.0982333219489715,-0.005151154769054,39027,multi_aoi-e961157ed39ff32391fa,5,0.0685468500880657,0.12973669561084566,0.11728078869639211,0.012801598735526123,0.024120251452732694,-0.006801475695323223,-0.003504884557415678,-0.006063207516591541,0.0005923512248010672,0.0012869529493583721
landsat,AOI-01,W2022_2024,0.0986989982091235,-0.0051348132014611,58899,multi_aoi-2c09911f517b431148e3,5,0.0668606444726813,0.13003330422491685,0.11979958870883246,0.010876649714657613,0.024777704329381676,-0.006732090754191184,-0.0034212922477338138,-0.0060801189869199475,0.0005747807228564964,0.00128925577454621
landsat,AOI-01,W2023,0.1095402120280271,-0.005685602641599,19878,multi_aoi-ae4a37a750b8d9fb4be7,5,0.06565094386431103,0.1351593921272836,0.1305291614758287,0.004318448356137705,0.030005677530768212,-0.006982270021952808,-0.003331939769872214,-0.0067010109838099696,0.00029930062776556583,0.0015700919817595266
landsat,AOI-01,W2023_2024,0.1053281495021411,-0.0054324123623114,39750,multi_aoi-17f608c32f85b504a42a,5,0.06697962898333308,0.1345477875958311,0.12491542062651174,0.0065584584469448315,0.027181582364414553,-0.006888454087400844,-0.003380254473745331,-0.006348861070326834,0.00037403872075916084,0.0014088674007535235
landsat,AOI-01,W2024,0.1008082587428436,-0.0051651411704176,19872,multi_aoi-0153b0621f172bff18e4,5,0.06851787866422698,0.128915189156228,0.11751125372118475,0.002642379653207086,0.023765083982332815,-0.0065322452419537625,-0.0034389932772370935,-0.0059819074227745045,9.2038762071916e-05,0.0012167202901358675
landsat,AOI-02,W2022,0.977813455251819,-0.0789307780039256,15357,multi_aoi-00107429b44e2cfa94ff,5,0.9689345918939145,0.9863961601458358,0.9776149504476661,0.005496636097919838,0.0065734050402086845,-0.08116073403262197,-0.07511168691600362,-0.07792239852351335,0.004276601614895237,0.0026252784255656517
