sensor,aoi,slope_min,slope_min_window,slope_max,slope_max_window,slope_range,intercept_min,intercept_min_window,intercept_max,intercept_max_window,intercept_range
landsat,AOI-00,0.8213424255681432,W2024,0.9135300192938256,W2022,0.09218759372568242,-0.04315557405183,W2022,0.0015030395496026,W2023_2024,0.0446586136014326
landsat,AOI-01,0.0880375779596922,W2022,0.1095402120280271,W2023,0.0215026340683349,-0.005685602641599,W2023,-0.0046682387840633,W2022,0.0010173638575356999
landsat,AOI-02,0.977813455251819,W2022,1.0328370889095937,W2023,0.05502363365777474,-0.0883789183777191,W2024,-0.0787494148457917,W2022_2024,0.009629503531927402
landsat,AOI-03,0.8794830332519278,W2022,0.9643769491644604,W2023,0.08489391591253259,-0.077295417037905,W2022_2023,-0.071821972782521,W2024,0.005473444255384
modis,AOI-00,0.9366411712572598,W2024,1.0173301013686742,W2022,0.08068893011141443,-0.1292712163021439,W2022,-0.0907019204451208,W2024,0.03856929585702308
modis,AOI-01,0.0511098817215989,W2024,0.0956840411553286,W2022,0.04457415943372969,-0.0052895165780591,W2022,-0.0028150944328324,W2024,0.0024744221452267
modis,AOI-02,1.0630927316723822,W2022_2023,1.0997951923976506,W2023,0.03670246072526839,-0.1675155461141249,W2023,-0.1303987418442526,W2022_2023,0.037116804269872294
modis,AOI-03,0.942723602090946,W2024,1.029526538347603,W2023,0.08680293625665714,-0.1077609596947245,W2024,-0.1014933143649762,W2022_2024,0.0062676453297483
sentinel2,AOI-00,0.5891133459720407,W2024,0.707277333121073,W2023,0.11816398714903231,0.1106327498096276,W2023,0.1777208634126911,W2024,0.0670881136030635
sentinel2,AOI-01,0.0644525053410461,W2024,0.0761335147128928,W2023,0.011681009371846698,-0.0024567962966337,W2023,-0.002034170005547,W2024,0.00042262629108670005
sentinel2,AOI-02,0.8588536494727442,W2024,0.8812162682571696,W2023,0.02236261878442536,0.0049346707807029,W2022,0.0342253649645554,W2023_2024,0.0292906941838525
sentinel2,AOI-03,0.8222434796223715,W2023_2024,0.8372042917999825,W2022,0.014960812177610916,-0.0373421478103083,W2022,-0.0318448483335401,W2024,0.0054972994767681985
