sensor,aoi,window,fold,slope,intercept,train_n,test_n,train_blocks,test_blocks,model_id,train_years,processing_hash,block_manifest_hash,verified_rmse
landsat,AOI-00,W2022,1,0.8816273579586149,-0.02395485917323925,12190,3022,23,8,multi_aoi-2fe0fede1b585c17c8a7,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05504561320168961
landsat,AOI-00,W2022,2,0.9036290095345929,-0.03805203980519356,12153,3059,23,8,multi_aoi-2fe0fede1b585c17c8a7,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.055099942917656436
landsat,AOI-00,W2022,3,0.9325042693472576,-0.05263677251975607,12188,3024,26,5,multi_aoi-2fe0fede1b585c17c8a7,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.048599581895232696
landsat,AOI-00,W2022,4,0.9237458816310662,-0.04718727457357241,12169,3043,26,5,multi_aoi-2fe0fede1b585c17c8a7,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04775986560651669
landsat,AOI-00,W2022,5,0.909157304132186,-0.03814589933232171,12148,3064,26,5,multi_aoi-2fe0fede1b585c17c8a7,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.0451976820895731
landsat,AOI-00,W2022_2023,1,0.8657976453231317,-0.0033227314703841992,25105,6249,26,5,multi_aoi-4c0e085c837eef32c748,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05212109399007569
landsat,AOI-00,W2022_2023,2,0.8738935574745706,-0.017003484899335564,25084,6270,23,8,multi_aoi-4c0e085c837eef32c748,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.055433994554841895
landsat,AOI-00,W2022_2023,3,0.8868793008326926,-0.024325914372070767,25062,6292,24,7,multi_aoi-4c0e085c837eef32c748,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04678391654469099
landsat,AOI-00,W2022_2023,4,0.8888941002933118,-0.02061162054842136,25105,6249,26,5,multi_aoi-4c0e085c837eef32c748,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.048423540985287804
landsat,AOI-00,W2022_2023,5,0.8897463617862297,-0.02654703839277761,25060,6294,25,6,multi_aoi-4c0e085c837eef32c748,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04680668639986736
landsat,AOI-00,W2022_2024,1,0.8374992813792124,0.007509339962731731,38444,9592,26,5,multi_aoi-22c1fddfb8d877b8125b,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.052074085432236336
landsat,AOI-00,W2022_2024,2,0.8512390250521377,-0.008996022664269354,38403,9633,23,8,multi_aoi-22c1fddfb8d877b8125b,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05461809336407351
landsat,AOI-00,W2022_2024,3,0.850200650765227,-0.00871862082444208,38392,9644,24,7,multi_aoi-22c1fddfb8d877b8125b,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04880489707895441
landsat,AOI-00,W2022_2024,4,0.8608995652989307,-0.011003781079715114,38449,9587,25,6,multi_aoi-22c1fddfb8d877b8125b,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04900313974685568
landsat,AOI-00,W2022_2024,5,0.8606186977600161,-0.012732714866820705,38456,9580,26,5,multi_aoi-22c1fddfb8d877b8125b,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04684948077085487
landsat,AOI-00,W2023,1,0.8466686689773518,0.007963284732652287,12921,3221,25,6,multi_aoi-543ff2c85c4b3fd2c64f,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04620897709343279
landsat,AOI-00,W2023,2,0.8492698811616288,0.003228167795157,12919,3223,26,5,multi_aoi-543ff2c85c4b3fd2c64f,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04630613758668389
landsat,AOI-00,W2023,3,0.8497005772328281,0.005921606217108466,12901,3241,24,7,multi_aoi-543ff2c85c4b3fd2c64f,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.052581136847487074
landsat,AOI-00,W2023,4,0.8448978142824518,0.004153385723347558,12913,3229,24,7,multi_aoi-543ff2c85c4b3fd2c64f,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05114304307514001
landsat,AOI-00,W2023,5,0.8616075112364542,0.0018415831704371444,12914,3228,25,6,multi_aoi-543ff2c85c4b3fd2c64f,2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04306287482212102
landsat,AOI-00,W2023_2024,1,0.8222568061753872,0.011306762008212123,26220,6604,25,6,multi_aoi-a6e7fff6cb1a38527b31,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04759119106487287
landsat,AOI-00,W2023_2024,2,0.8295139043036764,0.005311760934551435,26204,6620,23,8,multi_aoi-a6e7fff6cb1a38527b31,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04998565209803906
landsat,AOI-00,W2023_2024,3,0.8181300818722643,0.016611477669182584,26290,6534,25,6,multi_aoi-a6e7fff6cb1a38527b31,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.054676361853584717
landsat,AOI-00,W2023_2024,4,0.8450877672391168,-0.0034320193013708256,26279,6545,25,6,multi_aoi-a6e7fff6cb1a38527b31,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.048916344838911344
landsat,AOI-00,W2023_2024,5,0.8314984704800833,0.0033520542659305486,26303,6521,26,5,multi_aoi-a6e7fff6cb1a38527b31,2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.04462589836905835
landsat,AOI-00,W2024,1,0.7807789445560351,0.034457496287973566,13360,3322,24,7,multi_aoi-88c06dd85c5124a7b298,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05861128319570811
landsat,AOI-00,W2024,2,0.8218287594572218,-0.001266622170007392,13334,3348,26,5,multi_aoi-88c06dd85c5124a7b298,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.042142160219327006
landsat,AOI-00,W2024,3,0.8206753361663307,-0.0012715300174207522,13328,3354,23,8,multi_aoi-88c06dd85c5124a7b298,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05158611202045618
landsat,AOI-00,W2024,4,0.8111457290733283,0.004065809568323475,13338,3344,25,6,multi_aoi-88c06dd85c5124a7b298,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.044145691521379316
landsat,AOI-00,W2024,5,0.8220552102727768,-0.00029798418661963755,13368,3314,26,5,multi_aoi-88c06dd85c5124a7b298,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,0.05042200576199677
