sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12190,3022,23,8,0.055045613201689506,0.045297806022224184,-0.006869483604664618,0.7599685787920174,0.8822875112849331,3022
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12153,3059,23,8,0.055099942917656464,0.04427738584244177,-0.010120593337468972,0.7068329480189834,0.8470546856914911,3059
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12188,3024,26,5,0.048599581895232793,0.03893044838335043,0.005037904133617716,0.7622336047962133,0.8809936631700334,3024
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12169,3043,26,5,0.04775986560651673,0.03825042324659967,0.005529417259533059,0.7238164109467408,0.8557903870386475,3043
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12148,3064,26,5,0.04519768208957311,0.035771906702342565,0.006179469953935942,0.7805450191688251,0.8858104339955988,3064
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12921,3221,25,6,0.046208977093432774,0.03746884682683376,0.004899643443296301,0.7920425394528563,0.8913909729826033,3221
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12919,3223,26,5,0.0463061375866839,0.03651419148419278,-0.010586886938162678,0.8177039379273141,0.9095356222034925,3223
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12901,3241,24,7,0.052581136847487074,0.043702785499910635,0.004242152232733796,0.6536276656556694,0.8098929880147719,3241
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12913,3229,24,7,0.05114304307513999,0.041651479281922116,-0.019752061507506417,0.8175558436548527,0.9198895122756402,3229
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12914,3228,25,6,0.04306287482212108,0.035261955581571254,0.021478756361774643,0.5230743637116457,0.8050668101939362,3228
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13360,3322,24,7,0.05861128319570824,0.05181297538918235,0.04007404837044413,0.5233060925602466,0.8638241152043001,3322
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13334,3348,26,5,0.042142160219327,0.03278935557898345,-0.008128327492031956,0.47142456418172063,0.7223865753933302,3348
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13328,3354,23,8,0.051586112020456175,0.04335954669938121,-0.011787521020714639,0.5787649902602461,0.7777171544262246,3354
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,13338,3344,25,6,0.044145691521379336,0.03487758415369984,-0.015437677823429289,0.8076073006155667,0.911676782041296,3344
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,13368,3314,26,5,0.05042200576199681,0.04030590268725423,-0.0026106770028205715,0.7405437840177731,0.8615699989739348,3314
