sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,16142,15212,0.05104710751612009,0.04108600127351463,0.008157138786016134,0.7443840749614667,0.8684032363473682,15212.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,15212,16142,0.04808137336586587,0.038436500911688716,-0.006874150859004776,0.7633150257941429,0.8785881064357605,16142.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16682,16142,0.05232864937050381,0.04214710999987788,-0.022282803655116774,0.719652936930186,0.8785881064357605,16142.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,16142,16682,0.05312861741551547,0.04312736212982906,0.022438779858129764,0.6706816119742439,0.854928760236539,16682.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,32824,15212,0.05072348171094102,0.04131500546892319,-0.002768845965089014,0.7476148823154416,0.8684032363473677,15212.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,31894,16142,0.04972207599561662,0.03990694887559806,-0.015635690857210914,0.7468864087649104,0.8785881064357607,16142.0
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31354,16682,0.052045339708564876,0.042190948553029704,0.018941071113136698,0.683974121265498,0.8549287602365392,16682.0
