sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,20251,39,0.048603633977158264,0.0390026305283236,-0.008582035576081925,0.7553387468902047,0.8753008071620672,0.9135300192938239,-0.043155574051829015,18588,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,20251,39,0.04762266100500571,0.03888538516377697,-0.0031412794403349585,0.7651151369039468,0.8753008071620668,0.8544793879372277,0.001101520377633558,19556,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,20251,39,0.0545914869893199,0.04345535278618511,-0.026620959027305754,0.6913419838552175,0.8753008071620669,0.8213424255681432,-0.0005959104544164262,20186,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20251,39,0.04797847843903021,0.03885990272724082,-0.006017645668735901,0.761592093412617,0.8753008071620667,0.8860855093515876,-0.022550811709005414,38144,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20251,39,0.049926472844575305,0.040243570083724686,-0.015152883361565063,0.7418396842401007,0.8753008071620672,0.8355955161455597,0.001503039549602292,39742,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20251,39,0.049415798650931916,0.03980078399718756,-0.013564831734708587,0.7470938734763883,0.8753008071620668,0.8574769860461439,-0.01129247286870283,58330,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2022,2025,W2022,20256,39,0.03889813513789912,0.03089101833362958,-0.0014362570745861168,0.8441264220036429,0.9189381442753434,1.017330101368674,-0.12927121630214378,20256,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2023,2025,W2023,20256,39,0.03894582056077904,0.03113521270455069,0.000590767754635356,0.8437440153165499,0.9189381442753435,0.9776553074753385,-0.10019273470351509,20256,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2024,2025,W2024,20256,39,0.04322787930996633,0.033662001055006927,-0.0178830782652512,0.8074946500900884,0.9189381442753434,0.9366411712572597,-0.09070192044512082,20256,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,20256,39,0.03886779317865011,0.030956751110787044,-0.0005844996046531685,0.8443695012741552,0.918938144275343,0.9987877562275811,-0.11577673536057209,40512,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,20256,39,0.04002219403667396,0.03149873150648692,-0.008592155694393184,0.8349875435964995,0.9189381442753426,0.9587941745582006,-0.09651557567544966,40512,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,20256,39,0.03950793246460967,0.0311795790203666,-0.006579829909268814,0.8392009241772144,0.9189381442753431,0.9752383787223426,-0.10571539832012011,60768,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,19233,39,0.06308343981644993,0.0511500297482147,-0.024877656761756368,0.5854783780908996,0.8066320310505877,0.6763205577731769,0.129900026751049,18240,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,19233,39,0.06350782020040742,0.05127618848671226,-0.025287796097400665,0.5798824067749909,0.8066455321378101,0.7072773331210739,0.11063274980962717,20246,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,19233,39,0.06578042869613936,0.05366386427684623,-0.030175287594914956,0.5492768605473178,0.806626166995203,0.5891133459720425,0.17772086341269006,15819,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,19233,39,0.06316960092734038,0.051110432139992654,-0.02480483813253261,0.5843452745618675,0.806639784124543,0.6930856764475316,0.11976048729312466,38486,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,19233,39,0.06369246253404053,0.051737672263908636,-0.026505884948907207,0.5774359597685463,0.8066261669952028,0.6589835714426328,0.13883223549832757,36065,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,19233,39,0.06351907062745761,0.05157105451348401,-0.026067722528482853,0.57973354570652,0.8066261669952032,0.6639249242787709,0.13626061451539856,54305,39
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,14738,35,0.0013951280046526457,0.0005133119633503604,-2.664649155740528e-05,0.33357066162505344,0.6635350736346484,0.08803757795969216,-0.004668238784063382,19149,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,14738,35,0.0013556186888521902,0.0006013871447245712,0.0001330803360065228,0.3707820696504033,0.6489570632237299,0.10954021202802688,-0.005685602641599026,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,14738,35,0.0013752216480642538,0.0006170496079467352,0.00013499608549721995,0.35245285149110306,0.6404183852649141,0.10080825874284381,-0.0051651411704176945,19872,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,14738,35,0.001371301019870921,0.0005540147435389915,4.798856368002908e-05,0.3561397810590148,0.6558753778521152,0.09823332194897134,-0.005151154769054026,39027,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,14738,35,0.0013650952252453115,0.0006097352173020421,0.00013511322434131795,0.3619541472415114,0.6447416215787847,0.10532814950213998,-0.005432412362311426,39750,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,14738,35,0.0013724223382514992,0.0005738149403587609,7.48029758357367e-05,0.3550863763471578,0.6505171709492448,0.09869899820912302,-0.005134813201461079,58899,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022,2025,W2022,19878,35,0.001397499490881553,0.0005742492357957358,0.00015611614524900714,0.35691995820334477,0.6717992420444376,0.09568404115532889,-0.005289516578059205,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2023,2025,W2023,19878,35,0.001417752879164556,0.000520380690066837,6.465544643525597e-05,0.3381450969537688,0.6830310593402361,0.08499479997597836,-0.004755377108064158,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2024,2025,W2024,19878,35,0.0015301914218663617,0.000472833643629273,-7.073827276235545e-05,0.22900201919717766,0.6684975744159359,0.05110988172159862,-0.0028150944328324307,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,19878,35,0.0014088636621423366,0.0005436925003089315,0.0001032394336561506,0.34641865122382653,0.6773116880380182,0.08915047558027024,-0.004957849780149058,39756,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,19878,35,0.0014734826564928444,0.0004930812955601767,-1.0024037016670507e-05,0.2850893423852696,0.6778159407140038,0.06687752754099957,-0.003721207230210428,39756,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,19878,35,0.0014507230444003498,0.0005119764291834613,2.9472812236951354e-05,0.30700398991242395,0.67633110417069,0.07394526946946699,-0.004107939125663433,59634,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,19878,35,0.0013242617680480906,0.0003503229565036344,-0.00017096513148891695,0.4225566335891384,0.8388369819179756,0.07362300075882314,-0.0021717558867151822,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,19878,35,0.0013406903172037132,0.0003160819077190377,-0.00022543370822596117,0.40814044911057146,0.8477522178176643,0.07613351471289263,-0.002456796296633734,19729,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,19878,35,0.0013951338201383292,0.0003259507115386897,-0.0002328025825148481,0.3590953121375866,0.847070334112051,0.06445250534104657,-0.0020341700055471106,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,19878,35,0.0013385107182646648,0.0003311674644508636,-0.00020266468241356535,0.41006329113331086,0.8451722141893859,0.07344932199686435,-0.002264588496996636,39607,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,19878,35,0.00136588981203299,0.00032074658937208825,-0.000228727375775698,0.38568227531703825,0.8475791954719453,0.07062203909620082,-0.002255905685942124,39607,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,19878,35,0.001356886197757387,0.00032877467150374914,-0.00021348529837729907,0.39375444924926584,0.8460051752069496,0.07057365270261863,-0.0021946778130681245,59485,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022,2025,W2022,7600,36,0.05642310551500825,0.04348660536374903,0.0022533289255758375,0.8639456084714267,0.9296188720290791,0.9778134552518261,-0.07893077800392967,15357,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2023,2025,W2023,7600,36,0.06222378910802781,0.048437379704946326,0.025358246386220862,0.834532959139618,0.9296188720290794,1.032837088909597,-0.0879505108267955,2686,15
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2024,2025,W2024,7600,36,0.0583223975344482,0.04488035725039942,0.014264307424891954,0.8546318277236518,0.929618872029079,1.0145689898668873,-0.0883789183777191,1542,30
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,7600,36,0.05713461974428641,0.043949884408055556,0.009139457611867999,0.8604925902778103,0.9296188720290789,0.9954864633534574,-0.08236274659659426,10105,15
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,7600,36,0.06219502373587679,0.048449109866970284,0.025602732658025023,0.8346859109573714,0.9296188720290791,1.0243341535316377,-0.08274172453985307,3407,14
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,7600,36,0.057400593643264226,0.04419814090768831,0.010745809036536635,0.8591906932319451,0.9296188720290797,0.9920488741735296,-0.07874941484579145,10599,14
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022,2025,W2022,16568,38,0.054210033999200866,0.04253909924146712,0.025450760718920582,0.8962245981261973,0.9587675512983144,1.078681878766541,-0.13234187945151143,18558,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2023,2025,W2023,16568,38,0.04815328002495216,0.03699569261896538,0.002930327431786301,0.9181183068195169,0.9588053085050113,1.099795192397648,-0.16751554611412312,9553,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2024,2025,W2024,16568,38,0.05466239871200012,0.0429658917080638,0.02639474157400859,0.8944854294225391,0.9587673277944571,1.0791666078148952,-0.13168707625999154,17909,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,16568,38,0.05113166631909233,0.03972975723742741,0.01808823567334529,0.9076759267841009,0.9587675416927948,1.0630927316723782,-0.1303987418442502,27583,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,16568,38,0.051293723372446205,0.039809926337493924,0.01849344613966689,0.9070897742762097,0.9587698393509924,1.0751804582260727,-0.13721088922672808,27078,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,16568,38,0.05236187173232956,0.04083741555911612,0.021306404149102287,0.9031799306167723,0.9587677386349787,1.0712191511930491,-0.13203164389488253,45108,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,18534,38,0.06055032605637683,0.046709500239206635,-0.016032810843491375,0.8735199262236242,0.9394120392862397,0.8720815584970345,0.004934670780700923,18847,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,18534,38,0.060507765973717084,0.04704119491717348,0.015590138274696018,0.8736976663258489,0.9394120392862396,0.8812162682571705,0.0317363714769483,7586,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,18534,38,0.058608124197518055,0.04532243195480063,0.0053160967710666855,0.8815037023381759,0.9394120392862398,0.8588536494727403,0.03326519436156583,18284,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,18534,38,0.058854149333965114,0.04525727678961271,-0.007124335469310366,0.8805067669281803,0.9394120392862395,0.8767085097180858,0.011401067330414183,26061,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,18534,38,0.058888992705033096,0.04557792733028711,0.007856088726505828,0.8803652380953709,0.9394120392862403,0.8618469010674559,0.03422536496455547,25498,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,18534,38,0.05844175711529513,0.04501297827989677,-0.002545979717764696,0.8821754830274436,0.9394120392862398,0.8715566589278743,0.018698540946084308,43973,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022,2025,W2022,14402,35,0.03525327081797779,0.02538619069676907,8.771279047054662e-05,0.8784288833879977,0.9373203389781677,0.8794830332519158,-0.07694415233456675,16230,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2023,2025,W2023,14402,35,0.04237940869529898,0.03360818044786373,0.022058142171610624,0.824312300217055,0.9371070493023292,0.9643769491644596,-0.07494910528627169,11178,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2024,2025,W2024,14402,35,0.035961685341230364,0.026941335824254547,0.0069854839562236044,0.8734938483724931,0.9371623823119505,0.88728595321007,-0.07182197278252117,15551,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,14402,35,0.036531434467306244,0.027488200078244634,0.009048717564997076,0.8694535631114149,0.9372269641581725,0.919049435471815,-0.07729541703790482,27408,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,14402,35,0.03771433250236858,0.029040264709949398,0.013033995780367394,0.8608624274020509,0.9371285156581722,0.9150460019278209,-0.07232176131147353,26729,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,14402,35,0.03624529886394073,0.027231689080630398,0.008191369113455544,0.8714905865617243,0.9372000064427645,0.906043527373167,-0.07506609062152636,42959,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022,2025,W2022,17860,35,0.029232283804308132,0.02339651934632835,0.011241532508910993,0.9191402203765805,0.9660073923688988,0.9880589113373794,-0.10338806817692914,18858,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2023,2025,W2023,17860,35,0.03337330731418148,0.027551983665077724,0.020122363933461472,0.8946085072647206,0.9658999345079083,1.029526538347602,-0.10482926625998135,17967,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2024,2025,W2024,17860,35,0.028290118730593804,0.020383211338155644,-0.004259977231123546,0.9242684926887692,0.9665808317963146,0.9427236020909477,-0.10776095969472507,18695,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,17860,35,0.03099212169776224,0.025227746680105242,0.015765944752032343,0.9091113447140328,0.9659726382091828,1.013409608062736,-0.10518345600012355,36825,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,17860,35,0.02839886142126697,0.02227031976687724,0.007351475658778202,0.923685174149881,0.9660369316900694,0.9656633406731713,-0.10169441721820027,36662,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,17860,35,0.028648816881596095,0.02263503895502256,0.008546520200180503,0.9223358768123575,0.9660086616446912,0.969677813581062,-0.10149331436497588,55520,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,18857,35,0.03951876065417723,0.027358606903054028,-0.0020530110517563206,0.8492832978981006,0.9221149698776738,0.8372042917999801,-0.037342147810307924,19267,35
