sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,15212,3376,8,0.04627499680787524,0.037076322799345966,0.006043518124063268,0.7685607404712403,0.8791360593603608,3376
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,16142,3414,8,0.045457594588056094,0.03687991738289489,0.005429430617770478,0.7591318922635373,0.87366977463134,3414
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,16682,3504,8,0.048877120590333216,0.04064727226036883,0.007287911791370943,0.7220253631793048,0.8547512925364436,3504
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,31354,6790,8,0.04611388004274266,0.03713995262495488,0.0058715685434542865,0.7672893231026496,0.878496222558419,6790
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,32824,6918,8,0.048752216008629654,0.03965445737465311,0.006350203342950918,0.7260093498517476,0.8554929969956013,6918
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,48036,10294,8,0.04808211230306101,0.03901522910044784,0.006284640663895003,0.7418675488525792,0.8643897391898067,10294
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2022,2025,W2022,16719,3537,8,0.04267010449365739,0.03399336067589335,0.002373310884512985,0.8149708613805443,0.9035832292396743,3537
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2023,2025,W2023,16719,3537,8,0.03584447765459104,0.02936769962208272,0.005769321042080134,0.8632691660245071,0.9324624458796488,3537
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2024,2025,W2024,16719,3537,8,0.043247983274269944,0.03491110031558023,0.0014204470773358704,0.7906346151033375,0.8907227259368676,3537
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,33438,7074,8,0.03936403124863361,0.03156681459097765,0.004165798753866167,0.842550041970295,0.9197005106677976,7074
