sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,20186,39,0.053372821640600206,0.04341159041091879,0.022798545199474295,0.6678986397181748,0.854214516503917,20186,0.8544793879372277,0.001101520377633558,19556,39,3.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,20186,39,0.05223999101389096,0.042438171784594685,0.01927251121001152,0.681846639084756,0.8542145165039171,20186,0.8860855093515876,-0.022550811709005414,38144,39,2.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,20186,39,0.051940682604834476,0.04222499940610405,0.01914394081990228,0.6854819068708962,0.8542145165039169,20186,0.8582634149850352,-0.004962694955889635,56238,39,1.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20251,39,0.0545914869893199,0.04345535278618511,-0.026620959027305754,0.6913419838552175,0.8753008071620669,20251,0.8213424255681432,-0.0005959104544164262,20186,39,3.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20251,39,0.049926472844575305,0.040243570083724686,-0.015152883361565063,0.7418396842401007,0.8753008071620672,20251,0.8355955161455597,0.001503039549602292,39742,39,2.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20251,39,0.049415798650931916,0.03980078399718756,-0.013564831734708587,0.7470938734763883,0.8753008071620668,20251,0.8574769860461439,-0.01129247286870283,58330,39,1.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,20256,39,0.04563912665302202,0.03737105013442319,0.017348173704043228,0.7595941942574853,0.8921070756870437,20256,0.9776553074753385,-0.10019273470351509,20256,39,3.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,20256,39,0.04518691537902299,0.03692110115536867,0.015595780097063175,0.7643346716066606,0.8921236198273842,20256,0.9987877562275811,-0.11577673536057209,40512,39,2.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,20256,39,0.044334289207599645,0.03618626433174195,0.013570610851277382,0.773144244993907,0.8921089734613146,20256,0.9767703732946299,-0.10339140102452182,60760,39,1.0
spatial_aggregation_order,primary_ndvi_first,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,20256,39,0.04322787930996633,0.033662001055006927,-0.0178830782652512,0.8074946500900884,0.9189381442753434,20256,0.9366411712572597,-0.09070192044512082,20256,39,3.0
