sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2024,1y_vs_2y,1,2,39,0.0005286225411212722,1.7346178420856642,0.09091450227813071,0.09091450227813071,False
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.0009635730972747269,3.3790345667763395,0.0016928115397253694,0.003385623079450739,True
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.0004349505561534547,4.161704684608231,0.00017426471481408082,0.0005227941444422425,True
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.0032184961539328716,3.4617101219889883,0.0013426168754081345,0.004027850626224403,True
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.003417338086090541,3.0575190181859564,0.004073467621919592,0.008146935243839184,True
spatial_aggregation_order,reflectance_first,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.00019884193215767023,0.9568232336378115,0.34470457562167095,0.34470457562167095,False
spatial_aggregation_order,reflectance_first,AOI-00,modis,2024,1y_vs_2y,1,2,39,0.00023211502676919802,1.2763141035608363,0.20959013788213463,0.20959013788213463,False
spatial_aggregation_order,reflectance_first,AOI-00,modis,2024,1y_vs_3y,1,3,39,0.0010852416611180397,3.142032598973355,0.0032461117887997255,0.006492223577599451,True
spatial_aggregation_order,reflectance_first,AOI-00,modis,2024,2y_vs_3y,2,3,39,0.0008531266343488416,3.824144545904452,0.00047405990273954385,0.0014221797082186315,True
spatial_aggregation_order,reflectance_first,AOI-00,modis,2025,1y_vs_2y,1,2,39,0.0022837669237227064,3.160741471813656,0.003085829486436575,0.009257488459309725,True
spatial_aggregation_order,reflectance_first,AOI-00,modis,2025,1y_vs_3y,1,3,39,0.0025323019000296357,2.7762785502024703,0.008487661097128247,0.016975322194256494,True
spatial_aggregation_order,reflectance_first,AOI-00,modis,2025,2y_vs_3y,2,3,39,0.0002485349763069294,1.2758463922864576,0.209753713201957,0.209753713201957,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2024,1y_vs_2y,1,2,39,0.0006260882953875402,2.3566186149078816,0.02369928689780913,0.07109786069342738,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2024,1y_vs_3y,1,3,39,0.00028418735549237906,0.2499778080888726,0.8039510199871656,1.0,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2024,2y_vs_3y,2,3,39,-0.00034190093989516123,-0.38324952221844705,0.7036704990759587,1.0,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2025,1y_vs_2y,1,2,39,0.00022831109786406738,0.33598365222050935,0.7387313782000218,1.0,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2025,1y_vs_3y,1,3,39,0.0005036904527419375,0.6778722104716646,0.5019596657218632,1.0,False
spatial_aggregation_order,reflectance_first,AOI-00,sentinel2,2025,2y_vs_3y,2,3,39,0.00027537935487787006,3.3687737695918676,0.001741931403758931,0.005225794211276793,True
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2024,1y_vs_2y,1,2,35,3.526659117845508e-05,2.7499701990564156,0.009478537343110036,0.009478537343110036,True
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2024,1y_vs_3y,1,3,35,5.0722289563029614e-05,3.1173072458669178,0.0037006738664452986,0.007401347732890597,True
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2024,2y_vs_3y,2,3,35,1.5455698384574523e-05,4.359224377893794,0.00011436852643078052,0.00034310557929234154,True
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2025,1y_vs_2y,1,2,35,8.785894159152685e-06,2.6680892137205583,0.011602332559223097,0.03480699767766929,True
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2025,1y_vs_3y,1,3,35,2.0253873505448475e-05,2.17553961639653,0.03663559067095155,0.0732711813419031,False
spatial_aggregation_order,reflectance_first,AOI-01,landsat,2025,2y_vs_3y,2,3,35,1.1467979346295789e-05,0.9305345077556598,0.3586548173040144,0.3586548173040144,False
spatial_aggregation_order,reflectance_first,AOI-01,modis,2024,1y_vs_2y,1,2,35,-2.0843178562475187e-05,-5.524339305465276,3.5770104637792125e-06,1.0731031391337637e-05,True
spatial_aggregation_order,reflectance_first,AOI-01,modis,2024,1y_vs_3y,1,3,35,1.8473797255347007e-05,4.65070026449786,4.851070495250882e-05,4.851070495250882e-05,True
spatial_aggregation_order,reflectance_first,AOI-01,modis,2024,2y_vs_3y,2,3,35,3.93169758178222e-05,5.078776465092575,1.3577650307536439e-05,2.7155300615072877e-05,True
spatial_aggregation_order,reflectance_first,AOI-01,modis,2025,1y_vs_2y,1,2,35,1.912598211163932e-05,1.146385327909564,0.2596399718733223,0.7789199156199669,False
spatial_aggregation_order,reflectance_first,AOI-01,modis,2025,1y_vs_3y,1,3,35,1.9122525128017002e-05,0.7760182511433825,0.44310311701390115,0.8862062340278023,False
spatial_aggregation_order,reflectance_first,AOI-01,modis,2025,2y_vs_3y,2,3,35,-3.456983622315376e-09,-0.00043336281848671836,0.9996567592733046,0.9996567592733046,False
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2024,1y_vs_2y,1,2,35,-4.135178626477652e-05,-9.294396179970532,7.341829375806833e-11,1.4683658751613667e-10,True
