sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12190,3022,23,8,0.05467638781714475,0.0445370771509133,-0.008332405314947031,0.7631778612273723,0.8835432587305808,3022
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12153,3059,23,8,0.05398410197261122,0.0432867104614061,-0.009914873800885217,0.7185866963905654,0.8539442705599399,3059
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12188,3024,26,5,0.04787083371113834,0.03851476671069712,0.0062255949175814345,0.7693107326660598,0.8845088439039759,3024
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12169,3043,26,5,0.04706585965571304,0.03768907422866347,0.0066856926402534406,0.7317846259569235,0.8605901696285703,3043
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12148,3064,26,5,0.044652111153690416,0.0353983495494607,0.005193142386599506,0.7858110260739318,0.8881540939340841,3064
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12921,3221,25,6,0.04589144987159144,0.03688311938655682,0.0040934625291898915,0.7948906995842822,0.8925051396811101,3221
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12919,3223,26,5,0.046513284884161246,0.036465879267219815,-0.009620023961143677,0.8160693122935587,0.9077569884479709,3223
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12901,3241,24,7,0.05144146392246742,0.04281542672203449,0.004169086468605484,0.6684798794405314,0.8191916249095258,3241
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12913,3229,24,7,0.05027557233610185,0.04081997202991306,-0.01838421301745134,0.8236924651651351,0.9214109682044134,3229
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12914,3228,25,6,0.04187448319824927,0.034216116990864104,0.020026390581007872,0.5490342603663917,0.813483350800148,3228
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13360,3322,24,7,0.056185076794936714,0.04949416520394454,0.037693934108573766,0.5619546246540656,0.8715820742910922,3322
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13334,3348,26,5,0.04226622428811958,0.03258583405737701,-0.007990334733990315,0.4683077924429473,0.7214029482586948,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13328,3354,23,8,0.05119403723786142,0.042722704766911285,-0.011055165492192884,0.585143761386844,0.7791652176790219,3354
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,13338,3344,25,6,0.044761820570601005,0.03530176227737112,-0.015168079919282035,0.8021994824224448,0.9082921297492378,3344
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,13368,3314,26,5,0.049224705305298024,0.039349378431134945,-0.0013718452849559666,0.7527193725132936,0.8679064254323267,3314
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1,25105,6249,26,5,0.05029020439656973,0.041758440837905975,0.0259692782935936,0.7020265883896184,0.8840789007473715,6249
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,2,25084,6270,23,8,0.054635990933532746,0.04432176212872709,-0.015609551673576015,0.6187378405735584,0.8063137342404191,6270
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,3,25062,6292,24,7,0.04588349552772765,0.03598834147523808,-0.010094152608822713,0.8457012805480394,0.9237059790517924,6292
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,4,25105,6249,26,5,0.048132839230997426,0.039581930194362444,0.013696957568129844,0.6923112735322532,0.8482873492520346,6249
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,5,25060,6294,25,6,0.046966651007356024,0.03652767229556084,-0.01348675000251439,0.7745168248379176,0.8925904002775964,6294
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,1,26220,6604,25,6,0.04680426486323388,0.038445112864760045,0.0007272549383690313,0.7770094692250038,0.8825682381808537,6604
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,2,26204,6620,23,8,0.05002092655621407,0.04008688456709876,-0.006857430823094455,0.6421173826462429,0.8061986524214224,6620
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,3,26290,6534,25,6,0.053568148327771514,0.044128138004461505,0.014778768653544909,0.7766680536615124,0.8910261081906955,6534
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,4,26279,6545,25,6,0.04814166422205521,0.038681347658046324,0.0005293933378307917,0.6664976741323183,0.8210128849235105,6545
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,5,26303,6521,26,5,0.04445446638620027,0.035027803243332635,-0.008370096882333278,0.7345820507270076,0.8627851946261605,6521
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,1,38444,9592,26,5,0.050422176071000795,0.04196253475206427,0.02375543334184602,0.6881028231162178,0.870355614638197,9592
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,2,38403,9633,23,8,0.05398244455330988,0.04369564508460219,-0.013746916367538315,0.6078255742681558,0.7958487421150389,9633
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,3,38392,9644,24,7,0.047990076850002505,0.037855416026991974,-0.014335746867608955,0.8313626851626911,0.9201564359381609,9644
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,4,38449,9587,25,6,0.04869575434863139,0.039696835943482174,0.007690020004685353,0.7036578547977446,0.8440611625310822,9587
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,5,38456,9580,26,5,0.046892832152066,0.037268193972929214,-0.002731578318319592,0.7437391744979198,0.86437656465394,9580
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,1,13371,3348,24,7,0.04358917660766793,0.03579555793188473,0.021461669841951303,0.771998257222475,0.9097995088209859,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,2,13371,3348,26,5,0.039156505526342006,0.02939608777750339,0.0029561450457423807,0.5923771813224489,0.7820613816638758,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,3,13386,3333,24,7,0.04714255827555058,0.03897035372005351,0.0032810405565323157,0.6537020581218145,0.809810555672143,3333
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,4,13356,3363,25,6,0.03966454555393648,0.03106199760069416,-0.01274345693125143,0.8590022445216933,0.9350633323956006,3363
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,5,13392,3327,25,6,0.04541376992714214,0.03506862448957228,-0.01194161681755424,0.8199411998376427,0.9125034127442828,3327
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,1,13371,3348,24,7,0.038350574772534125,0.03045747533411282,0.01749198428816315,0.8113174237740512,0.9255901064689742,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,2,13371,3348,26,5,0.032438123275758485,0.026078285871216147,0.007417956351839131,0.7737340076779526,0.8884978019128992,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,3,13386,3333,24,7,0.04038217186671251,0.032897970375272235,-0.0006973804406068557,0.7391716413557892,0.8631426142543025,3333
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,4,13356,3363,25,6,0.03536215218374688,0.027438535942437156,-0.008061578974253287,0.904363852712547,0.9537277596236841,3363
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,5,13392,3327,25,6,0.0429732404094237,0.034100802713295554,-0.01551550175029541,0.8405887643930133,0.9281712083453121,3327
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,1,13371,3348,24,7,0.04752283010825594,0.0400914514315979,0.028478302146324005,0.6879096838351488,0.8956072383609062,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,2,13371,3348,26,5,0.03325652784986344,0.02629315303628693,0.00408249090719179,0.6708247317508087,0.8278446905844223,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,3,13386,3333,24,7,0.04185948877613452,0.034236100092188866,-0.0086940609714845,0.6968474170331864,0.844427982835728,3333
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,4,13356,3363,25,6,0.041519799174620856,0.03322365629700935,-0.008211440020616715,0.837880458132106,0.9191217295122825,3363
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,5,13392,3327,25,6,0.0460262214900312,0.037354981996948776,-0.014104506790926306,0.7831589584279603,0.896494095831162,3327
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,1,26742,6696,24,7,0.04129690915837087,0.03327644830439227,0.019481290722787453,0.798079875911422,0.9191109118777524,6696
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,2,26742,6696,26,5,0.03590339527273665,0.027599508489860064,0.005238380750203695,0.6967435165584249,0.8441847314598364,6696
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,3,26772,6666,24,7,0.04390175707397924,0.03593508814638401,0.0012370943695601945,0.7012433470106593,0.8391110069022728,6666
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,4,26712,6726,25,6,0.03744310820593035,0.02910167897793804,-0.010430610720427301,0.8847796361738097,0.9454113300142645,6726
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,5,26784,6654,25,6,0.04438716698217263,0.034718952795105035,-0.01372587333156457,0.8320578532677907,0.9210679602172623,6654
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,1,26742,6696,24,7,0.04449613516578892,0.03607663627414033,0.02290300113609838,0.740100642923563,0.901949372019372,6696
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,2,26742,6696,26,5,0.03394205464748811,0.026968398619586453,0.005704297681451603,0.721513724452769,0.8566641506900168,6696
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,3,26772,6666,24,7,0.04143477253709239,0.033914698247391184,-0.004709024128535459,0.7173920166926864,0.8517604894592453,6666
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,4,26712,6726,25,6,0.03975108078971254,0.031302799453671246,-0.008094305119330833,0.8674752970468951,0.9343343839079978,6726
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,5,26784,6654,25,6,0.04556408596086899,0.03663117663666161,-0.014833855200769646,0.8069060862739346,0.9096006460537872,6654
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,1,40113,10044,24,7,0.04449551785875577,0.03626073809672799,0.022801916643684153,0.7538408252255471,0.9061466651736324,10044
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,2,40113,10044,26,5,0.03597829535780226,0.02823655285753586,0.0045208005225650955,0.6774008350672998,0.8313808507862894,10044
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,3,40158,9999,24,7,0.04325300837130352,0.03552537082283633,-0.0022247867925325464,0.6998111538451863,0.8387056255965707,9999
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,4,40068,10089,25,6,0.03995969594064711,0.03145012534542866,-0.009747590128798835,0.8632463929168854,0.9335797311474645,10089
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,5,40176,9981,25,6,0.04556899617810409,0.036296834229868465,-0.01372672485368391,0.812572849401961,0.9108355592391778,9981
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,1,12071,3015,25,6,0.05326595093204508,0.040605279505642466,0.0006952507550996352,0.5867763070900659,0.769025258208925,3015
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,2,12069,3017,26,5,0.06736815474277262,0.05765951133194113,-0.003616274622315454,0.6416584078858245,0.8115053910303579,3017
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,3,12058,3028,25,6,0.05414225482713767,0.04326169766172395,0.013548307405180956,0.6019247821064073,0.8025261478094387,3028
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,4,12075,3011,24,7,0.06654380416571465,0.052531121974423334,-0.0065465068013010825,0.6565487034037412,0.8129388522764492,3011
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,5,12071,3015,24,7,0.06535977846557388,0.05316859867121495,-0.003953848324174515,0.5945437090132184,0.7721456524669514,3015
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,1,13353,3360,24,7,0.04889851849246325,0.041622792097942785,0.03254773372787878,0.6939501160676349,0.9112146140694019,3360
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,2,13365,3348,26,5,0.03545747963026599,0.02742758620297033,-0.00451229639240814,0.7296517461471015,0.8627504334096427,3348
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,3,13380,3333,24,7,0.04368176161161021,0.03612783863153219,-0.007497903371132544,0.6948061684268165,0.8397964637763352,3333
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,4,13368,3345,25,6,0.042652531851557096,0.03244576422122674,-0.015223208936202815,0.8544258955353036,0.9344206796432778,3345
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,5,13386,3327,25,6,0.049082244428535905,0.0395423074429211,-0.00402467383451048,0.7920439547384518,0.8916562034252153,3327
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,1,10132,2555,25,6,0.06828388008053436,0.05626137250419387,-0.0032230298797955846,0.5000418640539936,0.7083207204333613,2555
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,2,10152,2535,25,6,0.05325097278181665,0.04141451146178433,0.003699691518029393,0.4595412392912186,0.7078088632093864,2535
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,3,10142,2545,24,7,0.06490336882173534,0.05059919711790433,-0.003583669344869382,0.5868284410491783,0.7668758846999661,2545
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,4,10161,2526,26,5,0.05850648747757243,0.045841682719092336,-0.014496054889563402,0.6174665941725181,0.8011371041228041,2526
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,5,10161,2526,24,7,0.05731877929727419,0.04610067390619322,0.017517778249421512,0.6220199571771582,0.8153336472435927,2526
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,1,25391,6408,24,7,0.05832252638699069,0.04897884710478329,0.01733348568339512,0.7286866747791336,0.8747817187348224,6408
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,2,25437,6362,26,5,0.04813648394129686,0.03592939311571496,-0.021112914559995675,0.6704070114234006,0.861609628594519,6362
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,3,25452,6347,23,8,0.053153268719573106,0.041604409087860714,-0.0033886146750103895,0.6320231003901731,0.798098949015795,6347
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,4,25455,6344,25,6,0.051410662636710985,0.0411185514056693,0.011955518360455768,0.6250394309832759,0.8232901050745607,6344
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,5,25461,6338,26,5,0.05620103421363905,0.04415791796117554,-0.003976275990635091,0.7654117198442623,0.876858764844531,6338
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,1,23479,5921,23,8,0.04910533388657766,0.039736689984953014,0.002778212944865387,0.639181571569452,0.8082308833712227,5921
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,2,23556,5844,25,6,0.05096603775438395,0.03853100417569654,-0.006174551460716693,0.7705662815585866,0.8802769218670633,5844
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,3,23528,5872,26,5,0.05398879291376538,0.04258508254700593,0.0006258661025590114,0.4305646663950903,0.6867289514385555,5872
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,4,23543,5857,25,6,0.0561413983904868,0.044786315012453004,-0.0120693846356566,0.7619700176645092,0.8798400330951218,5857
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,5,23494,5906,25,6,0.05033550657643613,0.038362244363792174,0.014967716994694843,0.751285427406656,0.8799912966317416,5906
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,1,35519,8967,24,7,0.058544296971629876,0.04646593419848566,0.00816540064484423,0.7348185988348319,0.8676737465814908,8967
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,2,35533,8953,25,6,0.05434332870842546,0.04231004515232221,-0.00019761929220365597,0.6589703423549307,0.8120712958879924,8953
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,3,35639,8847,26,5,0.058813377603827974,0.04712810215249389,0.008338656603549644,0.5962028356827018,0.778225924918403,8847
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,4,35629,8857,26,5,0.051944934230352076,0.04278458083520368,0.00759412748981898,0.6585493237154143,0.819693602615853,8857
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,5,35624,8862,23,8,0.055379432349936114,0.04129817547822021,-0.023675021574081214,0.6665671956529122,0.8546757173139068,8862
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,1,11758,3015,23,5,0.0010698933502785576,0.0006636878289086107,0.0004680901307426412,0.30584232695962377,0.663189182090616,3015
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,2,11845,2928,22,6,0.0006659923294703503,0.00039798494585597437,0.0003697070201167195,-4.100928335487592,0.1471445987080573,2928
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,3,11777,2996,23,5,0.000601761124622299,0.0002753871839725315,0.00016436303147067519,0.1973081088444768,0.5670792548737952,2996
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,4,11867,2906,21,7,0.0013615366374095405,0.00024810342875604386,7.61902603162168e-05,0.4439005243056553,0.8325346087596333,2906
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,5,11845,2928,23,5,0.002477731274355118,0.0006576474260492702,7.332401423051105e-05,0.32485399362243883,0.7736821340182207,2928
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,1,12399,3057,22,6,0.0007395038447239834,0.00045813398386016846,0.00043687985300159036,-7.061897178565321,0.06199119952471621,3057
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,2,12300,3156,23,5,0.0011824172377973763,0.0005020265317952515,0.0003887832789243918,0.37211702196788843,0.6757787913488592,3156
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,3,12429,3027,21,7,0.0029308931588636704,0.0005533559113452158,-0.00018167287354636737,0.32032601939643135,0.8928308800989843,3027
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,4,12426,3030,23,5,0.0011271432669843102,0.0005702767124382675,0.00033103754369490107,0.12963203969551562,0.4825258829143022,3030
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,5,12270,3186,23,5,0.001162436550547593,0.0007081480426885376,0.00045896732492905736,0.4145904190126346,0.7143908373568433,3186
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,1,12296,3155,23,5,0.0007821534760849106,0.00049650835896049,0.00047190150099341716,-5.387530807744959,0.18857064663544473,3155
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,2,12424,3027,21,7,0.0025213957180906924,0.0004772122485409717,-0.00014332274070896943,0.3275743938991498,0.8648112431762939,3027
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,3,12421,3030,23,5,0.0013102634456505903,0.0005296433866491906,0.0001760772067836678,0.36150102629799075,0.6283985984338304,3030
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,4,12265,3186,23,5,0.0011040012121063575,0.0006826488566881843,0.00044948634648214807,0.3769818397841008,0.6936792958854365,3186
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,5,12398,3053,22,6,0.0010070338544744331,0.00038999108823550084,0.000301288555075521,0.2701026607657482,0.5867850406860498,3053
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,1,24039,6190,23,5,0.0008132581920403906,0.0005293817095956663,0.0004410529934919655,-0.48005956268646033,0.4846388788659017,6190
