sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,16142,15212,0.05023121708450569,0.04041735713002438,0.007259568254934559,0.7524898393924591,0.8721855216200486,15212.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,15212,16142,0.04736678102875194,0.03774602832531376,-0.005956745159919414,0.77029803878035,0.8817464335030734,16142.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16682,16142,0.051752045677509864,0.041440886888087176,-0.02219618324149775,0.725797125882623,0.8817436348088732,16142.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,16142,16682,0.05255264712418804,0.0426988903276913,0.02233654283074992,0.6777832255425337,0.8586399571945452,16682.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,32824,15212,0.05007109555053796,0.040661666558793504,-0.0036301845357358227,0.7540652955368249,0.8721855216200488,15212.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,31894,16142,0.049022848897301616,0.03915151622767842,-0.015155335700250901,0.7539552787582526,0.881743634808874,16142.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31354,16682,0.05159474924130627,0.0418716117158083,0.019269149745903442,0.6894225180626272,0.8586399571945452,16682.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,16719,16719,0.04269278354270114,0.033721809848860786,0.004318132800034201,0.8214118640758449,0.9081195428673885,16719.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,16719,16719,0.037733364075417206,0.02956227361656821,-0.003475463991492123,0.8562915979970486,0.9268853797086607,16719.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2023,16719,16719,0.04172798597058486,0.03268909169358954,-0.018243686312196614,0.8242537950546145,0.926865851557694,16719.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2024,16719,16719,0.04516214980105731,0.036864661614138546,0.01823589067710106,0.7628928331625671,0.8959835532559046,16719.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,33438,16719,0.042873841271313044,0.034278556683655974,-0.004465426558993324,0.8198938872879287,0.9081195428673885,16719.0
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,33438,16719,0.03904532096330657,0.03050800774954003,-0.011323508956258522,0.8461246326795591,0.9268702763956679,16719.0
