sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,20251,39,0.04679440338443241,0.037620529248548557,-0.00655401343432019,0.7732143653005392,0.8830785333091563,0.9389296835834311,-0.06076386570414727,18588,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,20251,39,0.04616464611805283,0.03768341763201004,-0.001971427436787555,0.77927743518732,0.8830785333091564,0.8796615906547738,-0.017036407191977965,19556,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,20251,39,0.05280808239081498,0.04201761747400946,-0.02539954140290189,0.7111791730194649,0.8830785333091564,0.8486990389827637,-0.02001464538112685,20186,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20251,39,0.04635816718399296,0.03757666516644826,-0.004438075311055662,0.7774230293327679,0.8830785333091563,0.9112278021813347,-0.040351630833053265,38144,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20251,39,0.048261806306298415,0.03888872695060301,-0.013955655275328166,0.7587680335114823,0.8830785333091561,0.8618293986808044,-0.017242984578397458,39742,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20251,39,0.04768080766174186,0.03841934346611188,-0.01211780427773856,0.7645412039401419,0.883078533309156,0.88299681554054,-0.02938560424376513,58330,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,20256,39,0.038191459904115065,0.030488466933126596,-0.0006468460709550299,0.8497385889096644,0.9219090345372525,1.0390644540728649,-0.14399676988517818,20256,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,20256,39,0.0382608465587135,0.03067238648493167,0.00106948654796685,0.8491920998351167,0.921906134370124,0.9988414834200422,-0.1148279891577697,20256,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,20256,39,0.04233180119270407,0.03310753616715157,-0.017368574497018136,0.8153928835890571,0.9219061343701244,0.9608389067676995,-0.10732932271457873,20256,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,20256,39,0.038173276709581316,0.030528908031148105,4.330050902797172e-05,0.8498816356567166,0.9219061343701246,1.0201245421326584,-0.13037984536360092,40512,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,20256,39,0.03921920396195828,0.03099294873191111,-0.008098381820210339,0.8415426123179728,0.9219061343701241,0.9814397459467787,-0.1121191859309173,40512,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,20256,39,0.03872040712259553,0.030694085811477836,-0.005989020908483589,0.8455475602126823,0.9219061343701245,0.9973548856274186,-0.12087189483643712,60768,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,19233,39,0.06257511322080321,0.05035134210010526,-0.02343821002427822,0.5921318961927239,0.8062735838406098,0.6939722976885864,0.11805747660813404,18240,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,19233,39,0.06421138606227171,0.05128076283667384,-0.026188796439032203,0.570522372798705,0.8062735838406098,0.7466053662428246,0.08305608963141475,20246,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,19233,39,0.06539027029209259,0.05299742332049201,-0.02945317291171412,0.5546076834467007,0.8062735838406093,0.6120440391586506,0.16224387949353464,15819,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,19233,39,0.06314903637840354,0.05063370131894536,-0.024399076654149095,0.5846158591619788,0.8062735838406098,0.7205086857923343,0.10083649473366246,38486,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,19233,39,0.0637877877911855,0.051351215087024865,-0.026550328134023044,0.5761701531889618,0.8062735838406093,0.6898235013732413,0.11748752459688538,36065,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,19233,39,0.06338104279267266,0.051022512999163556,-0.02555685860295351,0.5815580510570184,0.8062735838406092,0.6899057314693744,0.11843060781183418,54305,39
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,14738,35,0.0014167549125137233,0.0005145296373623692,-3.8140810135344054e-05,0.31274889098598424,0.652952465889922,0.08549091166304094,-0.004535589059486116,19149,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,14738,35,0.0013738208453511933,0.0006048153293579977,0.00012474649366462956,0.3537713645094259,0.6377754139843215,0.10817722338391461,-0.005619240968126002,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,14738,35,0.0013931302934365242,0.0006198440825228318,0.00012630686996159568,0.3354778417237675,0.628777594558186,0.09936742914799072,-0.005094944074035908,19872,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,14738,35,0.0013912370717260008,0.0005561510901438463,3.776537103751812e-05,0.3372827453018137,0.6449480179440188,0.09624730782774661,-0.0050503206535354485,39027,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,14738,35,0.0013831832203390346,0.0006128520923988804,0.00012654871094355076,0.34493345738692227,0.6333271722382995,0.10391054604338824,-0.005363296609299788,39750,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,14738,35,0.0013917244756025992,0.0005760658676129688,6.490939722880085e-05,0.33681831325471256,0.6393220871505332,0.09685462220068826,-0.005042144662105236,58899,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022,2025,W2022,19878,35,0.0014051367810610429,0.000575275029343687,0.00015362996273709408,0.349871928187096,0.6661682712779033,0.09480640179746586,-0.005241970369858572,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2023,2025,W2023,19878,35,0.0014100435462301123,0.0005255741422534192,7.99587108054419e-05,0.34532348046651007,0.6803357293009897,0.0897094291401135,-0.005035339699133171,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2024,2025,W2024,19878,35,0.0014859293780517026,0.0004811219158077392,-3.162040426067646e-05,0.2729604225849346,0.6768415796993814,0.06448205432531214,-0.0036062775396577995,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,19878,35,0.001408513656957824,0.0005480963493156779,0.00011219150445343777,0.3467433504145133,0.6730358924537775,0.09145777268021406,-0.005094476965883652,39756,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,19878,35,0.0014456458535492122,0.0005014049559557607,2.1285055442622363e-05,0.31184614927587007,0.6795810022334191,0.07689858882519784,-0.004312925247725995,39756,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,19878,35,0.0014332470790654733,0.0005207073834331044,5.547967028663002e-05,0.3235996161882999,0.6751468757603009,0.08137408694437652,-0.0045429163299821745,59634,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,19878,35,0.0013964322370526724,0.0003576919401826215,-0.0001856414466802891,0.35790180838711716,0.8294816330797968,0.06958741620471512,-0.0020349295489794517,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,19878,35,0.0014015329679612333,0.00032274153125594714,-0.0002361132119531941,0.3532024730494666,0.8458781719261025,0.07482772635364511,-0.0024040533368408883,19729,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,19878,35,0.001422440979522395,0.0003275789791025,-0.00023736802911378905,0.33376073299844955,0.844869201069109,0.06938952999554135,-0.0022009991700898636,19878,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,19878,35,0.001404843384825236,0.0003383813879718165,-0.0002148733060476459,0.3501433967268027,0.8398779920253324,0.07059221266378517,-0.0021615266499519998,39607,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,19878,35,0.0014108184403231426,0.00032499571856438206,-0.00023649459643110943,0.3446037234565227,0.8454592958462194,0.07235799521171608,-0.0023107477882826476,39607,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,19878,35,0.001411513424851734,0.00033442715815124106,-0.00022309491072761375,0.3439578537272836,0.8418720900309995,0.07000125788176859,-0.0021687844617165673,59485,35
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-02,landsat,2022,2025,W2022,7600,36,0.056916385216549174,0.04384803540153143,0.002321951293445904,0.8615562952076501,0.9283384902968218,0.9705669133981684,-0.07448619312918081,15357,37
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-02,landsat,2023,2025,W2023,7600,36,0.06250756603401231,0.04874315634937277,0.024790356677929424,0.8330202643425236,0.9283384902968217,1.028743960263303,-0.0859748041331474,2686,15
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-02,landsat,2024,2025,W2024,7600,36,0.0584901305165188,0.04503133748764845,0.012785239807412795,0.853794478766587,0.9283384902968217,1.0096618785959404,-0.08684201361887539,1542,30
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,7600,36,0.05759117032621651,0.04436458341121896,0.008975216827898393,0.8582541343384992,0.9283384902968217,0.9871930733906722,-0.07753735258300998,10105,15
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,7600,36,0.06253300632950952,0.048815279723445404,0.025225533197488038,0.8328843166949693,0.9283384902968215,1.0196603020993638,-0.08023764090644259,3407,14
