sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022,2025,W2022,15212,3376,8,0.045375017268164376,0.036385554501311194,0.005720077564822555,0.7774754953948606,0.8838986139033295,3376
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023,2025,W2023,16142,3414,8,0.04501306998154208,0.036486503277060905,0.004624975369048222,0.7638197020935915,0.8756319318932301,3414
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2024,2025,W2024,16682,3504,8,0.047873277596169724,0.03982252658956091,0.006939562403395088,0.73332624930127,0.8607928628349227,3504
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,31354,6790,8,0.045430457166518716,0.03659226150069872,0.005284521719171758,0.7741359076408192,0.8818503042244776,6790
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,32824,6918,8,0.04806948242700976,0.03909910928294449,0.005780808933493476,0.7336296307817688,0.859266945343905,6918
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,48036,10294,8,0.047341056556054625,0.038426334898574,0.005779583296087531,0.7497630598497196,0.8684056228398732,10294
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022,2025,W2022,16719,3537,8,0.041935354660071894,0.03347576286484115,0.0017066436107071048,0.8212881482295092,0.9066335338445558,3537
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023,2025,W2023,16719,3537,8,0.03519044960966148,0.02885066167208325,0.005291009357719729,0.8682133003595005,0.9342559018186769,3537
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2024,2025,W2024,16719,3537,8,0.04259349636390719,0.034393405669687634,0.0007361841118693168,0.7969234663045527,0.8934535399895063,3537
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,33438,7074,8,0.03866668515713323,0.03105311996918271,0.003594667714059502,0.8480791793242064,0.9220626950323912,7074
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,33438,7074,8,0.03961885910327941,0.03216214614305882,0.002976726384625113,0.8301057402990211,0.9124514499188419,7074
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,50157,10611,8,0.04053676924702236,0.03284074054015512,0.0026762412949509983,0.8277524015835099,0.9107241269050758,10611
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,15086,3154,8,0.05480436454374123,0.04354440145807072,0.013825737216527896,0.5798581265668614,0.7789472696147404,3154
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,16713,3533,8,0.045140438532153764,0.03677473159180938,0.006081544715162012,0.7810984218259875,0.8860594336046455,3533
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,12687,3132,8,0.05765762568950207,0.04627202858798025,0.001337518677938336,0.6148127356693773,0.784243804588452,3132
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,31799,6687,8,0.04994663530833003,0.039988580023030684,0.009927853993341965,0.7029089147085225,0.84540692823332,6687
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,29400,6665,8,0.051983049915237715,0.04161877121145957,0.0038860532383671598,0.7023189018807775,0.8391126369746709,6665
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,44486,9819,8,0.05276108280004529,0.04209336514063692,0.007127908302403169,0.6720784603318188,0.8234916697006739,9819
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022,2025,W2022,14773,4376,7,0.0007989874944948294,0.0005246157272699448,0.0004708242177905003,-1.4569012062523812,0.3422709851983158,4376
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,15456,4422,7,0.0007816413613224407,0.0006086629749695631,0.0005324643049067413,-0.9798129607835184,0.41361773807255864,4422
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,15451,4421,7,0.0007714640250398274,0.0006094569217244071,0.0005336482705226483,-0.9956466864546978,0.41008802044918463,4421
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,30229,8798,7,0.0008051882862582749,0.0005693835452581006,0.000503005957817907,-1.2792858237048632,0.35791389565760817,8798
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,30907,8843,7,0.0007776814775638628,0.0006100776952911169,0.0005342019604737194,-0.9932756300103558,0.4117538851975277,8843
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,45680,13219,7,0.0007938134726971734,0.0005817339195805371,0.000511765806141601,-1.1799203767325737,0.36951442638443877,13219
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022,2025,W2022,15456,4422,7,0.0007261694236228414,0.000527977483258182,0.0004606563873358701,-0.8045522763266217,0.3990672501670071,4422
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2023,2025,W2023,15456,4422,7,0.0006951305803106684,0.0005175718246338188,0.0004236179900759618,-0.5658201845231507,0.3815287563722877,4422
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2024,2025,W2024,15456,4422,7,0.0006577098826876595,0.0004997929475125786,0.0004031522162408796,-0.4508327618043255,0.3918952820248619,4422
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,30912,8844,7,0.0007064037201467783,0.0005188418730473184,0.0004376792881427025,-0.6609091168265844,0.3890680477668047,8844
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,30912,8844,7,0.0006829107636319319,0.0005144981738385599,0.00041992988059369685,-0.537233721694266,0.383069822725557,8844
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,46368,13266,7,0.0006927871090072184,0.0005137945268281015,0.00042753573767316343,-0.6015348179836872,0.38473400158103266,13266
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,15456,4422,7,0.0007303703940258959,0.0004269401413338327,0.00034431283028559185,-0.8254917390577137,0.2814312525224756,4422
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,15310,4419,7,0.0007042543692592473,0.00045649061291431044,0.0003460339610257722,-0.6061251355601684,0.2511935271827438,4419
spatial_aggregation_order,reflectance_first,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,15456,4422,7,0.0006223620567121575,0.0004415827312681901,0.0003416009726456384,-0.2990768199312772,0.3868421319379265,4422
