sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,slope,intercept,train_n,train_block_n
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,0.8796615906547738,-0.017036407191977965,19556,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,0.9112278021813347,-0.040351630833053265,38144,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,0.8844598858506456,-0.023592508687807268,56238,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,0.8486990389827637,-0.02001464538112685,20186,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,0.8618293986808044,-0.017242984578397458,39742,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,0.88299681554054,-0.02938560424376513,58330,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,0.9988414834200422,-0.1148279891577697,20256,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,1.0201245421326584,-0.13037984536360092,40512,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,0.9958247781656219,-0.11662536639313581,60760,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,0.9608389067676995,-0.10732932271457873,20256,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,0.9814397459467787,-0.1121191859309173,40512,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,0.9973548856274186,-0.12087189483643712,60768,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,0.7466053662428246,0.08305608963141475,20246,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,0.7205086857923343,0.10083649473366246,38486,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.6983822467072806,0.12382091524640682,58460,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2024,2025,R2025-H1,1,0.6120440391586506,0.16224387949353464,15819,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023;2024,2025,R2025-H2,2,0.6898235013732413,0.11748752459688538,36065,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,R2025-H3,3,0.6899057314693744,0.11843060781183418,54305,39
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,0.10817722338391461,-0.005619240968126002,19878,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,0.09624730782774661,-0.0050503206535354485,39027,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,0.09472063963003205,-0.0050099995532618515,50177,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,0.09936742914799072,-0.005094944074035908,19872,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,0.10391054604338824,-0.005363296609299788,39750,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,0.09685462220068826,-0.005042144662105236,58899,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023,2024,R2024-H1,1,0.0897094291401135,-0.005035339699133171,19878,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023,2024,R2024-H2,2,0.09145777268021406,-0.005094476965883652,39756,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2021;2022;2023,2024,R2024-H3,3,0.0872002349729993,-0.004926566227200771,59634,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2024,2025,R2025-H1,1,0.06448205432531214,-0.0036062775396577995,19878,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023;2024,2025,R2025-H2,2,0.07689858882519784,-0.004312925247725995,39756,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023;2024,2025,R2025-H3,3,0.08137408694437652,-0.0045429163299821745,59634,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2023,2024,R2024-H1,1,0.07482772635364511,-0.0024040533368408883,19729,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2022;2023,2024,R2024-H2,2,0.07059221266378517,-0.0021615266499519998,39607,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.07582053427520528,-0.0024266139942922113,59485,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2024,2025,R2025-H1,1,0.06938952999554135,-0.0022009991700898636,19878,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2023;2024,2025,R2025-H2,2,0.07235799521171608,-0.0023107477882826476,39607,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2022;2023;2024,2025,R2025-H3,3,0.07000125788176859,-0.0021687844617165673,59485,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,1.028743960263303,-0.0859748041331474,2686,15
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,0.9871930733906722,-0.07753735258300998,10105,15
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,0.9782025222938651,-0.07754074498171637,6670,9
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2024,2025,R2025-H1,1,1.0096618785959404,-0.08684201361887539,1542,30
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2023;2024,2025,R2025-H2,2,1.0196603020993638,-0.08023764090644259,3407,14
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2022;2023;2024,2025,R2025-H3,3,0.9840158514766824,-0.07405714267098151,10599,14
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2023,2024,R2024-H1,1,1.0991643454510596,-0.16737951243333016,9553,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2022;2023,2024,R2024-H2,2,1.0610320578120123,-0.12893221423934947,27583,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2021;2022;2023,2024,R2024-H3,3,1.073956447795265,-0.13563047949186247,34987,31
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2024,2025,R2025-H1,1,1.0792496661709425,-0.13150519453536613,17909,38
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2023;2024,2025,R2025-H2,2,1.0746511310238778,-0.13681388305902897,27078,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,modis,2022;2023;2024,2025,R2025-H3,3,1.0699622319341187,-0.1310297786436726,45108,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2023,2024,R2024-H1,1,0.8681876939524352,0.03911976395346556,7586,37
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2022;2023,2024,R2024-H2,2,0.8642498987919686,0.018958040453997016,26061,37
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.875268359338348,0.029407153629698035,43571,37
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2024,2025,R2025-H1,1,0.8456852651181478,0.041134081009933154,18284,38
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2023;2024,2025,R2025-H2,2,0.8489322497382372,0.04187981729743684,25498,37
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,sentinel2,2022;2023;2024,2025,R2025-H3,3,0.8587874100842277,0.02641598042880544,43973,37
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2023,2024,R2024-H1,1,0.9550248396612672,-0.07333017177038215,11178,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2022;2023,2024,R2024-H2,2,0.9130425688716752,-0.07631132132443352,27408,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2021;2022;2023,2024,R2024-H3,3,0.917231146436867,-0.0758627237575698,14331,13
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2024,2025,R2025-H1,1,0.8816392661338747,-0.07116456543473856,15551,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2023;2024,2025,R2025-H2,2,0.9078603843933202,-0.07125140272137442,26729,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,landsat,2022;2023;2024,2025,R2025-H3,3,0.9000774742486002,-0.07417894915472259,42959,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2023,2024,R2024-H1,1,1.0253966121147282,-0.10440612276157446,17967,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2022;2023,2024,R2024-H2,2,1.0090811804972573,-0.10475661593519081,36825,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2021;2022;2023,2024,R2024-H3,3,0.992617842291237,-0.10806520302972142,51685,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2024,2025,R2025-H1,1,0.9366638829163044,-0.10702604748263059,18695,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2023;2024,2025,R2025-H2,2,0.9601152703877346,-0.10100255971020233,36662,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,modis,2022;2023;2024,2025,R2025-H3,3,0.9644159785437897,-0.10087688855220564,55520,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,sentinel2,2023,2024,R2024-H1,1,0.8161238797241077,-0.035143176889861544,16731,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,sentinel2,2022;2023,2024,R2024-H2,2,0.824572221616096,-0.03545522355919861,35998,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.8295523171284108,-0.033719247503301575,55364,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,sentinel2,2024,2025,R2025-H1,1,0.8216629959360076,-0.03074920913209006,19142,35
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-03,sentinel2,2023;2024,2025,R2025-H2,2,0.8181336589070517,-0.03260249606672724,35873,35
