sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,20186,39,0.05276157347487824,0.04296099045787257,0.022767629367115867,0.6754618129219094,0.858413900579172,20186,0.8796615906547738,-0.017036407191977965,19556,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,20186,39,0.05173547281673084,0.04207227697655606,0.019627619788590404,0.6879622244097934,0.8584139005791726,20186,0.9112278021813347,-0.040351630833053265,38144,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,20186,39,0.05137977518419046,0.04179725549749935,0.019278308078045366,0.6922381899197425,0.8584139005791722,20186,0.8844598858506456,-0.023592508687807268,56238,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20251,39,0.05280808239081498,0.04201761747400946,-0.02539954140290189,0.7111791730194649,0.8830785333091564,20251,0.8486990389827637,-0.02001464538112685,20186,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20251,39,0.048261806306298415,0.03888872695060301,-0.013955655275328166,0.7587680335114823,0.8830785333091561,20251,0.8618293986808044,-0.017242984578397458,39742,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20251,39,0.04768080766174186,0.03841934346611188,-0.01211780427773856,0.7645412039401419,0.883078533309156,20251,0.88299681554054,-0.02938560424376513,58330,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,20256,39,0.04505682831277443,0.03688656472338168,0.017403367963728503,0.765689616161719,0.8954818126586269,20256,0.9988414834200422,-0.1148279891577697,20256,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,20256,39,0.04462857607660177,0.03648479087223501,0.015800762045852016,0.770122554713218,0.8955078568079645,20256,1.0201245421326584,-0.13037984536360092,40512,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,20256,39,0.04371818103071421,0.03568897167739753,0.013630064421467063,0.7794056070649047,0.8954860701704842,20256,0.9958247781656219,-0.11662536639313581,60760,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,20256,39,0.04233180119270407,0.03310753616715157,-0.017368574497018136,0.8153928835890571,0.9219061343701244,20256,0.9608389067676995,-0.10732932271457873,20256,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,20256,39,0.03921920396195828,0.03099294873191111,-0.008098381820210339,0.8415426123179728,0.9219061343701241,20256,0.9814397459467787,-0.1121191859309173,40512,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,20256,39,0.03872040712259553,0.030694085811477836,-0.005989020908483589,0.8455475602126823,0.9219061343701245,20256,0.9973548856274186,-0.12087189483643712,60768,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,15819,39,0.061747117116605556,0.047748219312595916,-0.0009384109371025458,0.5563766642851601,0.7646819267245629,15819,0.7466053662428246,0.08305608963141475,20246,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,15819,39,0.06107007779869916,0.04755793969943135,0.0016662064631739637,0.5660517333935073,0.7646822919082359,15819,0.7205086857923343,0.10083649473366246,38486,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,15819,39,0.06170745973056729,0.048570954290565384,0.011783817214525434,0.5569463197808362,0.7646822919082358,15819,0.6983822467072806,0.12382091524640682,58460,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2024,2025,R2025-H1,1,19233,39,0.06539027029209259,0.05299742332049201,-0.02945317291171412,0.5546076834467007,0.8062735838406093,19233,0.6120440391586506,0.16224387949353464,15819,39,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2023;2024,2025,R2025-H2,2,19233,39,0.0637877877911855,0.051351215087024865,-0.026550328134023044,0.5761701531889618,0.8062735838406093,19233,0.6898235013732413,0.11748752459688538,36065,39,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,R2025-H3,3,19233,39,0.06338104279267266,0.051022512999163556,-0.02555685860295351,0.5815580510570184,0.8062735838406092,19233,0.6899057314693744,0.11843060781183418,54305,39,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,19872,35,0.001211705534037744,0.0004394081065048719,0.00021866968084031173,0.4076193922601197,0.7094131868982949,19872,0.10817722338391461,-0.005619240968126002,19878,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,19872,35,0.0012268673333832706,0.0003858356787086439,0.00014635156798173532,0.39270199235836434,0.7207391198201121,19872,0.09624730782774661,-0.0050503206535354485,39027,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,19872,35,0.0012260647785492683,0.000363679242389672,0.00012001213678031756,0.3934962600439934,0.7298488800232155,19872,0.09472063963003205,-0.0050099995532618515,50177,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,14738,35,0.0013931302934365242,0.0006198440825228318,0.00012630686996159568,0.3354778417237675,0.628777594558186,14738,0.09936742914799072,-0.005094944074035908,19872,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,14738,35,0.0013831832203390346,0.0006128520923988804,0.00012654871094355076,0.34493345738692227,0.6333271722382995,14738,0.10391054604338824,-0.005363296609299788,39750,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,14738,35,0.0013917244756025992,0.0005760658676129688,6.490939722880085e-05,0.33681831325471256,0.6393220871505332,14738,0.09685462220068826,-0.005042144662105236,58899,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023,2024,R2024-H1,1,19878,35,0.0013779716555862007,0.000470743743161004,0.00021464334584212863,0.23366872129634741,0.5556453757256288,19878,0.0897094291401135,-0.005035339699133171,19878,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023,2024,R2024-H2,2,19878,35,0.0013834330585621145,0.0004991962412470583,0.0002474001925824379,0.22758218427480426,0.546342262195145,19878,0.09145777268021406,-0.005094476965883652,39756,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2021;2022;2023,2024,R2024-H3,3,19878,35,0.0013754781286796503,0.00044444709303231107,0.0001834917671750684,0.2364396618117972,0.5639833593823248,19878,0.0872002349729993,-0.004926566227200771,59634,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2024,2025,R2025-H1,1,19878,35,0.0014859293780517026,0.0004811219158077392,-3.162040426067646e-05,0.2729604225849346,0.6768415796993814,19878,0.06448205432531214,-0.0036062775396577995,19878,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2023;2024,2025,R2025-H2,2,19878,35,0.0014456458535492122,0.0005014049559557607,2.1285055442622363e-05,0.31184614927587007,0.6795810022334191,19878,0.07689858882519784,-0.004312925247725995,39756,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,modis,2022;2023;2024,2025,R2025-H3,3,19878,35,0.0014332470790654733,0.0005207073834331044,5.547967028663002e-05,0.3235996161882999,0.6751468757603009,19878,0.08137408694437652,-0.0045429163299821745,59634,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2023,2024,R2024-H1,1,19878,35,0.001303191249226995,0.00038746616794759745,0.00010969357152036698,0.3145870690177851,0.6928378090004625,19878,0.07482772635364511,-0.0024040533368408883,19729,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2022;2023,2024,R2024-H2,2,19878,35,0.0013258339469738388,0.00044223729283181354,0.00016525030960791638,0.29056231769510865,0.6640168451894407,19878,0.07059221266378517,-0.0021615266499519998,39607,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2021;2022;2023,2024,R2024-H3,3,19878,35,0.0013014913620090192,0.0003956347549542301,0.00011954216266624048,0.3163740128523925,0.6903452812627748,19878,0.07582053427520528,-0.0024266139942922113,59485,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2024,2025,R2025-H1,1,19878,35,0.001422440979522395,0.0003275789791025,-0.00023736802911378905,0.33376073299844955,0.844869201069109,19878,0.06938952999554135,-0.0022009991700898636,19878,35,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2023;2024,2025,R2025-H2,2,19878,35,0.0014108184403231426,0.00032499571856438206,-0.00023649459643110943,0.3446037234565227,0.8454592958462194,19878,0.07235799521171608,-0.0023107477882826476,39607,35,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-01,sentinel2,2022;2023;2024,2025,R2025-H3,3,19878,35,0.001411513424851734,0.00033442715815124106,-0.00022309491072761375,0.3439578537272836,0.8418720900309995,19878,0.07000125788176859,-0.0021687844617165673,59485,35,2.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,1542,30,0.06202264414639057,0.04771406135772911,0.010709723666277347,0.9010325449860151,0.9509502683467742,1542,1.028743960263303,-0.0859748041331474,2686,15,3.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,1542,30,0.061173378848717784,0.04716388858219675,-0.0022847209669954556,0.9037242775888151,0.9509502683467734,1542,0.9871930733906722,-0.07753735258300998,10105,15,1.0
spatial_aggregation_order,reflectance_first,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,1542,30,0.06165745278666322,0.04760968059882492,-0.006925428528891172,0.9021945611221037,0.9509502683467735,1542,0.9782025222938651,-0.07754074498171637,6670,9,2.0
