conclusion,sensitivity,classification,machine_readable_evidence,rule
C1,Aggregation Order,ROBUST,sensitivity RMSE range=0.0612013,AOI RMSE range remains non-zero
C2,Aggregation Order,ROBUST,distinct preferred histories=5; changed rows=1,more than one AOI preferred history
C3,Aggregation Order,ROBUST,"operational ΔRMSE range=[-0.00145801, 0.00049328]",both lower and higher forward-error changes occur across configurations
C4,Aggregation Order,ROBUST,"slope Δ range=[-0.0127692, 0.0251822]",OLS slope/intercept tables retain sensor/AOI/history variation
C5,Aggregation Order,ROBUST,AOI-specific rows=4; RMSE range=0.0612013,AOI-specific sensor rankings remain non-invariant
C1,Temporal Non-overlap,ROBUST,sensitivity RMSE range=0.0715761,AOI RMSE range remains non-zero
C2,Temporal Non-overlap,ROBUST,distinct preferred histories=5; changed rows=7,more than one AOI preferred history
C3,Temporal Non-overlap,ROBUST,"operational ΔRMSE range=[-0.000145751, 0.00970254]",both lower and higher forward-error changes occur across configurations
C4,Temporal Non-overlap,ROBUST,"slope Δ range=[-0.0787753, 0.0235839]",OLS slope/intercept tables retain sensor/AOI/history variation
C5,Temporal Non-overlap,ROBUST,AOI-specific rows=4; RMSE range=0.0715761,AOI-specific sensor rankings remain non-invariant
C1,Landsat Aerosol QA,ROBUST,sensitivity RMSE range=0.0822087,AOI RMSE range remains non-zero
C2,Landsat Aerosol QA,ROBUST,distinct preferred histories=4; changed rows=4,more than one AOI preferred history
C3,Landsat Aerosol QA,ROBUST,"operational ΔRMSE range=[-0.00120089, 0.0270358]",both lower and higher forward-error changes occur across configurations
C4,Landsat Aerosol QA,ROBUST,"slope Δ range=[-0.0798478, 0.300652]",OLS slope/intercept tables retain sensor/AOI/history variation
C5,Landsat Aerosol QA,ROBUST,AOI-specific rows=4; RMSE range=0.0822087,AOI-specific sensor rankings remain non-invariant
