aerosol_mode,AOI,sensor,target_year,contrast,mean_difference_RMSE_primary,mean_difference_RMSE_aerosol,block_contrast_direction_changed
primary_no_aerosol_filter,AOI-00,landsat,2024,1y_vs_2y,0.0006368629674129,0.0006368629674129,False
primary_no_aerosol_filter,AOI-00,landsat,2024,1y_vs_3y,0.0010314995164105,0.0010314995164105,False
primary_no_aerosol_filter,AOI-00,landsat,2024,2y_vs_3y,0.0003946365489975,0.0003946365489975,False
primary_no_aerosol_filter,AOI-00,landsat,2025,1y_vs_2y,0.0032157462577057,0.0032157462577057,False
primary_no_aerosol_filter,AOI-00,landsat,2025,1y_vs_3y,0.0033603162016452,0.0033603162016452,False
primary_no_aerosol_filter,AOI-00,landsat,2025,2y_vs_3y,0.0001445699439395,0.0001445699439395,False
primary_no_aerosol_filter,AOI-01,landsat,2024,1y_vs_2y,3.510114377702058e-05,3.510114377702058e-05,False
primary_no_aerosol_filter,AOI-01,landsat,2024,1y_vs_3y,5.084288064189448e-05,5.084288064189448e-05,False
primary_no_aerosol_filter,AOI-01,landsat,2024,2y_vs_3y,1.5741736864873898e-05,1.5741736864873898e-05,False
primary_no_aerosol_filter,AOI-01,landsat,2025,1y_vs_2y,8.972865900383957e-06,8.972865900383957e-06,False
primary_no_aerosol_filter,AOI-01,landsat,2025,1y_vs_3y,2.074563365622042e-05,2.074563365622042e-05,False
primary_no_aerosol_filter,AOI-01,landsat,2025,2y_vs_3y,1.1772767755836464e-05,1.1772767755836464e-05,False
primary_no_aerosol_filter,AOI-02,landsat,2024,1y_vs_2y,-0.0002206693921099,-0.0002206693921099,False
primary_no_aerosol_filter,AOI-02,landsat,2024,1y_vs_3y,-0.0011470677905716,-0.0011470677905716,False
primary_no_aerosol_filter,AOI-02,landsat,2024,2y_vs_3y,-0.0009263983984616,-0.0009263983984616,False
primary_no_aerosol_filter,AOI-02,landsat,2025,1y_vs_2y,-0.0041243923730947,-0.0041243923730947,False
primary_no_aerosol_filter,AOI-02,landsat,2025,1y_vs_3y,0.0008976396559303,0.0008976396559303,False
