sensor,AOI,year,aerosol_mode,observations_before_aerosol_qa,observations_after_aerosol_qa,observations_removed,retention_fraction,missing_aerosol_QA_count,retained_300m_identities
landsat,AOI-00,2021,primary_no_aerosol_filter,18094,18094,0,1.0,0,18094
landsat,AOI-00,2022,primary_no_aerosol_filter,18588,18588,0,1.0,0,18588
landsat,AOI-00,2023,primary_no_aerosol_filter,19556,19556,0,1.0,0,19556
landsat,AOI-00,2024,primary_no_aerosol_filter,20186,20186,0,1.0,0,20186
landsat,AOI-00,2025,primary_no_aerosol_filter,20251,20251,0,1.0,0,20251
landsat,AOI-01,2021,primary_no_aerosol_filter,11150,11150,0,1.0,0,11150
landsat,AOI-01,2022,primary_no_aerosol_filter,19149,19149,0,1.0,0,19149
landsat,AOI-01,2023,primary_no_aerosol_filter,19878,19878,0,1.0,0,19878
landsat,AOI-01,2024,primary_no_aerosol_filter,19872,19872,0,1.0,0,19872
landsat,AOI-01,2025,primary_no_aerosol_filter,14738,14738,0,1.0,0,14738
landsat,AOI-02,2021,primary_no_aerosol_filter,1040,1040,0,1.0,0,1040
landsat,AOI-02,2022,primary_no_aerosol_filter,15357,15357,0,1.0,0,15357
landsat,AOI-02,2023,primary_no_aerosol_filter,2686,2686,0,1.0,0,2686
landsat,AOI-02,2024,primary_no_aerosol_filter,1542,1542,0,1.0,0,1542
landsat,AOI-02,2025,primary_no_aerosol_filter,7600,7600,0,1.0,0,7600
landsat,AOI-03,2021,primary_no_aerosol_filter,714,714,0,1.0,0,714
landsat,AOI-03,2022,primary_no_aerosol_filter,16230,16230,0,1.0,0,16230
landsat,AOI-03,2023,primary_no_aerosol_filter,11178,11178,0,1.0,0,11178
landsat,AOI-03,2024,primary_no_aerosol_filter,15551,15551,0,1.0,0,15551
landsat,AOI-03,2025,primary_no_aerosol_filter,14402,14402,0,1.0,0,14402
landsat,AOI-00,2021,exclude_high_aerosol,18094,17563,531,0.9706532552227257,0,17563
landsat,AOI-00,2022,exclude_high_aerosol,18588,18434,154,0.991715085001076,0,18434
landsat,AOI-00,2023,exclude_high_aerosol,19556,19433,123,0.9937103702188587,0,19433
landsat,AOI-00,2024,exclude_high_aerosol,20186,20103,83,0.9958882393738234,0,20103
landsat,AOI-00,2025,exclude_high_aerosol,20251,20233,18,0.9991111550046912,0,20233
