aerosol_mode,AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
primary_no_aerosol_filter,AOI-00,landsat,R2024-H1,2024,1,20186,20186,0.053372821640600185,0.04341159041091878,0.022798545199474274,0.667898639718175,0.854214516503916,0.8544793879372247,0.0011015203776354454,20186,20186,0.053372821640600185,0.04341159041091878,0.022798545199474274,0.667898639718175,0.854214516503916,0.8544793879372247,0.0011015203776354454,20186,20186,0.053372821640600185,0.04341159041091878,0.022798545199474274,0.667898639718175,0.854214516503916,0.8544793879372247,0.0011015203776354454,20186,20186,0.053372821640600185,0.04341159041091878,0.022798545199474274,0.667898639718175,0.854214516503916,0.8544793879372247,0.0011015203776354454,20186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,R2024-H2,2024,2,20186,20186,0.05223999101389104,0.04243817178459475,0.019272511210011566,0.6818466390847548,0.8542145165039166,0.8860855093515932,-0.022550811709008967,20186,20186,0.05223999101389104,0.04243817178459475,0.019272511210011566,0.6818466390847548,0.8542145165039166,0.8860855093515932,-0.022550811709008967,20186,20186,0.05223999101389104,0.04243817178459475,0.019272511210011566,0.6818466390847548,0.8542145165039166,0.8860855093515932,-0.022550811709008967,20186,20186,0.05223999101389104,0.04243817178459475,0.019272511210011566,0.6818466390847548,0.8542145165039166,0.8860855093515932,-0.022550811709008967,20186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,R2024-H3,2024,3,20186,20186,0.0519406826048345,0.042224999406104066,0.01914394081990229,0.6854819068708957,0.8542145165039162,0.8582634149850386,-0.004962694955891744,20186,20186,0.0519406826048345,0.042224999406104066,0.01914394081990229,0.6854819068708957,0.8542145165039162,0.8582634149850386,-0.004962694955891744,20186,20186,0.0519406826048345,0.042224999406104066,0.01914394081990229,0.6854819068708957,0.8542145165039162,0.8582634149850386,-0.004962694955891744,20186,20186,0.0519406826048345,0.042224999406104066,0.01914394081990229,0.6854819068708957,0.8542145165039162,0.8582634149850386,-0.004962694955891744,20186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,R2025-H1,2025,1,20251,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,R2025-H2,2025,2,20251,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,R2025-H3,2025,3,20251,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2024-H1,2024,1,19872,19872,0.0011672634524432326,0.00043329393839509217,0.00022542268807187318,0.45027634452663334,0.7349565179115086,0.10954021202802719,-0.005685602641599043,19872,19872,0.0011672634524432326,0.00043329393839509217,0.00022542268807187318,0.45027634452663334,0.7349565179115086,0.10954021202802719,-0.005685602641599043,19872,19872,0.0011672634524432326,0.00043329393839509217,0.00022542268807187318,0.45027634452663334,0.7349565179115086,0.10954021202802719,-0.005685602641599043,19872,19872,0.0011672634524432326,0.00043329393839509217,0.00022542268807187318,0.45027634452663334,0.7349565179115086,0.10954021202802719,-0.005685602641599043,19872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2024-H2,2024,2,19872,19872,0.0011817737260908703,0.00038138816928051845,0.00015463462183984392,0.4365241456741198,0.745212227769269,0.09823332194897147,-0.005151154769054033,19872,19872,0.0011817737260908703,0.00038138816928051845,0.00015463462183984392,0.4365241456741198,0.745212227769269,0.09823332194897147,-0.005151154769054033,19872,19872,0.0011817737260908703,0.00038138816928051845,0.00015463462183984392,0.4365241456741198,0.745212227769269,0.09823332194897147,-0.005151154769054033,19872,19872,0.0011817737260908703,0.00038138816928051845,0.00015463462183984392,0.4365241456741198,0.745212227769269,0.09823332194897147,-0.005151154769054033,19872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2024-H3,2024,3,19872,19872,0.0011809444966472114,0.0003591872555819062,0.00012800579622820215,0.43731463005897364,0.7532417502327453,0.09662792894359856,-0.005107224644724565,19872,19872,0.0011809444966472114,0.0003591872555819062,0.00012800579622820215,0.43731463005897364,0.7532417502327453,0.09662792894359856,-0.005107224644724565,19872,19872,0.0011809444966472114,0.0003591872555819062,0.00012800579622820215,0.43731463005897364,0.7532417502327453,0.09662792894359856,-0.005107224644724565,19872,19872,0.0011809444966472114,0.0003591872555819062,0.00012800579622820215,0.43731463005897364,0.7532417502327453,0.09662792894359856,-0.005107224644724565,19872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2025-H1,2025,1,14738,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2025-H2,2025,2,14738,14738,0.0013650952252453098,0.0006097352173020437,0.00013511322434132223,0.3619541472415131,0.6447416215787849,0.1053281495021411,-0.005432412362311486,14738,14738,0.0013650952252453098,0.0006097352173020437,0.00013511322434132223,0.3619541472415131,0.6447416215787849,0.1053281495021411,-0.005432412362311486,14738,14738,0.0013650952252453098,0.0006097352173020437,0.00013511322434132223,0.3619541472415131,0.6447416215787849,0.1053281495021411,-0.005432412362311486,14738,14738,0.0013650952252453098,0.0006097352173020437,0.00013511322434132223,0.3619541472415131,0.6447416215787849,0.1053281495021411,-0.005432412362311486,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,R2025-H3,2025,3,14738,14738,0.001372422338251498,0.0005738149403587612,7.480297583573804e-05,0.3550863763471588,0.6505171709492439,0.09869899820912345,-0.005134813201461102,14738,14738,0.001372422338251498,0.0005738149403587612,7.480297583573804e-05,0.3550863763471588,0.6505171709492439,0.09869899820912345,-0.005134813201461102,14738,14738,0.001372422338251498,0.0005738149403587612,7.480297583573804e-05,0.3550863763471588,0.6505171709492439,0.09869899820912345,-0.005134813201461102,14738,14738,0.001372422338251498,0.0005738149403587612,7.480297583573804e-05,0.3550863763471588,0.6505171709492439,0.09869899820912345,-0.005134813201461102,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
