sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2024,1y_vs_2y,1,2,39,0.0006388240129606562,1.8665364792767611,0.06969720331569582,0.06969720331569582,False
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.0010747198341172443,3.360724493224157,0.001781414778975563,0.003562829557951126,True
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.00043589582115658804,3.9064229949080507,0.000372376730831171,0.0011171301924935131,True
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.003259107401446749,3.3974635005350167,0.0016078961964456524,0.004823688589336957,True
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.0033959914108650804,2.9952661697605225,0.004806135959657853,0.009612271919315706,True
landsat_sr_qa_aerosol,primary_matched,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.00013688400941833136,0.6673624639180319,0.5085733599826086,0.5085733599826086,False
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2024,1y_vs_2y,1,2,35,3.780615599673647e-05,3.1149233291496983,0.0037239400660199757,0.0037239400660199757,True
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2024,1y_vs_3y,1,3,35,5.493168980354073e-05,3.479627471424318,0.0013969441292694502,0.0027938882585389004,True
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2024,2y_vs_3y,2,3,35,1.7125533806804257e-05,4.579183964728579,5.9924675054113266e-05,0.0001797740251623398,True
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2025,1y_vs_2y,1,2,34,3.817428101604605e-06,1.1922007852849084,0.24168540006685113,0.45465377041072813,False
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2025,1y_vs_3y,1,3,34,1.761734353495809e-05,2.155668547788081,0.03849796994260042,0.11549390982780126,False
landsat_sr_qa_aerosol,primary_matched,AOI-01,landsat,2025,2y_vs_3y,2,3,34,1.3799915433353483e-05,1.2301815942726855,0.22732688520536407,0.45465377041072813,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2024,1y_vs_2y,1,2,22,0.001964888547465872,2.2713979656078997,0.03376050364735547,0.10128151094206642,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2024,1y_vs_3y,1,3,22,0.002087404557548887,0.9530776136705277,0.35139315126166426,0.7027863025233285,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2024,2y_vs_3y,2,3,22,0.00012251601008301562,0.09129702401305978,0.9281218560042368,0.9281218560042368,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2025,1y_vs_2y,1,2,34,-0.0008285434685762624,-1.8651629518660386,0.07107128749435344,0.1421425749887069,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2025,1y_vs_3y,1,3,34,0.00019430994010424612,0.5796364204401115,0.5660963630651591,0.5660963630651591,False
landsat_sr_qa_aerosol,primary_matched,AOI-02,landsat,2025,2y_vs_3y,2,3,34,0.0010228534086805085,2.3676097194714636,0.02391859883505084,0.07175579650515251,False
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2024,1y_vs_2y,1,2,35,0.0033146476592858264,4.547988083489226,6.569982691439274e-05,0.00013139965382878547,True
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2024,1y_vs_3y,1,3,35,0.002457768902269631,5.814152076905225,1.5013726021481495e-06,4.5041178064444486e-06,True
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2024,2y_vs_3y,2,3,35,-0.000856878757016195,-2.7542460596727745,0.009378248289089203,0.009378248289089203,True
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2025,1y_vs_2y,1,2,35,-0.0009722792700566113,-3.718579240062098,0.0007196121529477174,0.002158836458843152,True
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2025,1y_vs_3y,1,3,35,0.00019709768922697129,2.22113594604712,0.03310599719102911,0.03310599719102911,True
landsat_sr_qa_aerosol,primary_matched,AOI-03,landsat,2025,2y_vs_3y,2,3,35,0.0011693769592835827,3.558192111292829,0.001125069610278518,0.002250139220557036,True
