sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12043,3028,26,5,0.0509274465373251,0.04178337904158511,-0.0004193952260686427,0.7179542449360818,0.8537443115597372,3028
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12071,3000,23,8,0.055268442248004306,0.04485887237357851,-0.013745040870393799,0.705737800137344,0.8511684292722475,3000
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12049,3022,26,5,0.048212877607249884,0.038626696725706795,0.0037619942107428414,0.7635846473810805,0.880386276136556,3022
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12074,2997,23,8,0.049221554312696626,0.039367076818211263,-0.007047603644807727,0.807791934217967,0.9009626461372507,2997
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12047,3024,26,5,0.0461860955800004,0.03656188451552775,0.01675605137707369,0.7436563394461333,0.8819411301062186,3024
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12832,3201,25,6,0.047127047010734814,0.03880296086055833,-0.0014274807949015424,0.821217407624947,0.9085929909735344,3201
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12824,3209,25,6,0.04140444711308614,0.032371504443485154,-0.0016291098576055097,0.7839487605230033,0.8888516610533622,3209
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12834,3199,26,5,0.04974149340988802,0.0409652814539262,0.015954622061816186,0.56559508979442,0.7854113465422384,3199
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12825,3208,24,7,0.04740944552887742,0.0377008794624608,0.0025714282700579675,0.7553161571677903,0.8701474795777099,3208
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12817,3216,24,7,0.05107675992412474,0.0426322920042303,-0.014688675312740023,0.7763271845282976,0.8943600816830034,3216
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13291,3334,23,8,0.05680752681246379,0.050712376051267015,0.03187316069350795,0.5092902543337932,0.8157387210291277,3334
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13285,3340,26,5,0.04192363963884484,0.03266118293913997,-0.008090286367048876,0.4778149814221615,0.7251360334672163,3340
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13323,3302,24,7,0.04980340462209367,0.04157239180276116,-0.0036846211372497913,0.7105708451408703,0.8439418130484936,3302
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,13290,3335,25,6,0.04421673135329855,0.03484107531804372,-0.016501450620410862,0.8165154624613743,0.9176543936966308,3335
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,13311,3314,26,5,0.05045012963727099,0.040321549469097794,-0.0029016219575285235,0.7402542695826956,0.8615699989739358,3314
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1,24899,6205,26,5,0.04893338860683914,0.04008486589895389,-0.00024221306273485994,0.765566000408471,0.8772139104619292,6205
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,2,24887,6217,23,8,0.05332017346981976,0.043402412399252646,0.015162511477692901,0.6986638556825404,0.8513066855197756,6217
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,3,24850,6254,24,7,0.04842975170808091,0.03827056773596203,-0.013834659875745794,0.8097067677095455,0.908497616801556,6254
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,4,24874,6230,25,6,0.04630683176984778,0.03710230631454833,-0.003978172309299491,0.7664203565710925,0.8766800239622216,6230
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,5,24906,6198,26,5,0.04716232818759362,0.03790241470517508,0.0031924123589651167,0.7435349247684437,0.8658558668905415,6198
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,1,26095,6563,25,6,0.049963106509254514,0.04149628797568084,0.02388381820271219,0.6572553696961507,0.8584454643656844,6563
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,2,26152,6506,24,7,0.050152868628739564,0.04053489209487293,-0.00586793065096938,0.7437738733794006,0.8646072353404071,6506
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,3,26148,6510,25,6,0.05161230107233749,0.04290602478784281,-0.005748252718008283,0.7031232832239557,0.8407254123537637,6510
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,4,26165,6493,26,5,0.04289984294691893,0.03380111790397533,0.0004361678621987384,0.7251004343017633,0.8571348134460127,6493
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,5,26072,6586,24,7,0.05170452238562894,0.04156417853306677,-0.01238669576102025,0.7624420516266482,0.8822742054005042,6586
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,1,38194,9535,26,5,0.05184748553819839,0.04326294336542131,0.025910867565119636,0.668957714257336,0.8673210519992921,9535
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,2,38153,9576,23,8,0.05429080774663322,0.043978218326447535,-0.014775918822031914,0.6097721992250663,0.7991759102162745,9576
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,3,38160,9569,24,7,0.04820671309026743,0.03844377510922334,-0.014182120167080077,0.8218669328844292,0.9150350437273023,9569
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,4,38217,9512,25,6,0.04747388623312313,0.03835066695511068,-0.001753533894288325,0.7334120213671922,0.8568288036415271,9512
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,5,38192,9537,26,5,0.04802557874959955,0.03887245095184788,0.005296303127103051,0.7161653217564117,0.8513100396915517,9537
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,1,11437,2923,23,5,0.0010071789644744867,0.0006071841257765996,0.00040352719800565017,0.42629239855497614,0.7218011420485889,2923
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,2,11454,2906,23,5,0.00028206470670327446,8.595551058654573e-05,7.796772784153226e-05,-2.6175229386301027,0.1505288963015538,2906
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,3,11541,2819,21,7,0.001434488418396032,0.0005852133268636742,0.0003113654680266534,0.4675166735626103,0.769926524911513,2819
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,4,11532,2828,22,6,0.0008989690758599171,0.00058432482849624,0.0005558311833873999,-1.3272799261843136,0.5725173718728631,2828
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,5,11476,2884,23,5,0.0023311961240360763,0.000494750075038984,-3.947525065206566e-06,0.39158552363693366,0.8527441504822476,2884
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,1,12414,3023,21,7,0.0009217582503343189,0.0006161518319455711,0.0005103333786871088,-0.4864115683737187,0.4832621863330053,3023
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,2,12281,3156,23,5,0.0010915569227553743,0.00048348119448720056,0.00038618579034749154,0.4649061232510109,0.7382257493639722,3156
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,3,12416,3021,23,5,0.0028313225738091485,0.0005359018497834545,-0.00015980636364884527,0.36614341660109107,0.9017510569842734,3021
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,4,12383,3054,22,6,0.0006461795480332618,0.000385398533295532,0.000385398533295532,0.0,,3054
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,5,12254,3183,23,5,0.0012796192857809725,0.0006937736923839822,0.000339113700863743,0.4666560168991719,0.7152362359693052,3183
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,1,11652,2827,21,7,0.002609855017172123,0.00036393055356289,-0.00024233748381633717,0.35554709854789013,0.9261169523044896,2827
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,2,11629,2850,23,5,0.0010794449349852359,0.0006669700756920758,0.0004274945920565407,0.4650256115321597,0.7423005526810571,2850
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,3,11512,2967,23,5,0.001219438937909575,0.0007768478209887509,0.0004889102963404516,0.3287214770563558,0.6706970426460511,2967
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,4,11625,2854,22,6,0.0007465437373357676,0.0004706323952420976,0.00045120395877972674,-5.662569850465594,0.20914475554965764,2854
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,5,11498,2981,23,5,0.0006358082233562968,0.0003534274846096434,0.0003035793072689634,0.1798393629839602,0.6972069328566872,2981
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,1,23939,5858,21,7,0.0010173734660991255,0.0004991287126470493,0.00024427545457583386,0.5213355417049199,0.7483265318430888,5858
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,2,23719,6078,23,5,0.0008836749275703549,0.0004892891137051711,0.00041249558381600566,-0.6883480074778208,0.2703381456875182,6078
