sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,16033,15071,0.05064485790042802,0.04087154818809685,0.008486240063416074,0.7485156552120666,0.8714838812141644,15071.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,15071,16033,0.04793892417785162,0.03833334629844892,-0.007036087322960527,0.7588319461228124,0.8767076584004879,16033.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16625,16033,0.05217591438457299,0.042043386611075186,-0.022504479885933158,0.7143176896972601,0.8767076584004885,16033.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,16033,16625,0.05297410485180524,0.04300717798642565,0.02263337448346071,0.6701027012138657,0.8552834381560878,16625.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,32658,15071,0.0502489922024187,0.041072893690223634,-0.002594359049185911,0.7524317465040428,0.8714838812141649,15071.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,31696,16033,0.04956862958753433,0.039799840063983086,-0.015874478579197483,0.7421559962888852,0.8767076584004881,16033.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31104,16625,0.05185134890810273,0.04204778298986564,0.01902855344598712,0.6839384803222136,0.8552834381560879,16625.0
