sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,15071,3363,8,0.0460450979568708,0.03690647357365868,0.0056539359685644774,0.7661584039225231,0.8774191321821943,3363
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,16033,3400,8,0.0453109839969057,0.036818818024911125,0.00561029762962269,0.7581195513968368,0.8734373188078928,3400
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,16625,3478,8,0.04855266723340096,0.040386069442302816,0.007075393970390659,0.7088927306344063,0.8467543733228337,3478
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,31104,6763,8,0.045890610301478195,0.03700718778985471,0.0057701252035495445,0.7658150533580764,0.8775958522139388,6763
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,32658,6878,8,0.04851057305462114,0.03949314575400428,0.00630193625516525,0.718772048233256,0.8512890880083979,6878
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,47729,10241,8,0.047837682194371074,0.03884836080227234,0.00612514112112762,0.7366790787550946,0.8612501982030178,10241
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,14360,4298,7,0.0008189027828092567,0.0005305471839579968,0.0004796592313905696,-1.6439035687998862,0.3358651002578884,4298
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,15437,4392,7,0.0007771332311574619,0.000601166826161031,0.0005250242792620471,-0.9440310231915101,0.41804351541359247,4392
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,14479,4304,7,0.000752688821207176,0.0005888094598811577,0.0005182952718711579,-0.9899003941571862,0.4188451372375888,4304
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,29797,8690,7,0.0008113868622685876,0.0005685745058120777,0.0005034374325250514,-1.3297300323178347,0.3559939430566058,8690
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,29916,8696,7,0.0007657942573493194,0.0005954394335879964,0.0005221993102936084,-0.969061871254624,0.4184167570479602,8696
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,44276,12994,7,0.000792387080749418,0.0005737554678729247,0.0005065543059669173,-1.2163533979974712,0.3704929724535063,12994
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,11663,3146,7,0.05088105460124157,0.03820740272217772,0.0022412688529688703,0.9043642050842683,0.9510792973331712,3146
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1485,578,3,0.06008847777437085,0.04799721232275144,0.010934410381205443,0.8677023561515679,0.9339901706960755,578
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,776,166,4,0.06269240389258084,0.04636199956173699,0.006979940558905806,0.9243175356548441,0.9621516591529936,166
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,6934,1590,3,0.05233294785432687,0.04113633253878441,0.0005141568528846425,0.8679748364359385,0.93171332897269,1590
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1300,560,2,0.0590584543778403,0.04760415258183477,-0.003782754356056606,0.8769920977249587,0.9403780998090211,560
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,3667,1201,2,0.052487340063648594,0.04106752228480645,-0.0051022649460155415,0.8754516275291379,0.937620898074302,1201
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,12566,3511,7,0.023840817669618916,0.017266958127122253,0.004737237505253291,0.8932052329781678,0.949146947812452,3511
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,5581,1778,7,0.031194720247674945,0.023553562673034722,0.009679959582750253,0.8554990882183431,0.9332107047150824,1778
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,11802,3291,7,0.027800192959139436,0.0200011804048797,0.004123423395142661,0.8883553516457532,0.9446279559826414,3291
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,18147,5289,7,0.027001310802267968,0.019960163368398048,0.00582945559683984,0.8743933838830893,0.9400176941536711,5289
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,17383,5069,7,0.02899437963519854,0.021377028520388856,0.005866465608808098,0.8783250128893375,0.9407428169045599,5069
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,29949,8580,7,0.027335989265723747,0.01999144939471527,0.005193254553875069,0.8817477605476673,0.9425149467248882,8580
