sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,20103,39,0.053192763391794816,0.04327049595175692,0.022926874761038312,0.6646353100784461,0.8532352350795784,20103,0.8526606567240405,0.002201355557090001,19433,39,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,20103,39,0.05204013144033201,0.04228532022569245,0.01934661672126597,0.679011850861821,0.8532352350795783,20103,0.8866576043746707,-0.023050437208930297,37867,39,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,20103,39,0.0516825532224103,0.042025452740494754,0.01906595307090916,0.6834078442820601,0.8532352350795783,20103,0.8586213582622136,-0.005459246966295517,55430,39,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20233,39,0.05468366711279135,0.043523904656055025,-0.02682270399435418,0.6886048494332747,0.8745814130764226,20233,0.8211354109508957,-0.0006295839586103469,20103,39,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20233,39,0.04997859790071311,0.04028246460381789,-0.015326515575730094,0.7398854058293706,0.8745814130764216,20233,0.8344816018502442,0.0020907609054342524,39536,39,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20233,39,0.049464173473420865,0.03982977132324544,-0.01374722368366642,0.745212512400151,0.8745814130764216,20233,0.8576390998000678,-0.011557256676478445,57970,39,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,18783,35,0.0011460273246964073,0.0004464342762509971,0.00024345511877763636,0.46309988042781947,0.7473910567843686,18783,0.10962570916316015,-0.005691824312833019,19829,35,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,18783,35,0.0011544378711265681,0.00039125691263605953,0.00017072125129882808,0.45519048232783466,0.759283690943198,18783,0.09992009909002054,-0.00524971009514417,38487,35,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,18783,35,0.0011523470929712637,0.0003671861807696475,0.00014211793782797647,0.45716208147346926,0.7677276882420092,18783,0.09841853589831716,-0.005213798695062752,49365,35,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,10301,34,0.0011983402910538618,0.0006206092752541375,0.00016780491608302231,0.442824287462268,0.7164164350763376,10301,0.1031604928630545,-0.005325582925311231,18783,35,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,10301,34,0.001190377660889932,0.0006198490466124438,0.0001753235354648685,0.4502042349594041,0.7184290424818516,10301,0.106652205480087,-0.005522524996154356,38612,35,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,10301,34,0.0011954617352986914,0.0005836055497665421,0.00011362200957099564,0.4454978769813077,0.7242630376729788,10301,0.1006938702682079,-0.0052595749593528805,57270,35,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,942,22,0.05675752107830892,0.04343037380158776,0.010751676672766131,0.924794698533352,0.9636849984079139,942,1.025451194345771,-0.0946535673654939,2063,14,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,942,22,0.05550532725898447,0.04277038703153478,0.004971193736152495,0.9280764767734088,0.963668234270148,942,0.9878988689109017,-0.0817131998584707,8524,14,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,942,22,0.05631125060921926,0.044119623502077994,-0.002408217047724904,0.9259726908069265,0.9636682342701486,942,0.9378502217216244,-0.0641726043729538,4893,7,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2024,2025,R2025-H1,1,5083,34,0.05219276789875858,0.04017263011409705,0.008738447699149325,0.8685411835030115,0.9344554888683412,5083,0.9896951459874416,-0.08757878811920744,942,22,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2023;2024,2025,R2025-H2,2,5083,34,0.0526976766021806,0.04061444374099246,0.012176916278355368,0.8659854366026418,0.9344554888683401,5083,0.9659297096603686,-0.07003633008800947,1860,9,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2022;2023;2024,2025,R2025-H3,3,5083,34,0.05156490795980406,0.039890336744638134,0.005611910152331003,0.871684962936858,0.9344554888683402,5083,0.9591490766282507,-0.07257725790776365,4868,9,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2023,2024,R2024-H1,1,15093,35,0.03344661197990308,0.024994076432326453,0.010344524772644468,0.8921173513025902,0.9508722927817046,15093,0.9264541518369456,-0.07181074217469124,7359,35,3.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2022;2023,2024,R2024-H2,2,15093,35,0.031549029026329056,0.021599251624376703,-0.001208837059798467,0.9040114719213405,0.9509457685348951,15093,0.8998649236838099,-0.07664886176068933,23436,35,1.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2021;2022;2023,2024,R2024-H3,3,15093,35,0.03179510684586057,0.02250514340822035,0.003467421869388858,0.9025082391929252,0.9509123662799107,15093,0.9103878006698031,-0.07462389183728954,13114,13,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2024,2025,R2025-H1,1,13996,35,0.03552822582319615,0.026657016483540297,0.007033343809865726,0.8751651157800185,0.9381144415417066,13996,0.8868317790840167,-0.07201503582306348,15093,35,2.0
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2023;2024,2025,R2025-H2,2,13996,35,0.03627299242839968,0.027623921807599306,0.010056801416733558,0.869876513236865,0.9380910746607175,13996,0.8987861418771623,-0.07181002529472022,22452,35,3.0
