sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2024,1y_vs_2y,1,2,39,-0.00033375588216373847,-2.0794724179933626,0.0443725132852093,0.0443725132852093,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.0010766398218314806,5.030024972828781,1.208744236338094e-05,2.417488472676188e-05,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.001410395703995219,7.248243051156503,1.1376772729672267e-08,3.41303181890168e-08,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.003813193861909989,4.04739702797725,0.00024528009538828886,0.0007358402861648665,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.004251103568631318,3.356989946286204,0.0018000225361611928,0.0036000450723223856,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.000437909706721329,1.307726154188503,0.19882287160311082,0.19882287160311082,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2024,1y_vs_2y,1,2,35,3.448361621873717e-05,2.5868597594919107,0.014137732034518364,0.014137732034518364,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2024,1y_vs_3y,1,3,35,4.780280208311203e-05,2.9590894645473838,0.005584555269439389,0.011169110538878778,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2024,2y_vs_3y,2,3,35,1.331918586437487e-05,4.566900934841425,6.213614052647394e-05,0.0001864084215794218,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2025,1y_vs_2y,1,2,34,2.672042324165554e-06,1.417567395572143,0.16569065339645853,0.4970719601893756,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2025,1y_vs_3y,1,3,34,1.0880383822057185e-05,0.9104674446396614,0.3691787544053955,0.738357508810791,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-01,landsat,2025,2y_vs_3y,2,3,34,8.208341497891629e-06,0.596451883494319,0.5549432912449894,0.738357508810791,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2024,1y_vs_2y,1,2,22,0.0017610663713209156,3.3410999964967028,0.003097481018039783,0.009292443054119349,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2024,1y_vs_3y,1,3,22,0.005019804646984451,2.384337006117896,0.026620352749190463,0.053240705498380926,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2024,2y_vs_3y,2,3,22,0.003258738275663536,1.9567082753958058,0.0638097501715695,0.0638097501715695,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2025,1y_vs_2y,1,2,34,-0.0007304652274664982,-2.6836789487192005,0.011295108145072936,0.030735082150199974,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2025,1y_vs_3y,1,3,34,0.00015163811752792172,0.9477902170113987,0.3501256478976429,0.3501256478976429,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-02,landsat,2025,2y_vs_3y,2,3,34,0.0008821033449944199,2.7234516247950427,0.010245027383399991,0.030735082150199974,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2024,1y_vs_2y,1,2,35,0.0022110841063872413,3.386382971091939,0.001802016392779597,0.003604032785559194,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2024,1y_vs_3y,1,3,35,0.0017205179132559363,4.271443860091273,0.000147765179226551,0.000443295537679653,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2024,2y_vs_3y,2,3,35,-0.000490566193131305,-1.9343560687048618,0.06142657653216632,0.06142657653216632,False
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2025,1y_vs_2y,1,2,35,-0.0008258060507840033,-4.183407947100129,0.00019083759463590772,0.0005725127839077232,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2025,1y_vs_3y,1,3,35,0.00036206937575362127,3.1694572700950645,0.0032249476735788435,0.0032249476735788435,True
landsat_sr_qa_aerosol,exclude_high_aerosol,AOI-03,landsat,2025,2y_vs_3y,2,3,35,0.0011878754265376246,3.8788169283610054,0.00045765391991360675,0.0009153078398272135,True
