sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,20103,39,0.052263119796012975,0.04217638605951935,0.02393644107830012,0.6762551333820376,0.8652149973849675,20103,0.9598886930604591,-0.07551950952308939,19433,39,2.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,20103,39,0.052360262849222336,0.04222267654795591,0.02325387304354536,0.6750505059866898,0.8652440202796773,20103,0.9921423922874258,-0.09711639164753849,37867,39,3.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,20103,39,0.0509918874194609,0.04106326691854229,0.021117090152563682,0.691812937371064,0.8652153500522495,20103,0.9558954173414428,-0.07575023568433781,55430,39,1.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20233,39,0.05414522508819731,0.04269423113285784,-0.02736822481543106,0.6947069553295366,0.8809773654165413,20233,0.8912222639601058,-0.0549407355732392,20103,39,3.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20233,39,0.04888240974645764,0.03883664335848652,-0.015174020927530885,0.7511705398363878,0.8809773654165425,20233,0.9207354061488008,-0.06240733848904634,39536,39,2.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20233,39,0.04784805993256071,0.03809775230091068,-0.011779297119632465,0.7615895705997472,0.8809773654165427,20233,0.944690974848367,-0.0749711258103194,57970,39,1.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,18783,35,0.0013036072491996642,0.0004349035858487668,0.00019648165281875406,0.30530033547755686,0.618335831049118,18783,0.09507975213881209,-0.004919494844733405,19829,35,1.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,18783,35,0.0013196945034996703,0.00037801785784943593,0.00011927880800465131,0.28804856260416667,0.6276544686497062,18783,0.08149230768159851,-0.004255522705834942,38487,35,3.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,18783,35,0.001318579686893952,0.0003580652699389977,9.616414971609079e-05,0.28925090154597266,0.6361675490704044,18783,0.0805746469673318,-0.004242294233327828,49365,35,2.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,10301,34,0.0013033053313442216,0.0006075365118789451,0.00010029401829673996,0.34094114792758645,0.6329754582342079,10301,0.09104455177353515,-0.004688808995308884,18783,35,2.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,10301,34,0.0012988157843404425,0.0006065877385018314,0.00010389211720209436,0.34547389915019977,0.6346531074521722,10301,0.09317592320634892,-0.004810283427934388,38612,35,1.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,10301,34,0.0013134332889463058,0.0005705246060761102,3.7439052910588276e-05,0.33065828438060885,0.6393642043273354,10301,0.08425795908112467,-0.004379343978060691,57270,35,3.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,942,22,0.0658056155107038,0.04831382027503443,0.00843990630104604,0.8989054997836252,0.95169782368274,942,1.0203446225514239,-0.10943322255160293,2063,14,3.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,942,22,0.06464237670694954,0.04755319990028127,0.007917132968381561,0.9024479837925146,0.9516471232923097,942,0.9889858610669104,-0.09376947239770994,8524,14,2.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,942,22,0.06371352970689066,0.04774050378938877,-0.00397128483378074,0.9052312942990265,0.9516300649143447,942,0.9468366073777952,-0.08402678759039572,4893,7,1.0
landsat_sr_qa_aerosol,exclude_high_aerosol,rolling_origin,AOI-02,landsat,2024,2025,R2025-H1,1,5083,34,0.06474460369568202,0.047167871127467044,0.007527193061740583,0.7977091619029277,0.895039801325541,5083,0.9473216201217616,-0.08029811640461093,942,22,2.0
