sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12043,3028,26,5,0.049915016652410216,0.03950695031059796,-0.0001844554839764453,0.72905683145379,0.85510604443636,3028
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12071,3000,23,8,0.053726639783593266,0.043340229956336504,-0.013931327521112088,0.7219266377703271,0.861388149513713,3000
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12049,3022,26,5,0.05056485047117237,0.03886055967275292,0.0056669037232757865,0.7399558885879196,0.8654763294272332,3022
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12074,2997,23,8,0.05255376197656407,0.04104865056211571,-0.008689434957249664,0.780886780316867,0.887936411367502,2997
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12047,3024,26,5,0.04610857376523739,0.03548387641308256,0.016607740538231455,0.7445161457617375,0.8831388052649732,3024
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12832,3201,25,6,0.048862745216870965,0.03803202429611254,0.0010409325277559783,0.8078057011103158,0.9023260992303872,3201
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12824,3209,25,6,0.043556412927364424,0.03319432987239555,-0.0009698883507330528,0.7609069261442631,0.8755706221090689,3209
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12834,3199,26,5,0.04832991412047782,0.038528946903121496,0.014565060871483486,0.5899006016529886,0.7930120844441106,3199
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12825,3208,24,7,0.046975545562343506,0.036858230234043866,-0.0015818944733040233,0.759774444923755,0.8750551290956495,3208
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12817,3216,24,7,0.050686197924354116,0.04155022405170385,-0.01232427374695105,0.779734765875675,0.8927730118102379,3216
