sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,16033,15071,0.0505761195161,0.03989203995136329,0.002607096591702015,0.7491978526556755,0.8680657137025516,15071.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,15071,16033,0.04762396719399773,0.03716581971327865,-0.0007137314134876628,0.7619904668839813,0.8751914787546445,16033.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16625,16033,0.0529460834558346,0.041945985451532324,-0.023021343954448378,0.7058215256022071,0.8748862033748883,16033.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,16033,16625,0.05183645737674343,0.041667289545329486,0.023312954001400585,0.6841199978435637,0.8674823155187866,16625.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,32658,15071,0.05166185434603996,0.04134259430842847,-0.008190436113609138,0.7383141606034596,0.8680657137025523,15071.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,31696,16033,0.049272103345497094,0.038687689836389934,-0.013712107745227431,0.7452316844608904,0.8749406184104362,16033.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31104,16625,0.05199177002726133,0.041763555663651246,0.022631292383882715,0.6822242796554452,0.8675031391319953,16625.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,15437,14360,0.001533606602918705,0.0005664330047502974,0.0003516908063505211,0.21601391422516236,0.5116828930381672,14360.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,14360,15437,0.0016262080926413183,0.00041091108414819267,9.552991766409636e-05,0.2861405682677999,0.6552234449561315,15437.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,14479,15437,0.0015987581449211255,0.0005324379081210667,0.0002505719428700918,0.3100366755845272,0.6299047545941463,15437.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,15437,14479,0.0014307448381948688,0.00047953561331430755,0.00021775655886385363,0.3362524632112559,0.6331475057964335,14479.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,29916,14360,0.001536822483333996,0.000568250141563202,0.0003514159326561056,0.21272252397928704,0.5090732063054595,14360.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,28839,15437,0.0016096731796514886,0.00046594222969942154,0.00016596066503681665,0.3005834866977296,0.6418710865265693,15437.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,29797,14479,0.0014440277418485443,0.0004266286290707114,0.00014291609997050522,0.3238709118570353,0.6414533393980902,14479.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,1485,5449,0.05156751797573836,0.03913701832429367,0.008103084824327799,0.8411202934814693,0.9201637259997798,5449.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,5449,1485,0.0700813724347834,0.05452068200857383,-0.009739847189794036,0.8144515023426349,0.9052662782150912,1485.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,281,1019,0.06940772784911613,0.05353648880230349,0.003867071754658025,0.8188446206435922,0.907512671754392,1019.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,1019,281,0.08100951674347934,0.06207850863772186,-0.005033275595502908,0.6785846979624462,0.8269468813853541,281.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,1300,2367,0.056628620170490154,0.04382861183445306,0.00832920043931513,0.8520361038405468,0.924843882573546,2367.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,2648,1019,0.06875348318431755,0.05302296876906317,-0.005853297187806635,0.8222437046730728,0.907512671754392,1019.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,3386,281,0.0814645284520815,0.06305039444705564,-0.009853577187099819,0.674963927182364,0.8269468813853542,281.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,5581,12566,0.034937811327064465,0.027239320074723513,0.016352487277579937,0.8654115931621935,0.9462744187805706,12566.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,12566,5581,0.04240353794464015,0.030576053398427606,-0.016316084903410223,0.8775794481603947,0.9467703869468502,5581.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,11802,5581,0.04032341390312638,0.02940703153571919,-0.009763590897491563,0.889295638051692,0.9467454669185233,5581.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,5581,11802,0.033888192097074,0.025362017262878834,0.01010571487109674,0.8965503836810877,0.9519450222963084,11802.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,17383,12566,0.03230022745013186,0.023816324766137775,0.009740693650190166,0.884965681758387,0.9463023065658602,12566.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,24368,5581,0.041253185206737986,0.02982863511644674,-0.013134141947358565,0.8841315709164284,0.9467628236389788,5581.0
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,18147,11802,0.0322856316964827,0.022046221338166413,-0.0012965780307907884,0.9061032284691661,0.9520157178605493,11802.0
