sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,20233,39,0.04682361041016119,0.03730014235274283,-0.0015648106552439045,0.771689240679585,0.8810143057611437,1.0255489850832835,-0.11862769247322524,18434,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,20233,39,0.04642176733637045,0.03734106472830789,-0.002203397903979354,0.775591178847133,0.880977365416542,0.9598886930604591,-0.07551950952308939,19433,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,20233,39,0.05414522508819731,0.04269423113285784,-0.02736822481543106,0.6947069553295366,0.8809773654165413,0.8912222639601058,-0.0549407355732392,20103,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20233,39,0.04654431829096302,0.03726890525312803,-0.0023113203762339446,0.7744047605745141,0.8809955020264016,0.9921423922874258,-0.09711639164753849,37867,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20233,39,0.04888240974645764,0.03883664335848652,-0.015174020927530885,0.7511705398363878,0.8809773654165425,0.9207354061488008,-0.06240733848904634,39536,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20233,39,0.04784805993256071,0.03809775230091068,-0.011779297119632465,0.7615895705997472,0.8809773654165427,0.944690974848367,-0.0749711258103194,57970,39
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,10301,34,0.0013549436913381124,0.0005110569681291792,-7.431240371882136e-05,0.2876812956282514,0.6498504370703623,0.06872239460370583,-0.0036243861597466086,18658,35
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,10301,34,0.0012948349151445898,0.0006054156078099069,0.00010667965213823798,0.34947999419412856,0.6361919054485285,0.09507975213881209,-0.004919494844733405,19829,35
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,10301,34,0.0013033053313442216,0.0006075365118789451,0.00010029401829673996,0.34094114792758645,0.6329754582342079,0.09104455177353515,-0.004688808995308884,18783,35
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,10301,34,0.0013191085526809026,0.0005545352358125887,1.0590021356271378e-05,0.32486141940044344,0.642681457678359,0.08149230768159851,-0.004255522705834942,38487,35
