sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,15071,3363,8,0.0437620008069499,0.03483375571185158,0.003224424185349791,0.788773061838354,0.8889260802110751,3363
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,16033,3400,8,0.043488391700951395,0.03496249267415605,0.0023145086740843064,0.7771870279398141,0.883616815092795,3400
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,16625,3478,8,0.04697327081629776,0.03853189121872367,0.005470195649514786,0.7275238661391703,0.8570264788797768,3478
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,31104,6763,8,0.04363782464102068,0.03491855831235636,0.002811695868170056,0.7882431373628366,0.8891357312354973,6763
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,32658,6878,8,0.047235705542244065,0.038097300956089396,0.003922384118958362,0.7333592715302536,0.8588739891429871,6878
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,47729,10241,8,0.0464649955931798,0.03747537070115318,0.0036830960599624203,0.7515740794152147,0.8686761242047493,10241
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,14360,4298,7,0.0007084268502206782,0.000462169579482715,0.00039991279084466394,-0.978658948010241,0.32803168530770094,4298
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,15437,4392,7,0.0007307116305156491,0.0005619428409925234,0.0004772903833503009,-0.7187165955115487,0.41275636557396744,4392
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,14479,4304,7,0.0007102353608094127,0.000553779656500991,0.00047560939575584026,-0.7717603883546575,0.413255433885376,4304
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,29797,8690,7,0.0007370252939236015,0.0005166693653828609,0.00044206230905648387,-0.9222702317766367,0.349383928393007,8690
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,29916,8696,7,0.0007207595160836953,0.0005578475881227417,0.00047643384813074295,-0.7442788792261843,0.41294866173545425,8696
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,44276,12994,7,0.0007295417945955053,0.0005275839766851782,0.00045143277437997056,-0.8787309591552861,0.36372653302666563,12994
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,11663,3146,7,0.055690229253462134,0.04074456604289979,0.0034773155247633364,0.8854312235806149,0.9412185336496125,3146
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1485,578,3,0.061824918272415076,0.04904044381898818,0.012093210632941566,0.859945583890214,0.9309675575017505,578
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,776,166,4,0.0678423913778841,0.05078705524202398,0.001390261168767816,0.9113726599330974,0.9557357599840343,166
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,6934,1590,3,0.0569366060098037,0.043577868496242456,0.0064013941373605885,0.8437250144833771,0.9206505995595046,1590
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1300,560,2,0.06159196640589953,0.049312004388132304,-0.005739728339688539,0.8662120503360125,0.937214475848014,560
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,3667,1201,2,0.05742720215604005,0.044228110226112186,-0.005236475393754888,0.850904600069478,0.9267707680927934,1201
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,12566,3511,7,0.024027942263574128,0.01726136870013956,0.004691420600106617,0.8915222073550391,0.9486756794853488,3511
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,5581,1778,7,0.03238451472237311,0.0245409401793786,0.011538560098609872,0.8442660912268252,0.9339823595127943,1778
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,11802,3291,7,0.027607818496654064,0.019949420717723192,0.00392453012077627,0.8898951444042855,0.9454213093046167,3291
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,18147,5289,7,0.02712945348870246,0.01999134492669976,0.006458266929792723,0.8731983483918514,0.9416493097022287,5289
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,17383,5069,7,0.02904429232328933,0.02149819913540609,0.006386143459212333,0.8779057348719775,0.9418863189592045,5069
landsat_sr_qa_aerosol,exclude_high_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,29949,8580,7,0.027356788441724744,0.020004221920527275,0.005497843300517245,0.8815677425635056,0.9434325564745571,8580
