sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,0.9135300192938224,-0.043155574051828016,18588,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.8544793879372247,0.0011015203776354454,19556,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.821342425568143,-0.0005959104544163152,20186,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.8860855093515932,-0.022550811709008967,38144,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.8355955161455583,0.00150303954960318,39742,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.8574769860461495,-0.011292472868706382,58330,39
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.08803757795969219,-0.0046682387840633836,19149,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.10954021202802719,-0.005685602641599043,19878,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.10080825874284378,-0.005165141170417693,19872,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.09823332194897147,-0.005151154769054033,39027,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.1053281495021411,-0.005432412362311486,39750,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.09869899820912345,-0.005134813201461102,58899,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9778134552518177,-0.0789307780039249,15357,37
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0328370889095944,-0.08795051082679384,2686,15
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2024,2025,W2024,1.0145689898668875,-0.08837891837771922,1542,30
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9954864633534535,-0.08236274659659193,10105,15
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1.0243341535316366,-0.0827417245398524,3407,14
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9920488741735304,-0.0787494148457919,10599,14
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.8794830332519243,-0.0769441523345688,16230,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.9643769491644618,-0.07494910528627224,11178,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8872859532100673,-0.0718219727825205,15551,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.9190494354718157,-0.07729541703790502,27408,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.9150460019278217,-0.07232176131147369,26729,35
landsat_sr_qa_aerosol,primary_full,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.906043527373169,-0.07506609062152686,42959,35
