sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,0.8544793879372247,0.0011015203776354454,19556,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,0.8860855093515932,-0.022550811709008967,38144,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,0.8582634149850386,-0.004962694955891744,56238,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,0.821342425568143,-0.0005959104544163152,20186,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,0.8355955161455583,0.00150303954960318,39742,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,0.8574769860461495,-0.011292472868706382,58330,39
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,0.10954021202802719,-0.005685602641599043,19878,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,0.09823332194897147,-0.005151154769054033,39027,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,0.09662792894359856,-0.005107224644724565,50177,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,0.10080825874284378,-0.005165141170417693,19872,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,0.1053281495021411,-0.005432412362311486,39750,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,0.09869899820912345,-0.005134813201461102,58899,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,1.0328370889095944,-0.08795051082679384,2686,15
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,0.9954864633534535,-0.08236274659659193,10105,15
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,0.9850451175303495,-0.08146470891879443,6670,9
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2024,2025,R2025-H1,1,1.0145689898668875,-0.08837891837771922,1542,30
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2023;2024,2025,R2025-H2,2,1.0243341535316366,-0.0827417245398524,3407,14
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-02,landsat,2022;2023;2024,2025,R2025-H3,3,0.9920488741735304,-0.0787494148457919,10599,14
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2023,2024,R2024-H1,1,0.9643769491644618,-0.07494910528627224,11178,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2022;2023,2024,R2024-H2,2,0.9190494354718157,-0.07729541703790502,27408,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2021;2022;2023,2024,R2024-H3,3,0.9247923021402483,-0.07655708736667091,14331,13
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2024,2025,R2025-H1,1,0.8872859532100673,-0.0718219727825205,15551,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2023;2024,2025,R2025-H2,2,0.9150460019278217,-0.07232176131147369,26729,35
landsat_sr_qa_aerosol,primary_matched,rolling_origin,AOI-03,landsat,2022;2023;2024,2025,R2025-H3,3,0.906043527373169,-0.07506609062152686,42959,35
