sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12190,3022,23,8,0.055045613201689624,0.04529780602222434,-0.006869483604664668,0.7599685787920165,0.8822875112849331,3022
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12153,3059,23,8,0.055099942917656436,0.044277385842441695,-0.01012059333746895,0.7068329480189837,0.8470546856914907,3059
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12188,3024,26,5,0.04859958189523268,0.038930448383350386,0.005037904133617845,0.7622336047962144,0.8809936631700338,3024
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12169,3043,26,5,0.047759865606516676,0.03825042324659965,0.00552941725953298,0.7238164109467414,0.8557903870386473,3043
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12148,3064,26,5,0.0451976820895731,0.03577190670234255,0.006179469953935859,0.7805450191688252,0.8858104339955992,3064
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12921,3221,25,6,0.04620897709343279,0.037468846826833796,0.004899643443296339,0.7920425394528561,0.8913909729826032,3221
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12919,3223,26,5,0.046306137586683914,0.036514191484192784,-0.01058688693816271,0.817703937927314,0.9095356222034935,3223
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12901,3241,24,7,0.05258113684748707,0.043702785499910635,0.0042421522327337115,0.6536276656556697,0.8098929880147719,3241
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12913,3229,24,7,0.051143043075140004,0.041651479281922164,-0.01975206150750631,0.8175558436548525,0.9198895122756406,3229
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12914,3228,25,6,0.043062874822121025,0.0352619555815712,0.021478756361774584,0.523074363711647,0.805066810193936,3228
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13360,3322,24,7,0.05861128319570815,0.05181297538918228,0.040074048370443996,0.523306092560248,0.8638241152042999,3322
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13334,3348,26,5,0.042142160219327,0.03278935557898346,-0.008128327492032029,0.47142456418172063,0.7223865753933306,3348
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13328,3354,23,8,0.051586112020456175,0.04335954669938122,-0.011787521020714637,0.5787649902602461,0.7777171544262242,3354
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,13338,3344,25,6,0.04414569152137932,0.03487758415369983,-0.015437677823429254,0.8076073006155668,0.9116767820412955,3344
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,13368,3314,26,5,0.05042200576199678,0.040305902687254265,-0.002610677002820473,0.7405437840177734,0.861569998973936,3314
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1,25105,6249,26,5,0.05212109399007574,0.04337085177451854,0.027980993545908644,0.6799353155056271,0.8789770968420596,6249
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,2,25084,6270,23,8,0.055433994554841895,0.04500544909418397,-0.015368854008996553,0.6075192105401594,0.7986379721990713,6270
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,3,25062,6292,24,7,0.04678391654469098,0.03678520759467814,-0.011594493048524092,0.8395859211225513,0.921699898194299,6292
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,4,25105,6249,26,5,0.048423540985287804,0.0399172777561371,0.013243590102446162,0.6885834336321758,0.8453786818657103,6249
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,5,25060,6294,25,6,0.04680668639986735,0.03655578459593949,-0.013780667849316528,0.7760501640151539,0.8937807423590209,6294
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,1,26220,6604,25,6,0.04759119106487287,0.03924197189291091,0.001187481467042062,0.7694480962818153,0.8781460178049257,6604
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,2,26204,6620,23,8,0.049985652098039075,0.04026660508928957,-0.0057264067499247055,0.6426219580334214,0.8045887512238447,6620
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,3,26290,6534,25,6,0.054676361853584696,0.04508223240581592,0.014704927873125839,0.7673319232874652,0.8856280459412245,6534
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,4,26279,6545,25,6,0.04891634483891134,0.0394429847867291,-0.00012280551911422445,0.6556780858141358,0.815538123864295,6545
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,5,26303,6521,26,5,0.04462589836905836,0.03532286952848636,-0.009344119903909143,0.732531014546886,0.8630934250422223,6521
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,1,38444,9592,26,5,0.0520740854322363,0.043433222195863555,0.02592070288852929,0.6673315788065242,0.8662464842165851,9592
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,2,38403,9633,23,8,0.05461809336407352,0.04427713116789438,-0.013571056011279609,0.5985354100741849,0.7896745526568606,9633
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,3,38392,9644,24,7,0.04880489707895443,0.038647069189954315,-0.015414146243126607,0.8255875068594505,0.9182871146204733,9644
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,4,38449,9587,25,6,0.049003139746855676,0.0400068382361359,0.006629198302361025,0.6999048069125184,0.8411872935374384,9587
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,5,38456,9580,26,5,0.04684948077085488,0.037438706411324685,-0.002917484089789516,0.7442127703586892,0.8645098439178815,9580
