sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,15325,14408,0.05047768458840194,0.040840401738983005,0.009149152724633675,0.7250351073651855,0.8598482266183569,14408.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,14408,15325,0.04759212684792052,0.03806950211264841,-0.007203488519685307,0.7156925774500575,0.8534638437061739,15325.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16270,15325,0.052062660566245554,0.04202063226256981,-0.023248792666677814,0.659771502237291,0.8534638437061742,15325.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,15325,16270,0.05297540303449894,0.04302329533197678,0.023299003840151874,0.6365518487890867,0.8412301190904236,16270.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,31595,14408,0.0499178789692744,0.040973661034504484,-0.002444434259091757,0.7311000985091511,0.8598482266183577,14408.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,30678,15325,0.049380394062147275,0.03970543639310683,-0.01655003012894088,0.6939255526861824,0.8534638437061733,15325.0
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,29733,16270,0.05175257282977856,0.041989229573208234,0.0194744006550154,0.6531371281970575,0.8412301190904219,16270.0
