sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,20158,39,0.04868395876447317,0.038966741462768975,-0.008700554703424714,0.7375971789385485,0.8662069569862696,0.9233974785925133,-0.04986502513317981,17709,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,20158,39,0.0475976952465576,0.038894280120694305,-0.0031206231352572545,0.7491762965284772,0.866206956986269,0.850481043802384,0.003785407631965887,18637,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,20158,39,0.054807921761527885,0.04360756855812125,-0.027144917131461957,0.6674297498623412,0.8662069569862695,0.8223467828968528,-0.0016912430732847206,19655,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20158,39,0.04799117097976002,0.03882593753059062,-0.006081579316149448,0.7450121884616845,0.8662069569862684,0.892584621795025,-0.026932529565862895,36346,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20158,39,0.0500106280961252,0.04030433923169219,-0.015507222674786334,0.7231010263722005,0.86620695698627,0.8340939506910341,0.0022020759879589624,38292,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20158,39,0.04949342432412206,0.03983338629024452,-0.013939685599097447,0.7287987211391143,0.8662069569862707,0.8597817812378615,-0.013165209553546275,56001,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,8560,34,0.0012248119548686639,0.0004958383513632726,-1.2062548659277483e-05,0.43789727822233515,0.7727959539934877,0.08607197904848761,-0.004652697939395059,16076,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,8560,34,0.0011638785151734806,0.0006258625613115785,0.00023019282970308553,0.4924344266718418,0.7516499917462194,0.11426048760810575,-0.005991003398268915,18809,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,8560,34,0.0012088156216650968,0.00059696709537215,0.0001396784951189646,0.45248378891457064,0.7479409837237713,0.09380331891262625,-0.004890984524567946,16065,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,8560,34,0.0011804688400339574,0.0005578107807720423,0.00010677686495251464,0.477861267603955,0.7611439386236488,0.10057196499714119,-0.005347410819013176,34885,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,8560,34,0.0011802236242720733,0.0006131841401996784,0.00019120258530475135,0.47807817015041776,0.7502527297394,0.10549150242103093,-0.005519675267444669,34874,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,8560,34,0.0011892781003306312,0.0005702123168150222,0.00011736864720085751,0.4700392593694249,0.756997869138933,0.09843572653281445,-0.005202288698277165,50950,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,3006,29,0.04946265535541446,0.0382926059575852,0.014021312368417489,0.8187823990513461,0.9132382065250513,0.9783008115989629,-0.07882532043957446,12670,36
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,3006,29,0.05045829020168642,0.03895275923818092,0.016171149750119743,0.8114135078353145,0.9132382065250507,1.0106724497839938,-0.09681417165892414,1479,13
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,3006,29,0.04833507656597483,0.03743565770715857,0.008341376541728878,0.8269505020002837,0.9132382065250509,0.9969565221035065,-0.09611114233032103,548,20
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,3006,29,0.049740519731022205,0.03851911504649132,0.01513962154781295,0.8167406424671114,0.913238206525051,0.9691566523509831,-0.07201834717216116,7098,12
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,3006,29,0.04850435044723159,0.03763052350331768,0.010398509137096428,0.8257363091105587,0.9132382065250504,0.9682952852430616,-0.07622359532236456,1422,8
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,3006,29,0.04781697052787489,0.03729918915976701,0.006690394283940492,0.8306404709404999,0.913238206525051,0.9443190490535056,-0.06501587701048728,3804,7
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,11693,35,0.032934905582049805,0.024116054546231606,0.002210407384989603,0.8879336863771896,0.9426211400903717,0.8866016814832388,-0.07863128988884222,14794,35
