sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,14408,3301,8,0.045887465750614746,0.03671103132907931,0.005053802303215685,0.7381506052862206,0.8610073408244606,3301
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,15325,3312,8,0.04435861845106604,0.03630775341418681,0.0055899412634528465,0.707123447606081,0.8445623868067982,3312
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,16270,3385,8,0.04819821092185361,0.0401756338041044,0.006712150749141737,0.6877694069420826,0.8337549178110694,3385
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,29733,6613,8,0.04529677930774807,0.03662804703077973,0.005485170955452213,0.7310093203509926,0.8576224182549903,6613
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,31595,6697,8,0.04791875888319834,0.03913697537239381,0.005952487690764757,0.6804983584646594,0.8285783284227435,6697
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,46003,9998,8,0.047360428293048415,0.03852995803626705,0.005670993854192959,0.7036590477611834,0.8416924366932985,9998
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,12260,3816,7,0.0007245475286431844,0.0004471817763169975,0.0003955365789036352,-1.3426694617276067,0.29919483942897274,3816
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,14481,4328,7,0.0007583230346325665,0.000576217780346297,0.0004996787561026678,-0.8246326909870836,0.4308435598335324,4328
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,12540,3525,7,0.0006669584909398766,0.0005159937386997429,0.0004496484515889467,-0.7782937561004053,0.4306768630307594,3525
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,26741,8144,7,0.0007602647350962301,0.0005190067678247291,0.0004512759170680385,-1.1191927301731095,0.34489470733481836,8144
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,27021,7853,7,0.0007194179584053967,0.0005510636141062461,0.00047893089313683773,-0.8093529997959961,0.430119043891011,7853
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,39281,11669,7,0.0007316947221721326,0.0005184212139264291,0.0004512093089594576,-1.0133010928218784,0.3654022574080455,11669
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,9626,3044,7,0.048429716822329556,0.036910182611832605,0.002999852435244454,0.8949574406988958,0.9462577586003906,3044
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1007,472,3,0.058115685211165724,0.047271962870314946,0.004282225290588195,0.8561039175643401,0.9263093775931427,472
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,446,102,4,0.05980752136826233,0.04595461767874648,0.009730377568320889,0.9215650625647814,0.9615298027320729,102
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,5741,1357,2,0.0506429990878194,0.039766079348169635,0.0012183472890573727,0.8318475492132883,0.9122028394834769,1357
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,947,475,2,0.05964800559515453,0.048774772701929946,-0.008281914174905784,0.8432577651759197,0.9253495775364009,475
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,2745,1059,1,0.051704390100669344,0.040539015925919436,-0.007493409641906603,0.8241300948117797,0.9113834427388571,1059
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,11564,3230,7,0.0233985850327026,0.017029444188930747,0.005333268080565868,0.8971579093105235,0.9520439950841023,3230
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,3957,1338,7,0.02892689253358553,0.02159803706101776,0.009804262456570123,0.8472636118390282,0.9335839074257689,1338
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,10674,2730,7,0.02708686831175805,0.019982640746626208,0.004756922720161507,0.898565525571587,0.9507347624486663,2730
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,15521,4568,7,0.02526001548645436,0.018629217428143285,0.006064427623616034,0.8811813946198376,0.945258147933547,4568
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,14631,4068,7,0.027516398184744325,0.02043395406729458,0.006075376556296722,0.8875887209917478,0.9467609101250484,4068
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,26195,7298,7,0.02604891441621053,0.019216019957408435,0.005651695806056238,0.889963205872347,0.948007473055721,7298
