sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,19655,39,0.05618434778378678,0.03995864132776448,0.02233586817940832,0.5886595651513762,0.8085179029260515,19655,1.1551313734412114,-0.22569733189890084,18637,39,1.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,19655,39,0.05809589698714688,0.041786829638554096,0.02680448018088045,0.5601935052725389,0.8086213398361686,19655,1.1744376129279617,-0.23415527057490104,36346,39,3.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,19655,39,0.05664542769146242,0.040429361267810666,0.02333935512933345,0.5818804870588672,0.8082641834154266,19655,1.131592005337971,-0.20892749447052783,52860,39,2.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20158,39,0.0578411170935041,0.04258265786735607,-0.020609499846144318,0.6296007728125247,0.8263968396235137,20158,1.157629710242255,-0.2496712152563645,19655,39,3.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20158,39,0.05495243241665619,0.039361640453323514,-0.009801059085852755,0.6656736787545658,0.8263030062358591,20158,1.1554035529611224,-0.23732678673065022,38292,39,2.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20158,39,0.054351797321238765,0.038623447369081965,-0.003935445242216311,0.6729421721602598,0.8262329743488965,20158,1.140900812381579,-0.22147782056941345,56001,39,1.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,16065,35,0.0012894853302347555,0.0003925857543625983,0.0001011566669168234,0.13825131427105064,0.425459125347894,16065,0.06196881477773171,-0.003217036338052651,18809,35,1.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,16065,35,0.0013012760395817143,0.0003311854581501963,2.3515542666004595e-05,0.12242006581955134,0.4344929676960816,16065,0.048851118218087936,-0.002562911615528796,34885,35,3.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,16065,35,0.0012974783305653803,0.00032149042497867737,1.465676172379757e-05,0.1275349374259085,0.44436565620974655,16065,0.05121093308468384,-0.002715574610941969,44798,35,2.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,8560,34,0.0014596118008602787,0.0005866883113877784,1.8289197220143127e-05,0.20172673092863957,0.5217112271698483,8560,0.06759827978355502,-0.0035355563855799027,16065,35,1.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,8560,34,0.001465175634557485,0.0005854107791054037,1.0326767060674017e-05,0.19562932226221286,0.519526916848801,8560,0.06461020056181882,-0.0033663357615053894,34874,35,2.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,8560,34,0.0014869718874969625,0.0005423497846808878,-6.511363074223506e-05,0.1715193478282212,0.5233888178936001,8560,0.05457086598009377,-0.0028625078863545373,50950,35,3.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-02,landsat,2023,2024,R2024-H1,1,548,20,0.07874957357159441,0.06265187327604879,0.001510938967846666,0.8525700224936876,0.9255827658599907,548,1.0615186077406784,-0.19639704221432885,1479,13,2.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-02,landsat,2022;2023,2024,R2024-H2,2,548,20,0.08072242276647719,0.06233414329031141,0.01675540754300678,0.8450906063461829,0.9235646339678732,548,0.9991848616967812,-0.14241237920595784,7098,12,3.0
landsat_sr_qa_aerosol,strict_aerosol,rolling_origin,AOI-02,landsat,2021;2022;2023,2024,R2024-H3,3,548,20,0.07856214768837698,0.06339971187973685,-0.0032962848713439085,0.8532709611744079,0.9239416511077109,548,0.9799954508929061,-0.15178579118574576,4125,7,1.0
