sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,11542,2866,23,8,0.060540095754429306,0.041484951265966866,-0.01259866562543628,0.6771823386447792,0.8319577602506792,2866
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,11495,2913,23,8,0.06705862926062765,0.04767429178000116,-0.006832836336026181,0.5842295813602078,0.7685704245306898,2913
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,11518,2890,26,5,0.05878232481131934,0.03876992427235928,0.005637220801263844,0.6325268415100971,0.7975996283868884,2890
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,11535,2873,26,5,0.0602731329806897,0.043967453259999865,0.00815833810169729,0.5317688464250112,0.7356057573487595,2873
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,11542,2866,26,5,0.05651640769298669,0.03981150133368806,0.005334638408303412,0.5300001602725353,0.7315814439414486,2866
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12263,3062,25,6,0.055595726602100846,0.03470516337625855,0.013640319935429766,0.5236878577573204,0.7453055166616515,3062
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12267,3058,25,6,0.06379776123818659,0.04566248734694079,-0.005170896981849708,0.5227526369198747,0.7251815597762524,3058
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12258,3067,26,5,0.07266206389826083,0.04979759719843746,-0.011350158377618762,0.349341820437025,0.6071681036282631,3067
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12252,3073,24,7,0.06220233163843451,0.04349193520960666,0.022886762233871615,0.46859408414915604,0.7357343754899971,3073
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12260,3065,24,7,0.057536811209005743,0.04240516359867794,-0.01924528241599492,0.45493142340265946,0.7208569914412165,3065
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13032,3238,23,8,0.04563845217645032,0.032161616785179155,-0.002580716832361919,0.6995497643135135,0.8468761670029477,3238
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13005,3265,25,6,0.05993066600115703,0.041583386511985725,-0.004178110133058074,0.5822556880197698,0.7650899754895186,3265
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13006,3264,26,5,0.05491932340263152,0.03673910545157083,0.004247466848596131,0.5873135575312953,0.7743513132640889,3264
