sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,15325,14408,0.061356034664196146,0.04387342873088687,-0.008542362584726957,0.5937503835513486,0.7776172290883877,14408.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,14408,15325,0.06312319271455241,0.04295208163488764,0.011494514512530583,0.4998550532485593,0.720700153906979,15325.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16270,15325,0.06567345136062583,0.04816493612429839,-0.021972731689584878,0.45862567865235926,0.7207078411553544,15325.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,15325,16270,0.05687577299769056,0.03968756565611357,0.021994831269253418,0.5810631629935324,0.802526185820589,16270.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,31595,14408,0.06399071876589466,0.04682968987565259,-0.020265684346114872,0.5581118326892196,0.7776378102318108,14408.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,30678,15325,0.062387073945448006,0.0434752873657809,-0.007897403714219866,0.5114520387659157,0.7206855513230784,15325.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,29733,16270,0.058738135760653246,0.04144454808984629,0.026515042649830286,0.5531783145134398,0.802645622251179,16270.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,14481,12260,0.0015810554606025219,0.0005331887996608793,0.00025305123812568943,0.01770387940466689,0.21345603560776746,12260.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,12260,14481,0.0018561863365381954,0.0003501748104686413,-4.885003902197529e-05,0.06388023809953725,0.3516247781111189,14481.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,12540,14481,0.0018302036548824058,0.0004934345865419955,0.00012468921743937362,0.08990420639068952,0.33667606705118336,14481.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,14481,12540,0.001423505112999688,0.0004446098526319933,0.00011146159149107695,0.15451902396970607,0.4374484683068008,12540.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,27021,12260,0.0015827224306726952,0.0005393575544929533,0.00026067650899594305,0.015631439199007002,0.21387973604702715,12260.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,24800,14481,0.0018395143684161591,0.0004111878425339366,2.596959906788741e-05,0.0806208733706838,0.3449691880342995,14481.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,26741,12540,0.0014359308510079767,0.0003804530397994802,2.6972019387952627e-05,0.13969424097552718,0.4463246568714842,12540.0
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,1007,4734,0.07518513629780771,0.060546140592325146,-0.013580877326786669,0.5334449538015666,0.7425709571330293,4734.0
