sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,14408,3301,8,0.0464927409205082,0.03539480249609248,-0.00558200304769085,0.7311972372733797,0.8580075588491437,3301
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,15325,3312,8,0.05022173539486292,0.03636119273385603,-0.008091414300283577,0.6245846626377218,0.7998275841298182,3312
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,16270,3385,8,0.04714092470967002,0.03559633384851344,-0.006540646424391462,0.7013174758569094,0.8408786074237004,3385
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,29733,6613,8,0.04860563458850042,0.03621926367103051,-0.006814535285513318,0.6902753152092788,0.8362889276287909,6613
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,31595,6697,8,0.05013119495265217,0.03756232394248799,-0.007556882458578013,0.6503141288934194,0.8117308889308134,6697
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,46003,9998,8,0.04986088209898088,0.03788020605295662,-0.006883995191831702,0.6715416214919281,0.8237999653026632,9998
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,12260,3816,7,0.0005281139441561246,0.0002926646587098102,0.00021408255405243342,-0.24460782347067922,0.22587696817526248,3816
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,14481,4328,7,0.0006076723731871329,0.0004322063730441447,0.0003200104978694105,-0.1716716987618061,0.4051306386425024,4328
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,12540,3525,7,0.0005913082511270081,0.0004444530213233749,0.00036221187063514577,-0.397763740721641,0.40942555914239315,3525
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,26741,8144,7,0.0005796494829742981,0.00036552813623288495,0.0002662341818922469,-0.2318892594520987,0.2951811046178843,8144
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,27021,7853,7,0.0006001013196172277,0.0004378450895906122,0.0003392354287962345,-0.2589541652378,0.4059133773336289,7853
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,39281,11669,7,0.0005846486431517922,0.00038999704654276937,0.00029576289343322224,-0.2854014239263005,0.3234949892905815,11669
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,9626,3044,7,0.07602772198019646,0.05647387317519597,0.004879576222833187,0.7411278139932398,0.862323663941942,3044
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1007,472,3,0.08857725043669652,0.06714917910944702,0.010249883608606826,0.6657228928368149,0.8234266261068006,472
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,446,102,4,0.08471727464791673,0.07014192461193824,-0.0015264863959636521,0.8426227694941845,0.9180519971935118,102
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,5741,1357,2,0.08324279401731094,0.06217856052201856,0.017620578500970593,0.5456843834899372,0.7703793341869519,1357
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,947,475,2,0.08516071355321975,0.06695841969594844,-0.009081882214383795,0.6804986012075664,0.8453857899893878,475
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,2745,1059,1,0.08056079083119459,0.06254293975057444,-0.007782160616744521,0.5730430061892146,0.7885455518196688,1059
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,11564,3230,7,0.028815227190979353,0.019056872957407624,0.004848353745717869,0.8440318925874772,0.9249934649488951,3230
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,3957,1338,7,0.035876806721463435,0.0260580411935258,0.014031265846031545,0.765054833913686,0.9096060325663969,1338
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,10674,2730,7,0.03057699274793246,0.020852004992431564,0.0055066404494216155,0.8707419704515262,0.9370471577815691,2730
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,15521,4568,7,0.03067520503158925,0.020796067648891914,0.007034891031412393,0.8247765713480992,0.9200378036139292,4568
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,14631,4068,7,0.03215967702351092,0.022371151932579283,0.008040039344194708,0.8464499099681815,0.9289669787531672,4068
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,26195,7298,7,0.03078260606094706,0.020925349020436017,0.006525475906529024,0.8463369531466958,0.9275728127037407,7298
