sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,0.9135300192938256,-0.043155574051830015,18588,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.8544793879372266,0.0011015203776342242,19556,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.8213424255681432,-0.0005959104544164262,20186,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.8860855093515934,-0.022550811709008967,38144,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.8355955161455593,0.001503039549602625,39742,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.8574769860461495,-0.011292472868706382,58330,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022,2025,W2022,1.0173301013686742,-0.1292712163021439,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023,2025,W2023,0.9776553074753339,-0.10019273470351209,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2024,2025,W2024,0.9366411712572598,-0.09070192044512082,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,0.9987877562275846,-0.11577673536057442,40512,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,0.958794174558208,-0.09651557567545455,40512,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,0.9752383787223315,-0.1057153983201129,60768,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,0.6763205577731803,0.12990002675104706,18240,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,0.707277333121073,0.11063274980962767,20246,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,0.5891133459720407,0.1777208634126911,15819,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,0.6930856764475416,0.11976048729311878,38486,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,0.6589835714426353,0.13883223549832607,36065,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,0.6639249242787757,0.13626061451539573,54305,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.0880375779596922,-0.004668238784063384,19149,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.1095402120280271,-0.0056856026415990375,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.10080825874284369,-0.005165141170417688,19872,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.09823332194897152,-0.0051511547690540355,39027,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.10532814950214119,-0.00543241236231149,39750,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.09869899820912358,-0.0051348132014611084,58899,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022,2025,W2022,0.09568404115532862,-0.005289516578059189,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023,2025,W2023,0.08499479997597868,-0.004755377108064176,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2024,2025,W2024,0.05110988172159897,-0.0028150944328324515,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,0.0891504755802703,-0.004957849780149061,39756,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,0.0668775275409987,-0.0037212072302103766,39756,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,0.07394526946946757,-0.004107939125663467,59634,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,0.073623000758823,-0.002171755886715178,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,0.07613351471289288,-0.0024567962966337425,19729,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,0.06445250534104617,-0.0020341700055470967,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,0.07344932199686377,-0.0022645884969966167,39607,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,0.07062203909620057,-0.002255905685942116,39607,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,0.07057365270261756,-0.002194677813068089,59485,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.977813455251819,-0.07893077800392567,15357,37
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0328370889095935,-0.08795051082679328,2686,15
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2024,2025,W2024,1.0145689898668873,-0.0883789183777191,1542,30
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9954864633534538,-0.08236274659659204,10105,15
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1.024334153531635,-0.0827417245398514,3407,14
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9920488741735303,-0.07874941484579179,10599,14
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2022,2025,W2022,1.0786818787665444,-0.1323418794515132,18558,38
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2023,2025,W2023,1.0997951923976506,-0.1675155461141249,9553,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2024,2025,W2024,1.0791666078148947,-0.13168707625999132,17909,38
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,1.0630927316723822,-0.13039874184425265,27583,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,1.0751804582260784,-0.13721088922673175,27078,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,1.0712191511930467,-0.1320316438948811,45108,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,0.8720815584970307,0.004934670780702921,18847,38
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,0.8812162682571696,0.031736371476948744,7586,37
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,0.8588536494727442,0.03326519436156361,18284,38
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,0.8767085097180896,0.01140106733041224,26061,37
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,0.861846901067456,0.034225364964555416,25498,37
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,0.8715566589278798,0.018698540946081255,43973,37
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.8794830332519278,-0.07694415233456961,16230,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.9643769491644603,-0.07494910528627186,11178,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8872859532100696,-0.07182197278252109,15551,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.9190494354718161,-0.07729541703790507,27408,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.915046001927823,-0.07232176131147403,26729,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.9060435273731696,-0.07506609062152703,42959,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2022,2025,W2022,0.9880589113373855,-0.10338806817693058,18858,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2023,2025,W2023,1.0295265383476033,-0.10482926625998168,17967,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2024,2025,W2024,0.942723602090946,-0.10776095969472457,18695,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,1.0134096080627302,-0.10518345600012216,36825,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,0.9656633406731697,-0.10169441721819983,36662,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,0.9696778135810633,-0.10149331436497622,55520,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,0.8372042917999825,-0.03734214781030837,19267,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2023,2025,W2023,0.8238965927972801,-0.036637054853634304,16731,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2024,2025,W2024,0.8225156139359112,-0.03184484833354012,19142,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2022;2023,2025,W2022_2023,0.8293543120646574,-0.03675656657890522,35998,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2023;2024,2025,W2023_2024,0.8222434796223715,-0.033872000581052164,35873,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-03,sentinel2,2022;2023;2024,2025,W2022_2024,0.8270263361017155,-0.035071035969743036,55140,35
