sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,12190,3022,23,8,0.05504561320168961,0.04529780602222433,-0.00686948360466466,0.7599685787920165,0.8822875112849329,3022
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,12153,3059,23,8,0.055099942917656436,0.044277385842441695,-0.01012059333746897,0.7068329480189837,0.8470546856914914,3059
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,12188,3024,26,5,0.048599581895232696,0.038930448383350386,0.005037904133617821,0.7622336047962143,0.880993663170034,3024
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,12169,3043,26,5,0.04775986560651669,0.038250423246599656,0.005529417259532945,0.7238164109467412,0.855790387038647,3043
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,12148,3064,26,5,0.0451976820895731,0.03577190670234255,0.006179469953935886,0.7805450191688252,0.8858104339955988,3064
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,12921,3221,25,6,0.04620897709343279,0.03746884682683379,0.004899643443296334,0.7920425394528562,0.8913909729826028,3221
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,12919,3223,26,5,0.04630613758668389,0.036514191484192764,-0.010586886938162638,0.8177039379273141,0.9095356222034933,3223
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,12901,3241,24,7,0.052581136847487074,0.04370278549991062,0.004242152232733796,0.6536276656556694,0.8098929880147723,3241
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,12913,3229,24,7,0.05114304307514001,0.04165147928192217,-0.019752061507506326,0.8175558436548525,0.9198895122756408,3229
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,12914,3228,25,6,0.04306287482212102,0.0352619555815712,0.021478756361774584,0.5230743637116471,0.8050668101939361,3228
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,13360,3322,24,7,0.05861128319570811,0.05181297538918224,0.04007404837044394,0.5233060925602487,0.8638241152043008,3322
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,13334,3348,26,5,0.042142160219327006,0.03278935557898346,-0.008128327492031991,0.4714245641817204,0.7223865753933304,3348
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,13328,3354,23,8,0.05158611202045618,0.04335954669938122,-0.011787521020714675,0.5787649902602461,0.7777171544262249,3354
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,13338,3344,25,6,0.044145691521379316,0.03487758415369983,-0.015437677823429249,0.807607300615567,0.9116767820412955,3344
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,13368,3314,26,5,0.05042200576199677,0.04030590268725425,-0.0026106770028204,0.7405437840177735,0.8615699989739364,3314
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1,25105,6249,26,5,0.05212109399007569,0.04337085177451851,0.027980993545908574,0.6799353155056277,0.8789770968420596,6249
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,2,25084,6270,23,8,0.055433994554841895,0.04500544909418396,-0.015368854008996546,0.6075192105401594,0.7986379721990711,6270
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,3,25062,6292,24,7,0.04678391654469099,0.03678520759467814,-0.011594493048524104,0.8395859211225513,0.9216998981943002,6292
