sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,16142,15212,0.05104710751612011,0.04108600127351466,0.008157138786016167,0.7443840749614666,0.8684032363473685,15212.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,15212,16142,0.04808137336586589,0.03843650091168872,-0.006874150859004629,0.7633150257941427,0.8785881064357618,16142.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,16682,16142,0.05232864937050381,0.04214710999987788,-0.02228280365511676,0.719652936930186,0.8785881064357606,16142.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,16142,16682,0.053128617415515465,0.04312736212982906,0.022438779858129768,0.670681611974244,0.8549287602365389,16682.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,32824,15212,0.050723481710940946,0.04131500546892308,-0.002768845965089218,0.7476148823154423,0.8684032363473678,15212.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,31894,16142,0.04972207599561664,0.03990694887559807,-0.01563569085721096,0.7468864087649103,0.8785881064357626,16142.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31354,16682,0.05204533970856492,0.04219094855302974,0.018941071113136747,0.6839741212654974,0.8549287602365382,16682.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,16719,16719,0.0432923249057108,0.03422801137808378,0.004619790103813245,0.8163607630414369,0.9054831052867301,16719.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,16719,16719,0.03836248963062476,0.029851603362962206,-0.0037868669612210124,0.8514595701484513,0.9244044005964843,16719.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2023,16719,16719,0.04227319679818108,0.032995351815834795,-0.01816144487340588,0.8196312518232287,0.9243787344506998,16719.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2024,16719,16719,0.045728167799907606,0.03736540767390744,0.018146797016293997,0.7569122528083023,0.8926223872960362,16719.0
