sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,20251,39,0.04860363397715827,0.03900263052832358,-0.00858203557608183,0.7553387468902046,0.875300807162066,0.9135300192938256,-0.043155574051830015,18588,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,20251,39,0.04762266100500571,0.038885385163776987,-0.0031412794403350205,0.7651151369039468,0.8753008071620674,0.8544793879372266,0.0011015203776342242,19556,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,20251,39,0.0545914869893199,0.04345535278618511,-0.026620959027305754,0.6913419838552175,0.8753008071620639,0.8213424255681432,-0.0005959104544164262,20186,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20251,39,0.04797847843903021,0.03885990272724078,-0.006017645668735663,0.761592093412617,0.8753008071620674,0.8860855093515934,-0.022550811709008967,38144,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20251,39,0.04992647284457529,0.04024357008372468,-0.01515288336156502,0.7418396842401008,0.8753008071620672,0.8355955161455593,0.001503039549602625,39742,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20251,39,0.04941579865093187,0.0398007839971875,-0.013564831734708419,0.7470938734763888,0.875300807162066,0.8574769860461495,-0.011292472868706382,58330,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022,2025,W2022,20256,39,0.038898135137899116,0.03089101833362958,-0.0014362570745860748,0.8441264220036429,0.9189381442753435,1.0173301013686742,-0.1292712163021439,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023,2025,W2023,20256,39,0.03894582056077907,0.03113521270455072,0.0005907677546352493,0.8437440153165496,0.9189381442753429,0.9776553074753339,-0.10019273470351209,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2024,2025,W2024,20256,39,0.04322787930996629,0.0336620010550069,-0.017883078265251123,0.8074946500900887,0.918938144275343,0.9366411712572598,-0.09070192044512082,20256,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,20256,39,0.038867793178650106,0.030956751110787037,-0.0005844996046530758,0.8443695012741552,0.9189381442753438,0.9987877562275846,-0.11577673536057442,40512,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,20256,39,0.04002219403667385,0.03149873150648683,-0.008592155694392995,0.8349875435965004,0.9189381442753424,0.958794174558208,-0.09651557567545455,40512,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,20256,39,0.039507932464609805,0.0311795790203667,-0.006579829909269168,0.8392009241772134,0.9189381442753416,0.9752383787223315,-0.1057153983201129,60768,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,19233,39,0.06308343981644987,0.05115002974821464,-0.024877656761756215,0.5854783780909002,0.8066320310505886,0.6763205577731803,0.12990002675104706,18240,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,19233,39,0.06350782020040742,0.05127618848671227,-0.025287796097400707,0.5798824067749908,0.8066455321378111,0.707277333121073,0.11063274980962767,20246,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,19233,39,0.0657804286961394,0.05366386427684627,-0.030175287594914984,0.5492768605473173,0.8066261669952048,0.5891133459720407,0.1777208634126911,15819,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,19233,39,0.06316960092734038,0.05111043213999259,-0.024804838132532404,0.5843452745618674,0.8066397841245443,0.6930856764475416,0.11976048729311878,38486,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,19233,39,0.0636924625340405,0.05173767226390861,-0.02650588494890715,0.5774359597685467,0.8066261669952032,0.6589835714426353,0.13883223549832607,36065,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,19233,39,0.06351907062745758,0.05157105451348397,-0.026067722528482776,0.5797335457065202,0.8066261669952041,0.6639249242787757,0.13626061451539573,54305,39
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022,2025,W2022,14738,35,0.0013951280046526457,0.0005133119633503603,-2.6646491557405347e-05,0.33357066162505355,0.6635350736346466,0.0880375779596922,-0.004668238784063384,19149,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023,2025,W2023,14738,35,0.00135561868885219,0.0006013871447245718,0.00013308033600652398,0.3707820696504035,0.6489570632237263,0.1095402120280271,-0.0056856026415990375,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2024,2025,W2024,14738,35,0.001375221648064254,0.0006170496079467353,0.0001349960854972197,0.35245285149110284,0.6404183852649107,0.10080825874284369,-0.005165141170417688,19872,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,14738,35,0.0013713010198709206,0.0005540147435389919,4.798856368002982e-05,0.3561397810590151,0.6558753778521125,0.09823332194897152,-0.0051511547690540355,39027,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,14738,35,0.0013650952252453096,0.0006097352173020438,0.0001351132243413226,0.3619541472415132,0.6447416215787831,0.10532814950214119,-0.00543241236231149,39750,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,14738,35,0.001372422338251498,0.0005738149403587615,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,0.09869899820912358,-0.0051348132014611084,58899,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022,2025,W2022,19878,35,0.0013974994908815535,0.0005742492357957356,0.0001561161452490064,0.3569199582033443,0.6717992420444419,0.09568404115532862,-0.005289516578059189,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023,2025,W2023,19878,35,0.0014177528791645552,0.0005203806900668374,6.465544643525729e-05,0.3381450969537696,0.6830310593402389,0.08499479997597868,-0.004755377108064176,19878,35
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2024,2025,W2024,19878,35,0.0015301914218663604,0.000472833643629273,-7.073827276235444e-05,0.2290020191971791,0.6684975744159392,0.05110988172159897,-0.0028150944328324515,19878,35
