sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022,2025,W2022,15212,3376,8,0.04627499680787524,0.037076322799345945,0.00604351812406334,0.7685607404712403,0.8791360593603608,3376
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023,2025,W2023,16142,3414,8,0.0454575945880561,0.0368799173828949,0.00542943061777048,0.7591318922635373,0.8736697746313395,3414
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2024,2025,W2024,16682,3504,8,0.048877120590333216,0.04064727226036883,0.007287911791370953,0.7220253631793048,0.8547512925364424,3504
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,31354,6790,8,0.04611388004274265,0.037139952624954876,0.005871568543454305,0.7672893231026497,0.8784962225584187,6790
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,32824,6918,8,0.04875221600862961,0.03965445737465306,0.006350203342950879,0.7260093498517481,0.8554929969956021,6918
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,48036,10294,8,0.048082112303061024,0.03901522910044786,0.006284640663895056,0.741867548852579,0.8643897391898059,10294
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022,2025,W2022,16719,3537,8,0.042670104493657386,0.033993360675893335,0.0023733108845129585,0.8149708613805444,0.9035832292396744,3537
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023,2025,W2023,16719,3537,8,0.03584447765459105,0.029367699622082723,0.005769321042080167,0.8632691660245071,0.9324624458796481,3537
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2024,2025,W2024,16719,3537,8,0.043247983274270034,0.0349111003155803,0.0014204470773359445,0.7906346151033368,0.8907227259368676,3537
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,33438,7074,8,0.03936403124863363,0.03156681459097767,0.004165798753866264,0.8425500419702949,0.9197005106677978,7074
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,33438,7074,8,0.040276049281590565,0.032647091163051076,0.003556655210282803,0.8244226449493122,0.9101894429396519,7074
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,50157,10611,8,0.041209844713550735,0.03332849646740994,0.0032859849660920063,0.8219848904238992,0.9082344228206746,10611
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,15086,3154,8,0.05529925298694233,0.043991460658847785,0.014032496928134961,0.5722360277464512,0.7746098561036399,3154
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,16713,3533,8,0.04703218525787581,0.03823786531444371,0.007722359502453765,0.7623665021782167,0.877308545879724,3533
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,12687,3132,8,0.05846473559497096,0.04682465474470022,0.002147255239914344,0.6039533077676638,0.7777087875383252,3132
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,31799,6687,8,0.05113571009556315,0.04098964174067153,0.010785614267017324,0.6885948944630278,0.8383031497761064,6687
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,29400,6665,8,0.05315273542994542,0.0425729952113783,0.005203264977641234,0.688771768061436,0.8317668130817536,6665
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,44486,9819,8,0.05375119006558886,0.04292775609692555,0.0079933551029043,0.6596555187113438,0.8168174720492983,9819
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022,2025,W2022,14773,4376,7,0.0008048605609236025,0.000524257861754342,0.0004718878841591257,-1.493153531244975,0.34653614581335374,4376
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023,2025,W2023,15456,4422,7,0.0007769105362741635,0.0006011065678381772,0.0005255428565465471,-0.9559201494369673,0.41717837652873957,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2024,2025,W2024,15451,4421,7,0.0007669545476743121,0.0006021138736079739,0.0005272624910063777,-0.9723843665741592,0.4150982708442978,4421
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,30229,8798,7,0.0008056093142721977,0.0005653718957837145,0.000499935718673082,-1.2816700960438054,0.36168165369505867,8798
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,30907,8843,7,0.0007731224946904506,0.0006026618209508796,0.0005276005409209309,-0.9699738707015115,0.4160465975942751,8843
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,45680,13219,7,0.0007928665561675632,0.0005767813028014326,0.0005077911509089823,-1.174722754001571,0.3735967477290961,13219
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022,2025,W2022,15456,4422,7,0.0007287702845365235,0.0005298024392357094,0.00046304425314929907,-0.817501856112111,0.399938874875624,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023,2025,W2023,15456,4422,7,0.000678869201148193,0.0005021583240761388,0.00040498467944199225,-0.4934177552489758,0.3791011281588337,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2024,2025,W2024,15456,4422,7,0.0006118473579858844,0.000444789247236032,0.00033760449529556175,-0.2555522681620621,0.38002842676627474,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,30912,8844,7,0.0006961205837851936,0.00050963695343706,0.0004267646142011948,-0.6129052851545471,0.3884496128889544,8844
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,30912,8844,7,0.0006470227568410972,0.000477414254411249,0.0003754885867096087,-0.3799110699886119,0.37697963364226234,8844
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,46368,13266,7,0.0006626908855506585,0.00048501882201557457,0.00039323911145315143,-0.4654087615962019,0.38143662631387076,13266
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,15456,4422,7,0.0007437487812019748,0.0004356294932641062,0.00035541020049196294,-0.8929802594592968,0.2861702358672333,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,15310,4419,7,0.0007011154818879295,0.00045357289846607813,0.0003438734724757169,-0.5918399250727748,0.25786577581414016,4419
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,15456,4422,7,0.0006073412104872538,0.0004249348859862989,0.0003218304370918431,-0.2371265296317835,0.386815993736602,4422
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,30766,8841,7,0.000721756739512275,0.00045263990793232076,0.000357337120127451,-0.7333124912953506,0.27104084354280017,8841
