sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,block_id,block_rmse,block_mae,block_bias,block_n
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_1,0.048212729564965646,0.04018497825444894,0.02213726680544067,51
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_2,0.044320246499835715,0.035227012024970146,-0.013949319068262963,185
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_3,0.03987011597561317,0.030468179040205382,-0.006333444470749216,156
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_4,0.03446496451986754,0.027534037150506147,0.016425412740627653,57
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_1,0.058465760496106765,0.04810821603853982,0.025598475505250157,403
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_2,0.04715038637914688,0.03939032955286364,0.024275101942134097,860
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_3,0.040792905234525154,0.03302140491083084,0.002340411274472579,900
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_4,0.034462927362721225,0.02720226614981574,0.009531262278339805,834
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_5,0.04049891229435903,0.032463939384680694,0.01745574901063753,12
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_1,0.056451949889395524,0.04584249408689971,0.025707911302660407,442
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_2,0.04935555333458843,0.041431647408128824,0.02525464563055502,894
