sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,20186,39,0.053372821640600185,0.04341159041091878,0.022798545199474253,0.667898639718175,0.8542145165039157,20186,0.8544793879372266,0.0011015203776342242,19556,39,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,20186,39,0.05223999101389107,0.04243817178459477,0.01927251121001164,0.6818466390847546,0.8542145165039182,20186,0.8860855093515934,-0.022550811709008967,38144,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,20186,39,0.05194068260483451,0.04222499940610409,0.01914394081990233,0.6854819068708957,0.8542145165039171,20186,0.8582634149850384,-0.004962694955891633,56238,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20251,39,0.0545914869893199,0.04345535278618511,-0.026620959027305754,0.6913419838552175,0.8753008071620639,20251,0.8213424255681432,-0.0005959104544164262,20186,39,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20251,39,0.04992647284457529,0.04024357008372468,-0.01515288336156502,0.7418396842401008,0.8753008071620672,20251,0.8355955161455593,0.001503039549602625,39742,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20251,39,0.04941579865093187,0.0398007839971875,-0.013564831734708419,0.7470938734763888,0.875300807162066,20251,0.8574769860461495,-0.011292472868706382,58330,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,20256,39,0.04563912665302199,0.03737105013442317,0.017348173704043245,0.7595941942574856,0.8921070756870437,20256,0.9776553074753339,-0.10019273470351209,20256,39,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,20256,39,0.04518691537902302,0.036921101155368695,0.015595780097063167,0.7643346716066601,0.8921236198273842,20256,0.9987877562275846,-0.11577673536057442,40512,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,20256,39,0.04433428920759967,0.036186264331741956,0.01357061085127728,0.7731442449939067,0.8921089734613143,20256,0.9767703732946386,-0.1033914010245276,60760,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,20256,39,0.04322787930996629,0.0336620010550069,-0.017883078265251123,0.8074946500900887,0.918938144275343,20256,0.9366411712572598,-0.09070192044512082,20256,39,3.0
