sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2024,1y_vs_2y,1,2,39,-8.281789197072856e-05,-0.6049658885561884,0.5487975236574862,0.5487975236574862,False
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.0011368475225556442,4.232701549411569,0.00014073765736394257,0.00028147531472788514,True
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.0012196654145263728,5.012100307006909,1.2783913608435266e-05,3.83517408253058e-05,True
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.002848505690374404,3.4787601470839165,0.0012795924577991033,0.00383877737339731,True
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.0034463346150602546,2.9493542794835554,0.0054240732135910665,0.010848146427182133,True
non_overlapping_temporal_composition,primary_matched,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.0005978289246858503,1.6896056458229436,0.09929312534021723,0.09929312534021723,False
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2024,1y_vs_2y,1,2,39,0.0005994881252950857,1.7392825746301535,0.09008102120963658,0.09008102120963658,False
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2024,1y_vs_3y,1,3,39,0.0017230242338238195,2.675555487907849,0.010945713670187037,0.021891427340374074,True
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2024,2y_vs_3y,2,3,39,0.001123536108528734,3.229292060645929,0.0025603487254333536,0.007681046176300061,True
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2025,1y_vs_2y,1,2,39,0.0033482946135015615,3.7125951655934504,0.0006557632014539236,0.001967289604361771,True
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2025,1y_vs_3y,1,3,39,0.0034008030455863728,3.567743938181915,0.0009941287233260765,0.001988257446652153,True
non_overlapping_temporal_composition,primary_matched,AOI-00,modis,2025,2y_vs_3y,2,3,39,5.2508432084810313e-05,0.5874169418236065,0.5603982194817814,0.5603982194817814,False
non_overlapping_temporal_composition,primary_matched,AOI-00,sentinel2,2024,1y_vs_2y,1,2,39,0.00022283357825590488,1.7167606553041743,0.094164976713152,0.282494930139456,False
non_overlapping_temporal_composition,primary_matched,AOI-00,sentinel2,2024,1y_vs_3y,1,3,39,-0.0010260245130237595,-0.9509983770419587,0.3476150670696722,0.4328557949249264,False
non_overlapping_temporal_composition,primary_matched,AOI-00,sentinel2,2024,2y_vs_3y,2,3,39,-0.0012488580912796644,-1.2569924012283586,0.2164278974624632,0.4328557949249264,False
non_overlapping_temporal_composition,primary_matched,AOI-00,sentinel2,2025,1y_vs_2y,1,2,39,0.0012933600915305712,1.4967525671834625,0.14271820421980402,0.2179063765834022,False
non_overlapping_temporal_composition,primary_matched,AOI-00,sentinel2,2025,1y_vs_3y,1,3,39,0.0014128526062997476,1.6414640062370973,0.1089531882917011,0.2179063765834022,False
