sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,0.9140471829239694,-0.036385851428821114,13159,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.8613305584425657,-0.0021525533660397,12841,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.8247297840292268,-0.002687086898274793,18920,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.8872239938178333,-0.01929402601709318,26000,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.8368114827028112,-0.0007961196000023651,31761,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.8511369229484604,-0.006437034644040218,44920,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022,2025,W2022,1.0408087769520054,-0.1498354868010443,10732,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023,2025,W2023,0.9746527911216444,-0.09814716463484807,20043,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2024,2025,W2024,0.9312146601959905,-0.08945545822225454,16212,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,1.002802294862217,-0.11980640040318535,30775,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,0.9592098114556422,-0.09681707856695843,36255,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,0.9784204880714239,-0.10959248356672746,46987,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,0.6404465942366467,0.15098454904056102,5928,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,0.6992721558332868,0.11623791401690031,13486,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,0.5869177021573005,0.17692576741262633,8101,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,0.6835517013062149,0.12590541518496368,19414,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,0.6617374084268253,0.13718708793452378,21587,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,0.6574934449657039,0.14002458930024503,27515,39
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.0947369577144108,-0.004986759240921149,9709,34
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.10616768742614131,-0.005509522937845851,15205,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.0980351747807159,-0.005103139884648391,10862,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.102154150765038,-0.005330777255285372,24912,34
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.10277392674172861,-0.005341488255316043,26067,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.10086095928400676,-0.005259960629276608,35773,34
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022,2025,W2022,0.09667384384522865,-0.005346229277428304,19809,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2023,2025,W2023,0.09074889851478275,-0.005094112047038029,19735,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2024,2025,W2024,0.06381744203110255,-0.0035654022941035454,19776,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,0.09283782622811591,-0.005171988324189129,39544,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,0.07679133920581896,-0.004304694163664747,39511,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,0.08167889958366328,-0.004558547034691226,59320,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,0.08286245802853434,-0.0025532985254751927,15920,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,0.07800826035853063,-0.0025849262746615136,13138,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,0.06516045746702244,-0.0020460100811503035,19112,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,0.07977912440762687,-0.002540517769382411,29058,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,0.07036259794310887,-0.0022604543343236073,32250,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,0.0745720560155815,-0.0023651593882318507,48170,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9606899159551845,-0.06884407173948737,4780,34
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0022940082381235,-0.09148053981283621,581,6
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,1.0141287724911017,-0.08862884978280416,1521,30
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9634131442644709,-0.07496997798121924,1550,6
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,0.9757823460320222,-0.0642315703663201,1097,6
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9553551010505897,-0.06275809547069522,2066,6
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2022,2025,W2022,1.0815071177706657,-0.1325309422416855,10412,38
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2023,2025,W2023,1.0617848922378972,-0.14471030383641992,2351,31
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2024,2025,W2024,1.0917610135675628,-0.13716990671420481,11497,38
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,1.0644190578166963,-0.1267496993712916,12160,31
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,1.0846448053097917,-0.13763364424476654,13359,31
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,1.0812277915549615,-0.13393000939017785,23168,31
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,0.869538679914865,0.008141679505282662,12476,38
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,0.8645987702007649,0.0158277208319354,3484,36
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,0.8576427494281302,0.03532586836083085,15496,38
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,0.86939071303565,0.00904014390671709,15302,36
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,0.861859465471298,0.02893044088954938,18099,36
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,0.8712666515540392,0.016922481339457562,29917,36
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.9036296886741364,-0.07960012975315736,10030,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.951243841264831,-0.07267138230950893,8852,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8905279008073241,-0.07220938026197007,10134,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.9256011096263199,-0.07629698230287821,18882,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.9149435368696002,-0.0716565099233816,18986,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.9120333586871154,-0.0746342548543138,29016,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2022,2025,W2022,0.9762079367035424,-0.10571785776735604,5224,30
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2023,2025,W2023,1.0604899848999148,-0.11497408358426811,9089,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2024,2025,W2024,0.987570725461079,-0.11318946356028603,12878,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,1.0466259686192636,-0.11577160445414278,13793,30
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,1.0016165097048315,-0.10999047459844472,21967,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,0.9921934134754163,-0.10804021351268298,25664,30
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,0.8417607821211393,-0.038448626403034314,15651,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2023,2025,W2023,0.8002969095990571,-0.03034992624604449,7151,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2024,2025,W2024,0.828665363647014,-0.03480480434196889,9944,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2022;2023,2025,W2022_2023,0.8260853038510033,-0.03565686912968927,22802,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2023;2024,2025,W2023_2024,0.818394530643992,-0.03339455587404341,17095,35
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-03,sentinel2,2022;2023;2024,2025,W2022_2024,0.827359445684816,-0.035496771159067186,32746,35
