sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,1,8620,2159,23,8,0.051374916393640245,0.040484165690121525,-0.031032786324736814,0.7408638804962168,0.9154981965168906,2159
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,2,8622,2157,24,7,0.05329027045012339,0.04466693735913718,0.014444292270100889,0.6956044402202912,0.8474877966414424,2157
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,3,8611,2168,26,5,0.05409942844870058,0.04494153560665178,0.024063382783998884,0.6544783463167023,0.8517806608460773,2168
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,4,8629,2150,25,6,0.048173689734631174,0.038894231593018476,-0.007058394314120438,0.6971820399972972,0.8434747522966048,2150
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,5,8634,2145,26,5,0.03972805787955394,0.03079310583330132,0.0008843662251601813,0.7893939028524954,0.8914563892141458,2145
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,1,8468,2136,25,6,0.04615226210932435,0.03775933462216027,-0.005744840409459348,0.8403252800360554,0.9223795410301586,2136
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,2,8484,2120,25,6,0.046066779300641555,0.038595391133904616,0.023467601071905358,0.4111182151320135,0.7657253451906993,2120
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,3,8493,2111,26,5,0.049721306580205155,0.04031320817033504,0.013367154831197473,0.6744673092150648,0.8359275585651057,2111
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,4,8482,2122,24,7,0.055181064446933846,0.0447401277244376,-0.01725272039191175,0.8221105975449587,0.918484204074105,2122
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,5,8489,2115,24,7,0.0395554133476951,0.031396394858120964,-0.01216976931404873,0.7614754140797136,0.8877817169572786,2115
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,1,12444,3138,25,6,0.04558554808702395,0.0357837988699406,-0.00537878032595186,0.7377649716342422,0.8613505238765667,3138
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,2,12475,3107,24,7,0.049208181295615425,0.04141642913025611,0.01405240741787763,0.6816109859595657,0.842856033147692,3107
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,3,12470,3112,25,6,0.048046900949713,0.038947469068083475,0.017630088438301588,0.6614749929407935,0.8447522923704429,3112
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,4,12480,3102,26,5,0.05223534921881625,0.044457821010090916,-0.02145313536143057,0.6674180814062165,0.8507289043156843,3102
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,5,12459,3123,24,7,0.04616842139491534,0.0366328877300708,-0.00490818084012414,0.8021766869536859,0.8969642120392378,3123
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1,17118,4265,26,5,0.04831136581534121,0.03846147204427711,-0.021353172720834986,0.8507793045749316,0.9382883093203019,4265
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,2,17110,4273,25,6,0.048326119553372925,0.040040189947943304,0.01929180149167547,0.6863258517044577,0.8611686266856478,4273
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,3,17091,4292,25,6,0.0514821438571118,0.043140141070522185,0.026864087043363218,0.368903835201862,0.7497494400656604,4292
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,4,17095,4288,24,7,0.04880558637991799,0.03965253104017828,-0.011602907053642246,0.6231337285971137,0.804631021171861,4288
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,5,17118,4265,24,7,0.04723397250043237,0.03640716745279658,-0.013152343368730945,0.8357943077381168,0.9211771287491578,4265
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,1,20955,5231,26,5,0.04985969874588997,0.039600148705600205,-0.005329269601014371,0.808217363295453,0.9013640957141688,5231
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,2,20920,5266,24,7,0.050585512402803394,0.04141996080027044,-0.008907556831729427,0.7405123655115646,0.8652073423760818,5266
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,3,20963,5223,26,5,0.045191421441548585,0.036153071626258415,0.010076670669693269,0.6599543250373481,0.8312323299128922,5223
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,4,20958,5228,25,6,0.04548117987763515,0.03705168105770005,0.0071609151547158195,0.7583423342854375,0.8748883747182924,5228
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,5,20948,5238,23,8,0.05233417339612781,0.04320189021119344,-0.002471674694993804,0.6656873174536557,0.8164410265219668,5238
