sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,10604,10779,0.04843521614654869,0.039107724489656034,0.002497535217792668,0.7571787092110231,0.8718337834345273,10779.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,10779,10604,0.046771331103642386,0.03745114220813702,-0.00139834780771949,0.7775307449781239,0.8833668770657989,10604.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,15582,10604,0.05211274914482243,0.041958061627431896,-0.023137143171244108,0.7238160037576908,0.8833668770657976,10604.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,10604,15582,0.053110160149618085,0.04300006120888183,0.023401819083140058,0.6694546479095018,0.8577943672084584,15582.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,26186,10779,0.04986731182403406,0.04076668974658169,-0.010688838489563703,0.7426073186323678,0.8718337834345274,10779.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,26361,10604,0.0488815721568609,0.039323853415742946,-0.014976858143898254,0.7570030226551696,0.8833668770657985,10604.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,21383,15582,0.05298832554365662,0.042909339164100106,0.022557644185398816,0.6709694492515774,0.8577943672084591,15582.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,16560,9051,0.0446398029490328,0.03605164269325642,0.010139809097520488,0.815188337642135,0.9100225786820458,9051.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,9051,16560,0.03941630764448344,0.03034379828971066,-0.008788172444401613,0.8382545756127316,0.9220543431046213,16560.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2023,13483,16560,0.04376324145923652,0.03423132814508267,-0.021358889440391885,0.8006119667129958,0.9219997198407358,16560.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023;2024,2025,W2023_2024,COMPLETED,2024,16560,13483,0.04702177364891081,0.038937347084819794,0.021185079717223297,0.7340680551998235,0.8888628162961134,13483.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,30043,9051,0.04373078545653324,0.03553560755162449,0.0009499051298014656,0.822638484317441,0.9100225786820461,9051.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,22534,16560,0.0414981056705194,0.032187712108173096,-0.016794502862419774,0.8207180074425543,0.9220097754088986,16560.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,25611,13483,0.04583815628816039,0.037786409055145756,0.017700160063467092,0.7472874683131565,0.8888840701710634,13483.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,COMPLETED,2022,11142,4887,0.057537033844996324,0.0457149853241805,-0.0011739342183600145,0.6092642736533145,0.7836562760066478,4887.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023,2025,W2022_2023,COMPLETED,2023,4887,11142,0.04730571832796042,0.03828742750480664,-0.0008253044404431258,0.768968271101488,0.880001454864421,11142.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2023,6508,11142,0.0495703868691892,0.04039135119268819,-0.00879439076128251,0.7463184037743695,0.8799237996450906,11142.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2024,11142,6508,0.06318059490624028,0.04893610495502059,0.005012749427292852,0.5323777320598397,0.7452945533834434,6508.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,17650,4887,0.057275096571007975,0.04560281183754354,-0.002230460534770877,0.6128138233621998,0.7836320488313866,4887.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,11395,11142,0.04838060113109613,0.03933116376068043,-0.005437371472555391,0.7583499633184042,0.8799593388148296,11142.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,16029,6508,0.06288971679222445,0.04879809351467247,0.005738702844560768,0.5366736070445957,0.7452855002005122,6508.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,11792,7415,0.0011554185696333787,0.0005086488721116869,0.0003408808582974573,0.4560758406972616,0.7295133078902181,7415.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,7415,11792,0.0013756801168858417,0.00044372054388779866,0.00018027050861336717,0.4727729376838147,0.7787585818363713,11792.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,8411,11794,0.0013869539980239517,0.0004929151942680291,0.00023571833192202916,0.46418703926651705,0.7644507665735921,11794.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,11794,8411,0.0012426340480099676,0.0005620634147781975,0.0002798498308318749,0.4805316030571114,0.736841251015769,8411.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,20202,7415,0.0011591405113213246,0.0004938856883441538,0.0003188752455108747,0.45256591842912,0.7292103667808952,7415.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,15825,11792,0.001380863757883156,0.0004693146759981317,0.00020945554941961372,0.4687922088093397,0.7711761221548235,11792.0
