sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,train_n,test_n,block_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,10779,2380,8,0.042421179131248744,0.03352962226931637,0.00422565989371894,0.7987315142289377,0.8950402478645245,2380
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,10604,2237,8,0.04430237162124,0.03596686365598143,0.006394515231864773,0.75780676513009,0.8734395074474632,2237
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,15582,3338,8,0.04857809569709751,0.04047413751736363,0.008789099348103922,0.7236657582788797,0.8577369557721322,3338
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,21383,4617,8,0.04343455684881465,0.034806742824760026,0.005363988875166025,0.7826604123549001,0.8866656918141812,4617
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,26186,5575,8,0.04854673631067235,0.03966124735566835,0.00788993489353905,0.722134810203805,0.8547818233412562,5575
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,36965,7955,8,0.047370849144255885,0.03835727883331447,0.006764167386858017,0.7403970858636965,0.863939978123776,7955
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022,2025,W2022,9051,1681,8,0.03715764043258598,0.029547983372405377,0.00385236001070881,0.8526209882251427,0.9254398528094535,1681
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2023,2025,W2023,16560,3483,8,0.03576750446376351,0.0293587565961215,0.005630178717056739,0.8487199463200942,0.9248259286966287,3483
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2024,2025,W2024,13483,2729,8,0.043930610056282286,0.03533386901418094,-0.0029429895211469225,0.7704929007138689,0.8812140832056358,2729
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,modis,2022;2023,2025,W2022_2023,25611,5164,8,0.03642735701287881,0.029466593723887085,0.004975991358881689,0.8551168832886529,0.927613413587123,5164
