sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,block_id,block_rmse,block_mae,block_bias,block_n
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_1,0.04882487136491387,0.04139885795774713,0.026488815055613384,45
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_2,0.04254974181252263,0.03343062808774275,-0.013010042047190128,142
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_3,0.038196056456263325,0.029174580377121874,-0.002101717848756329,148
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_0_4,0.03531428535783999,0.02839214670560591,0.017953054434234644,57
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_1,0.058477858803952266,0.048460429426037135,0.027933537479430788,351
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_2,0.04820558898652553,0.04049104613138784,0.02684956073950558,828
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_3,0.03983345887632297,0.03249910942796164,0.006602620174337769,823
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_4,0.03522325900484374,0.02795833566111385,0.010483471289181008,815
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_1_5,0.04145682554377584,0.033012879614481426,0.018593005141394708,12
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,AOI-00_b_2_1,0.05546823876577897,0.04515762789784745,0.028270186908448618,411
