sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,18920,39,0.05340418678013947,0.043364069389388936,0.023867774476683,0.6660356013120015,0.856848235005668,18920,0.8613305584425657,-0.0021525533660397,12841,39,3.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,18920,39,0.05334591294240889,0.04332697023356174,0.02323354180004993,0.6667640374277659,0.8568482350056673,18920,0.8872239938178333,-0.01929402601709318,26000,39,2.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,18920,39,0.05193921837374434,0.0421379900843755,0.02051867961155902,0.6841067255438258,0.8568482350056661,18920,0.8516459329799072,0.0006723659256130388,38679,39,1.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20017,39,0.054519065156254466,0.043369007200996935,-0.02662153119023411,0.6817898403881015,0.8709496879560623,20017,0.8247297840292268,-0.002687086898274793,18920,39,3.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20017,39,0.05039489023608029,0.04051402391030642,-0.016777247317180013,0.7281118698479166,0.8709496879560615,20017,0.8368114827028112,-0.0007961196000023651,31761,39,2.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20017,39,0.049234751284382386,0.03972869685056634,-0.012987802903911225,0.7404860324030976,0.8709496879560616,20017,0.8511369229484604,-0.006437034644040218,44920,39,1.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,16212,39,0.04663795252942004,0.03862491628369353,0.01963825693814166,0.7388968983736703,0.8870761023139372,16212,0.9746527911216444,-0.09814716463484807,20043,39,3.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,16212,39,0.04560840541331744,0.037607871628073525,0.016343150214987955,0.7502975200366195,0.8871057461791739,16212,1.002802294862217,-0.11980640040318535,30775,39,2.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,16212,39,0.044253073726474884,0.0363642502858094,0.012871709027339587,0.7649176836770337,0.8870879567259116,16212,0.9796804890489966,-0.10819446376582165,42586,39,1.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,18641,39,0.04471272126346641,0.03479663386127226,-0.020622291277759774,0.7903811321593328,0.9164204100718231,18641,0.9312146601959905,-0.08945545822225454,16212,39,3.0
non_overlapping_temporal_composition,primary_matched,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,18641,39,0.04033529860233427,0.031736239547553516,-0.008979970252982203,0.8294158329599023,0.9164204100718226,18641,0.9592098114556422,-0.09681707856695843,36255,39,2.0
