sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2024,1y_vs_2y,1,2,39,-0.0008291283830777691,-2.5587822802595963,0.01461048815793311,0.02922097631586622,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2024,1y_vs_3y,1,3,39,0.00026235493732467075,1.1090348244578687,0.2743848609654825,0.2743848609654825,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2024,2y_vs_3y,2,3,39,0.00109148332040244,4.10670254639371,0.00020549139882600112,0.0006164741964780033,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2025,1y_vs_2y,1,2,39,0.002102738434245336,2.913902435910206,0.005951438213894629,0.01785431464168389,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2025,1y_vs_3y,1,3,39,0.0031469904174724517,2.727352469620869,0.009609461670147555,0.01921892334029511,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,landsat,2025,2y_vs_3y,2,3,39,0.0010442519832271162,2.370918954391193,0.02291822687895254,0.02291822687895254,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2024,1y_vs_2y,1,2,39,0.00015781226031905306,0.43674561460137606,0.6647676049632919,1.0,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2024,1y_vs_3y,1,3,39,0.00018751630966186374,0.7810601011604099,0.43960619596352085,1.0,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2024,2y_vs_3y,2,3,39,2.9704049342810696e-05,0.24315862003689623,0.8091903627119273,1.0,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2025,1y_vs_2y,1,2,39,0.0011955846324076523,1.8652495145673276,0.06988181391784881,0.1876129125335861,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2025,1y_vs_3y,1,3,39,0.0011850248491366037,1.9188506582332001,0.06253763751119537,0.1876129125335861,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,modis,2025,2y_vs_3y,2,3,39,-1.0559783271048355e-05,-0.10832953446760608,0.9143042930786445,0.9143042930786445,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2024,1y_vs_2y,1,2,39,0.00010007517154736062,0.3038306980578548,0.7629143626112153,0.7629143626112153,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2024,1y_vs_3y,1,3,39,-0.0023382234580035287,-1.4588101737930583,0.1528343845841758,0.3056687691683516,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2024,2y_vs_3y,2,3,39,-0.00243829862955089,-1.8842542062105703,0.0671976853654611,0.20159305609638328,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2025,1y_vs_2y,1,2,39,0.0010571738426356152,1.387565706540537,0.173353154297029,0.173353154297029,False
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2025,1y_vs_3y,1,3,39,0.0019755688324701623,2.3440505944871735,0.024405466518982292,0.048810933037964584,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-00,sentinel2,2025,2y_vs_3y,2,3,39,0.0009183949898345473,6.109976264369869,4.0224068267044857e-07,1.2067220480113458e-06,True
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,AOI-01,landsat,2024,1y_vs_2y,1,2,35,6.076580444760074e-06,0.8394557708036543,0.40707758084040724,0.40707758084040724,False
