sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,18920,39,0.05421603307552783,0.0437617159430832,0.016963577709130723,0.6558046210124928,0.8337866699367015,18920,0.8613305584425672,-0.0021525533660406992,12841,39,2.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,18920,39,0.0554669895597215,0.04486750564128322,0.020959358617217577,0.6397377549615606,0.8337866699367015,18920,0.8498933218618941,0.009042865278507839,26000,39,3.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,18920,39,0.054155030547034584,0.04372754063260131,0.017988886418782178,0.656578745369888,0.8337866699367011,18920,0.8153871606036369,0.02779371177301504,38679,39,1.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,20017,39,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017,0.7898189829121377,0.025899763643027374,18920,39,3.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,20017,39,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017,0.8205371652514329,0.013459316849945502,31761,39,2.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,20017,39,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,20017,0.8168401225831681,0.020725772215602234,44920,39,1.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,16212,39,0.046960923133788184,0.037881294005967035,0.00976812802021302,0.7352680676754622,0.8666623813367541,16212,0.9473292618979152,-0.0814248949855989,20043,39,3.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,16212,39,0.04658651702697735,0.037249797233645965,0.005780586136500097,0.7394725052668678,0.8666895600046245,16212,0.9693154995005443,-0.09955184818107021,30775,39,1.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,16212,39,0.046625915617268796,0.037397439119613095,0.007107011031813737,0.7390316585571604,0.8666782761554294,16212,0.9591669569317681,-0.09169891045762812,42586,39,2.0
non_overlapping_temporal_composition,nearest_nominal_nonoverlap_matched,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,18641,39,0.044496397799204924,0.03424488112283048,-0.012799879131827913,0.7924045289014423,0.9039382033914615,18641,0.879818584535097,-0.04778493581239729,16212,39,3.0
