sensor,AOI,year,nominal_date,original_source_observation_count,assigned_count,rejected_count,duplicate_source_identities,retention_fraction,resulting_paired_identity_count,resulting_composite_count
sentinel2,AOI-00,2021,2021-07-20,13,4,0,0,1.0,4635,1
sentinel2,AOI-00,2021,2021-07-31,13,3,0,0,1.0,3240,1
sentinel2,AOI-00,2021,2021-08-10,13,6,0,0,1.0,4493,1
sentinel2,AOI-00,2022,2022-07-20,10,6,0,0,1.0,5768,1
sentinel2,AOI-00,2022,2022-07-31,10,2,0,0,1.0,94,1
sentinel2,AOI-00,2022,2022-08-10,10,2,0,0,1.0,66,1
sentinel2,AOI-00,2023,2023-07-20,16,8,0,0,1.0,6638,1
sentinel2,AOI-00,2023,2023-07-31,16,2,0,0,1.0,96,1
sentinel2,AOI-00,2023,2023-08-10,16,6,0,0,1.0,6752,1
sentinel2,AOI-00,2024,2024-07-20,14,3,0,0,1.0,1309,1
sentinel2,AOI-00,2024,2024-07-31,14,3,0,0,1.0,82,1
sentinel2,AOI-00,2024,2024-08-10,14,8,0,0,1.0,6710,1
sentinel2,AOI-00,2025,2025-07-20,19,7,0,0,1.0,4728,1
sentinel2,AOI-00,2025,2025-07-31,19,4,0,0,1.0,1451,1
sentinel2,AOI-00,2025,2025-08-10,19,8,0,0,1.0,6630,1
sentinel2,AOI-01,2021,2021-07-20,14,4,0,0,1.0,6590,1
sentinel2,AOI-01,2021,2021-07-31,14,3,0,0,1.0,6291,1
sentinel2,AOI-01,2021,2021-08-10,14,7,0,0,1.0,6591,1
sentinel2,AOI-01,2022,2022-07-20,14,5,0,0,1.0,6626,1
sentinel2,AOI-01,2022,2022-07-31,14,3,0,0,1.0,2668,1
sentinel2,AOI-01,2022,2022-08-10,14,6,0,0,1.0,6626,1
sentinel2,AOI-01,2023,2023-07-20,16,8,0,0,1.0,6539,1
sentinel2,AOI-01,2023,2023-07-31,16,0,0,0,1.0,0,0
sentinel2,AOI-01,2023,2023-08-10,16,8,0,0,1.0,6599,1
sentinel2,AOI-01,2024,2024-07-20,15,6,0,0,1.0,6626,1
sentinel2,AOI-01,2024,2024-07-31,15,2,0,0,1.0,6625,1
sentinel2,AOI-01,2024,2024-08-10,15,7,0,0,1.0,5861,1
sentinel2,AOI-01,2025,2025-07-20,19,7,0,0,1.0,6160,1
sentinel2,AOI-01,2025,2025-07-31,19,5,0,0,1.0,6623,1
sentinel2,AOI-01,2025,2025-08-10,19,7,0,0,1.0,6626,1
sentinel2,AOI-02,2021,2021-07-20,15,8,0,0,1.0,6298,1
sentinel2,AOI-02,2021,2021-07-31,15,4,0,0,1.0,1663,1
sentinel2,AOI-02,2021,2021-08-10,15,3,0,0,1.0,727,1
sentinel2,AOI-02,2022,2022-07-20,18,6,0,0,1.0,6318,1
sentinel2,AOI-02,2022,2022-07-31,18,4,0,0,1.0,180,1
sentinel2,AOI-02,2022,2022-08-10,18,8,0,0,1.0,5978,1
sentinel2,AOI-02,2023,2023-07-20,9,4,0,0,1.0,3480,1
sentinel2,AOI-02,2023,2023-07-31,9,2,0,0,1.0,0,1
sentinel2,AOI-02,2023,2023-08-10,9,3,0,0,1.0,4,1
sentinel2,AOI-02,2024,2024-07-20,17,5,0,0,1.0,4775,1
sentinel2,AOI-02,2024,2024-07-31,17,4,0,0,1.0,4434,1
sentinel2,AOI-02,2024,2024-08-10,17,8,0,0,1.0,6287,1
sentinel2,AOI-02,2025,2025-07-20,20,10,0,0,1.0,6328,1
sentinel2,AOI-02,2025,2025-07-31,20,5,0,0,1.0,1366,1
sentinel2,AOI-02,2025,2025-08-10,20,5,0,0,1.0,4943,1
sentinel2,AOI-03,2021,2021-07-20,8,4,0,0,1.0,6534,1
sentinel2,AOI-03,2021,2021-07-31,8,2,0,0,1.0,3216,1
sentinel2,AOI-03,2021,2021-08-10,8,2,0,0,1.0,2630,1
sentinel2,AOI-03,2022,2022-07-20,9,3,0,0,1.0,6239,1
sentinel2,AOI-03,2022,2022-07-31,9,2,0,0,1.0,4571,1
sentinel2,AOI-03,2022,2022-08-10,9,4,0,0,1.0,4841,1
sentinel2,AOI-03,2023,2023-07-20,6,3,0,0,1.0,1490,1
sentinel2,AOI-03,2023,2023-07-31,6,1,0,0,1.0,0,1
sentinel2,AOI-03,2023,2023-08-10,6,2,0,0,1.0,5661,1
sentinel2,AOI-03,2024,2024-07-20,7,2,0,0,1.0,2596,1
sentinel2,AOI-03,2024,2024-07-31,7,2,0,0,1.0,826,1
sentinel2,AOI-03,2024,2024-08-10,7,3,0,0,1.0,6522,1
sentinel2,AOI-03,2025,2025-07-20,9,5,0,0,1.0,5783,1
sentinel2,AOI-03,2025,2025-07-31,9,2,0,0,1.0,2793,1
sentinel2,AOI-03,2025,2025-08-10,9,2,0,0,1.0,2014,1
landsat,AOI-00,2021,2021-07-20,9,3,0,0,1.0,5626,1
landsat,AOI-00,2021,2021-07-31,9,3,0,0,1.0,1548,1
landsat,AOI-00,2021,2021-08-10,9,3,0,0,1.0,5505,1
landsat,AOI-00,2022,2022-07-20,15,7,0,0,1.0,6647,1
landsat,AOI-00,2022,2022-07-31,15,3,0,0,1.0,5809,1
landsat,AOI-00,2022,2022-08-10,15,5,0,0,1.0,703,1
landsat,AOI-00,2023,2023-07-20,16,9,0,0,1.0,6104,1
landsat,AOI-00,2023,2023-07-31,16,1,0,0,1.0,0,1
landsat,AOI-00,2023,2023-08-10,16,6,0,0,1.0,6737,1
landsat,AOI-00,2024,2024-07-20,16,6,0,0,1.0,5925,1
landsat,AOI-00,2024,2024-07-31,16,4,0,0,1.0,6247,1
landsat,AOI-00,2024,2024-08-10,16,6,0,0,1.0,6748,1
landsat,AOI-00,2025,2025-07-20,18,9,0,0,1.0,6696,1
landsat,AOI-00,2025,2025-07-31,18,3,0,0,1.0,6687,1
landsat,AOI-00,2025,2025-08-10,18,6,0,0,1.0,6634,1
landsat,AOI-01,2021,2021-07-20,9,3,0,0,1.0,2406,1
landsat,AOI-01,2021,2021-07-31,9,2,0,0,1.0,2243,1
landsat,AOI-01,2021,2021-08-10,9,4,0,0,1.0,6499,1
landsat,AOI-01,2022,2022-07-20,15,5,0,0,1.0,2011,1
landsat,AOI-01,2022,2022-07-31,15,4,0,0,1.0,1268,1
landsat,AOI-01,2022,2022-08-10,15,6,0,0,1.0,6430,1
landsat,AOI-01,2023,2023-07-20,14,5,0,0,1.0,6624,1
landsat,AOI-01,2023,2023-07-31,14,4,0,0,1.0,1956,1
landsat,AOI-01,2023,2023-08-10,14,5,0,0,1.0,6625,1
landsat,AOI-01,2024,2024-07-20,17,7,0,0,1.0,6468,1
landsat,AOI-01,2024,2024-07-31,17,3,0,0,1.0,1934,1
landsat,AOI-01,2024,2024-08-10,17,7,0,0,1.0,2460,1
landsat,AOI-01,2025,2025-07-20,18,8,0,0,1.0,4818,1
landsat,AOI-01,2025,2025-07-31,18,4,0,0,1.0,2357,1
landsat,AOI-01,2025,2025-08-10,18,6,0,0,1.0,2426,1
landsat,AOI-02,2021,2021-07-20,4,2,0,0,1.0,94,1
landsat,AOI-02,2021,2021-07-31,4,1,0,0,1.0,0,1
landsat,AOI-02,2021,2021-08-10,4,1,0,0,1.0,0,1
landsat,AOI-02,2022,2022-07-20,11,3,0,0,1.0,512,1
landsat,AOI-02,2022,2022-07-31,11,4,0,0,1.0,3149,1
landsat,AOI-02,2022,2022-08-10,11,4,0,0,1.0,1119,1
landsat,AOI-02,2023,2023-07-20,9,3,0,0,1.0,218,1
landsat,AOI-02,2023,2023-07-31,9,2,0,0,1.0,99,1
landsat,AOI-02,2023,2023-08-10,9,4,0,0,1.0,264,1
landsat,AOI-02,2024,2024-07-20,10,5,0,0,1.0,583,1
landsat,AOI-02,2024,2024-07-31,10,1,0,0,1.0,0,1
landsat,AOI-02,2024,2024-08-10,10,4,0,0,1.0,938,1
landsat,AOI-02,2025,2025-07-20,7,3,0,0,1.0,504,1
landsat,AOI-02,2025,2025-07-31,7,2,0,0,1.0,1231,1
landsat,AOI-02,2025,2025-08-10,7,2,0,0,1.0,0,1
landsat,AOI-03,2021,2021-07-20,5,2,0,0,1.0,4,1
landsat,AOI-03,2021,2021-07-31,5,0,0,0,1.0,0,0
landsat,AOI-03,2021,2021-08-10,5,3,0,0,1.0,669,1
landsat,AOI-03,2022,2022-07-20,15,5,0,0,1.0,5978,1
landsat,AOI-03,2022,2022-07-31,15,4,0,0,1.0,2478,1
landsat,AOI-03,2022,2022-08-10,15,6,0,0,1.0,1574,1
landsat,AOI-03,2023,2023-07-20,15,9,0,0,1.0,3346,1
landsat,AOI-03,2023,2023-07-31,15,2,0,0,1.0,16,1
landsat,AOI-03,2023,2023-08-10,15,4,0,0,1.0,5490,1
landsat,AOI-03,2024,2024-07-20,14,5,0,0,1.0,3007,1
landsat,AOI-03,2024,2024-07-31,14,3,0,0,1.0,585,1
landsat,AOI-03,2024,2024-08-10,14,6,0,0,1.0,6542,1
landsat,AOI-03,2025,2025-07-20,18,8,0,0,1.0,4237,1
landsat,AOI-03,2025,2025-07-31,18,3,0,0,1.0,502,1
landsat,AOI-03,2025,2025-08-10,18,7,0,0,1.0,4583,1
modis,AOI-00,2021,2021-07-20,7,2,1,0,0.8571428571428571,4683,1
modis,AOI-00,2021,2021-07-31,7,2,1,0,0.8571428571428571,634,1
modis,AOI-00,2021,2021-08-10,7,2,1,0,0.8571428571428571,6494,1
modis,AOI-00,2022,2022-07-20,7,2,1,0,0.8571428571428571,415,1
modis,AOI-00,2022,2022-07-31,7,2,1,0,0.8571428571428571,6751,1
modis,AOI-00,2022,2022-08-10,7,2,1,0,0.8571428571428571,3566,1
modis,AOI-00,2023,2023-07-20,7,2,1,0,0.8571428571428571,6748,1
modis,AOI-00,2023,2023-07-31,7,2,1,0,0.8571428571428571,6752,1
modis,AOI-00,2023,2023-08-10,7,2,1,0,0.8571428571428571,6543,1
modis,AOI-00,2024,2024-07-20,7,2,1,0,0.8571428571428571,4682,1
modis,AOI-00,2024,2024-07-31,7,2,1,0,0.8571428571428571,4778,1
modis,AOI-00,2024,2024-08-10,7,2,1,0,0.8571428571428571,6752,1
modis,AOI-00,2025,2025-07-20,7,2,1,0,0.8571428571428571,6752,1
modis,AOI-00,2025,2025-07-31,7,2,1,0,0.8571428571428571,6651,1
modis,AOI-00,2025,2025-08-10,7,2,1,0,0.8571428571428571,5238,1
modis,AOI-01,2021,2021-07-20,7,2,1,0,0.8571428571428571,5050,1
modis,AOI-01,2021,2021-07-31,7,2,1,0,0.8571428571428571,6626,1
modis,AOI-01,2021,2021-08-10,7,2,1,0,0.8571428571428571,6600,1
modis,AOI-01,2022,2022-07-20,7,2,1,0,0.8571428571428571,6626,1
modis,AOI-01,2022,2022-07-31,7,2,1,0,0.8571428571428571,6626,1
modis,AOI-01,2022,2022-08-10,7,2,1,0,0.8571428571428571,6557,1
modis,AOI-01,2023,2023-07-20,7,2,1,0,0.8571428571428571,6585,1
modis,AOI-01,2023,2023-07-31,7,2,1,0,0.8571428571428571,6537,1
modis,AOI-01,2023,2023-08-10,7,2,1,0,0.8571428571428571,6613,1
modis,AOI-01,2024,2024-07-20,7,2,1,0,0.8571428571428571,6553,1
modis,AOI-01,2024,2024-07-31,7,2,1,0,0.8571428571428571,6615,1
modis,AOI-01,2024,2024-08-10,7,2,1,0,0.8571428571428571,6608,1
modis,AOI-01,2025,2025-07-20,7,2,1,0,0.8571428571428571,6487,1
modis,AOI-01,2025,2025-07-31,7,2,1,0,0.8571428571428571,6604,1
modis,AOI-01,2025,2025-08-10,7,2,1,0,0.8571428571428571,6623,1
modis,AOI-02,2021,2021-07-20,7,2,1,0,0.8571428571428571,1592,1
modis,AOI-02,2021,2021-07-31,7,2,1,0,0.8571428571428571,6,1
modis,AOI-02,2021,2021-08-10,7,2,1,0,0.8571428571428571,174,1
modis,AOI-02,2022,2022-07-20,7,2,1,0,0.8571428571428571,5188,1
modis,AOI-02,2022,2022-07-31,7,2,1,0,0.8571428571428571,45,1
modis,AOI-02,2022,2022-08-10,7,2,1,0,0.8571428571428571,5179,1
modis,AOI-02,2023,2023-07-20,7,2,1,0,0.8571428571428571,1883,1
modis,AOI-02,2023,2023-07-31,7,2,1,0,0.8571428571428571,0,1
modis,AOI-02,2023,2023-08-10,7,2,1,0,0.8571428571428571,468,1
modis,AOI-02,2024,2024-07-20,7,2,1,0,0.8571428571428571,0,1
modis,AOI-02,2024,2024-07-31,7,2,1,0,0.8571428571428571,5161,1
modis,AOI-02,2024,2024-08-10,7,2,1,0,0.8571428571428571,6336,1
modis,AOI-02,2025,2025-07-20,7,2,1,0,0.8571428571428571,136,1
modis,AOI-02,2025,2025-07-31,7,2,1,0,0.8571428571428571,1781,1
modis,AOI-02,2025,2025-08-10,7,2,1,0,0.8571428571428571,273,1
modis,AOI-03,2021,2021-07-20,7,2,1,0,0.8571428571428571,1361,1
modis,AOI-03,2021,2021-07-31,7,2,1,0,0.8571428571428571,3528,1
modis,AOI-03,2021,2021-08-10,7,2,1,0,0.8571428571428571,3829,1
modis,AOI-03,2022,2022-07-20,7,2,1,0,0.8571428571428571,78,1
modis,AOI-03,2022,2022-07-31,7,2,1,0,0.8571428571428571,3655,1
modis,AOI-03,2022,2022-08-10,7,2,1,0,0.8571428571428571,1491,1
modis,AOI-03,2023,2023-07-20,7,2,1,0,0.8571428571428571,2245,1
modis,AOI-03,2023,2023-07-31,7,2,1,0,0.8571428571428571,2372,1
modis,AOI-03,2023,2023-08-10,7,2,1,0,0.8571428571428571,4472,1
modis,AOI-03,2024,2024-07-20,7,2,1,0,0.8571428571428571,906,1
modis,AOI-03,2024,2024-07-31,7,2,1,0,0.8571428571428571,5430,1
modis,AOI-03,2024,2024-08-10,7,2,1,0,0.8571428571428571,6542,1
modis,AOI-03,2025,2025-07-20,7,2,1,0,0.8571428571428571,3499,1
modis,AOI-03,2025,2025-07-31,7,2,1,0,0.8571428571428571,3638,1
modis,AOI-03,2025,2025-08-10,7,2,1,0,0.8571428571428571,5425,1
