AOI,sensor,target_year,contrast,mean_difference_RMSE_primary,mean_difference_RMSE_sensitivity,block_contrast_direction_changed
AOI-00,landsat,2024,1y_vs_2y,0.0006368629674129,-0.0008291283830777,True
AOI-00,landsat,2024,1y_vs_3y,0.0010314995164105,0.0002623549373246,False
AOI-00,landsat,2024,2y_vs_3y,0.0003946365489976,0.0010914833204024,False
AOI-00,landsat,2025,1y_vs_2y,0.0032157462577057,0.0021027384342453,False
AOI-00,landsat,2025,1y_vs_3y,0.0033603162016452,0.0031469904174724,False
AOI-00,landsat,2025,2y_vs_3y,0.0001445699439395,0.0010442519832271,False
AOI-00,modis,2024,1y_vs_2y,0.0002866288611451,0.000157812260319,False
AOI-00,modis,2024,1y_vs_3y,0.0010849266791654,0.0001875163096618,False
AOI-00,modis,2024,2y_vs_3y,0.0007982978180202,2.9704049342810696e-05,False
AOI-00,modis,2025,1y_vs_2y,0.002263268784309,0.0011955846324076,False
AOI-00,modis,2025,1y_vs_3y,0.0025130056926483,0.0011850248491366,False
AOI-00,modis,2025,2y_vs_3y,0.0002497369083393,-1.0559783271048356e-05,True
AOI-00,sentinel2,2024,1y_vs_2y,0.0002962054975239,0.0001000751715473,False
AOI-00,sentinel2,2024,1y_vs_3y,-0.0001693026500797,-0.0023382234580035,False
AOI-00,sentinel2,2024,2y_vs_3y,-0.0004655081476036,-0.0024382986295508,False
AOI-00,sentinel2,2025,1y_vs_2y,0.00077698213129,0.0010571738426356,False
AOI-00,sentinel2,2025,1y_vs_3y,0.0008350780013897,0.0019755688324701,False
AOI-00,sentinel2,2025,2y_vs_3y,5.809587009968131e-05,0.0009183949898345,False
AOI-01,landsat,2024,1y_vs_2y,3.510114377702064e-05,6.076580444760074e-06,False
AOI-01,landsat,2024,1y_vs_3y,5.0842880641894537e-05,2.461174190952549e-05,False
AOI-01,landsat,2024,2y_vs_3y,1.5741736864873894e-05,1.8535161464765415e-05,False
AOI-01,landsat,2025,1y_vs_2y,8.972865900384038e-06,5.558648388053625e-06,False
AOI-01,landsat,2025,1y_vs_3y,2.074563365622045e-05,1.0716896029460468e-05,False
AOI-01,landsat,2025,2y_vs_3y,1.1772767755836411e-05,5.158247641406842e-06,False
AOI-01,modis,2024,1y_vs_2y,-2.1760944662685023e-05,-1.724615164778201e-05,False
AOI-01,modis,2024,1y_vs_3y,1.5164467131642173e-05,1.118629718198893e-05,False
AOI-01,modis,2024,2y_vs_3y,3.692541179432719e-05,2.8432448829770935e-05,False
AOI-01,modis,2025,1y_vs_2y,2.991307772738953e-05,2.846786233290662e-05,False
AOI-01,modis,2025,1y_vs_3y,3.701490649663596e-05,3.3202662329268536e-05,False
AOI-01,modis,2025,2y_vs_3y,7.101828769246423e-06,4.7347999963619104e-06,False
