AOI,sensor,primary_history,primary_preferred_RMSE,sensitivity_history,sensitivity_preferred_RMSE,history_changed,rolling_origin_direction_changed
AOI-00,landsat,W2023,0.0476226610050057,W2022,0.0492297588303295,True,False
AOI-00,modis,W2022_2023,0.0388677931786501,W2023,0.0418347022994977,True,False
AOI-00,sentinel2,W2022,0.0630834398164498,W2022,0.0727859818139534,False,False
AOI-01,landsat,W2023,0.0013556186888521,W2023,0.0012098680224037,False,False
AOI-01,modis,W2022,0.0013974994908815,W2022,0.0014037569395782,False,False
AOI-01,sentinel2,W2022,0.001324261768048,W2023,0.0013354750127916,True,False
AOI-02,landsat,W2022,0.0564231055150082,W2022_2023,0.057445153399661,True,True
AOI-02,modis,W2023,0.0481532800249521,W2022_2023,0.0563666402504544,True,False
AOI-02,sentinel2,W2022_2024,0.0584417571152951,W2022_2024,0.0596448274340375,False,False
AOI-03,landsat,W2022,0.0352532708179777,W2022,0.0367796409806039,False,False
AOI-03,modis,W2024,0.0282901187305938,W2023,0.0320985275017847,True,True
AOI-03,sentinel2,W2022,0.0395187606541772,W2024,0.0417760053410692,True,True
