sensor,AOI,year,original_source_observation_count,assigned_count,rejected_count,duplicate_source_identities,resulting_composite_count,resulting_paired_identity_count,retention_fraction,2021_07_20,2021_07_31,2021_08_10,2022_07_20,2022_07_31,2022_08_10,2023_07_20,2023_07_31,2023_08_10,2024_07_20,2024_07_31,2024_08_10,2025_07_20,2025_07_31,2025_08_10
landsat,AOI-00,2021,9,9,0,0,3,12679,1.0,3.0,3.0,3.0,,,,,,,,,,,,
landsat,AOI-00,2022,15,15,0,0,3,13159,1.0,,,,7.0,3.0,5.0,,,,,,,,,
landsat,AOI-00,2023,16,16,0,0,3,12841,1.0,,,,,,,9.0,1.0,6.0,,,,,,
landsat,AOI-00,2024,16,16,0,0,3,18920,1.0,,,,,,,,,,6.0,4.0,6.0,,,
landsat,AOI-00,2025,18,18,0,0,3,20017,1.0,,,,,,,,,,,,,9.0,3.0,6.0
landsat,AOI-01,2021,9,9,0,0,3,11148,1.0,3.0,2.0,4.0,,,,,,,,,,,,
landsat,AOI-01,2022,15,15,0,0,3,9709,1.0,,,,5.0,4.0,6.0,,,,,,,,,
landsat,AOI-01,2023,14,14,0,0,3,15205,1.0,,,,,,,5.0,4.0,5.0,,,,,,
landsat,AOI-01,2024,17,17,0,0,3,10862,1.0,,,,,,,,,,7.0,3.0,7.0,,,
landsat,AOI-01,2025,18,18,0,0,3,9601,1.0,,,,,,,,,,,,,8.0,4.0,6.0
landsat,AOI-02,2021,4,4,0,0,3,94,1.0,2.0,1.0,1.0,,,,,,,,,,,,
landsat,AOI-02,2022,11,11,0,0,3,4780,1.0,,,,3.0,4.0,4.0,,,,,,,,,
landsat,AOI-02,2023,9,9,0,0,3,581,1.0,,,,,,,3.0,2.0,4.0,,,,,,
landsat,AOI-02,2024,10,10,0,0,3,1521,1.0,,,,,,,,,,5.0,1.0,4.0,,,
landsat,AOI-02,2025,7,7,0,0,3,1735,1.0,,,,,,,,,,,,,3.0,2.0,2.0
landsat,AOI-03,2021,5,5,0,0,2,673,1.0,2.0,0.0,3.0,,,,,,,,,,,,
landsat,AOI-03,2022,15,15,0,0,3,10030,1.0,,,,5.0,4.0,6.0,,,,,,,,,
landsat,AOI-03,2023,15,15,0,0,3,8852,1.0,,,,,,,9.0,2.0,4.0,,,,,,
landsat,AOI-03,2024,14,14,0,0,3,10134,1.0,,,,,,,,,,5.0,3.0,6.0,,,
