AOI,sensor,Sensor,target_year,quantile_configuration,lower_percentile,upper_percentile,NDVI_low,NDVI_high,endpoint_gap,target_evaluation_pairs,unique_target_identities,nominal_dates_pooled,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE,MAE,Bias,R2,Pearson_r,n,input_source
AOI-00,sentinel2,Sentinel-2,2025,P1/P99,1,99,0.14791751384735102,0.7869107556343079,0.6389932417869568,19233,19233,3,193,193,0.010034835959028753,0.010034835959028753,0.020069671918057506,0.19726126145237333,0.17697930266502143,0.15564864280401763,-3.0532189811054273,0.8027471399764217,19233,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,sentinel2,Sentinel-2,2025,P2/P98,2,98,0.2307401186227798,0.7759096360206604,0.5451695173978807,19233,19233,3,385,385,0.020017677949357875,0.020017677949357875,0.04003535589871575,0.19362760866320924,0.17064962493414884,0.13001303384174565,-2.905269588407172,0.7924197456514931,19233,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,sentinel2,Sentinel-2,2025,P5/P95,5,95,0.37795531749725336,0.7560681581497191,0.3781128406524657,19233,19233,3,962,962,0.05001819788904487,0.05001819788904487,0.10003639577808975,0.20844583786525042,0.17774888851171336,0.05920552339268073,-3.5258787126673266,0.752308936662688,19233,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,sentinel2,Sentinel-2,2025,P10/P90,10,90,0.4700280666351318,0.7340076565742493,0.26397958993911746,19233,19233,3,1924,1923,0.10003639577808975,0.09998440180939011,0.20002079758747984,0.2585272037851962,0.22123719557906435,-0.0008326106832527352,-5.961918798583502,0.7045834619030857,19233,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,landsat,Landsat 8/9,2025,P1/P99,1,99,0.22259246557950968,0.7869962453842163,0.5644037798047066,20251,20251,3,203,203,0.010024196335983409,0.010024196335983409,0.020048392671966817,0.22781037809218446,0.21730824544204194,0.2051689000893809,-4.374953633393891,0.873663381940861,20251,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,landsat,Landsat 8/9,2025,P2/P98,2,98,0.3052623271942138,0.7761353254318237,0.4708729982376099,20251,20251,3,405,405,0.019999012394449657,0.019999012394449657,0.039998024788899314,0.2206458381603489,0.20764673308483905,0.18514225919059737,-4.042189838490499,0.8695898825020659,20251,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,landsat,Landsat 8/9,2025,P5/P95,5,95,0.4636481255292892,0.7610898911952972,0.29744176566600805,20251,20251,3,1013,1013,0.05002222112488272,0.05002222112488272,0.10004444224976544,0.20613163518261005,0.18069389203943298,0.10628317159625683,-3.4006518283735394,0.8457031037026776,20251,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,landsat,Landsat 8/9,2025,P10/P90,10,90,0.5628260970115662,0.7457691431045532,0.18294304609298706,20251,20251,3,2025,2025,0.09999506197224828,0.09999506197224828,0.19999012394449656,0.24520696247470994,0.20791549040300425,0.016961399083549177,-5.2272070727036795,0.804288071622409,20251,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,modis,MODIS,2025,P1/P99,1,99,0.30655363649129863,0.8063594818115234,0.49980584532022476,20256,20256,3,203,203,0.01002172195892575,0.01002172195892575,0.0200434439178515,0.2076360020202522,0.19578614987963555,0.18608877795195294,-3.441403792220875,0.9175116410292206,20256,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,modis,MODIS,2025,P2/P98,2,98,0.3920171052217484,0.7969791352748872,0.4049620300531388,20256,20256,3,406,406,0.0200434439178515,0.0200434439178515,0.040086887835703,0.19479936598548703,0.17777127714947594,0.15384488795004217,-2.9092191810924892,0.9110437563186726,20256,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,modis,MODIS,2025,P5/P95,5,95,0.5188936442136765,0.7829141914844513,0.26402054727077484,20256,20256,3,1013,1013,0.050009873617693525,0.050009873617693525,0.10001974723538705,0.19541867177026936,0.16543713405187038,0.07114116403184344,-2.9341150575569137,0.8799306704001204,20256,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-00,modis,MODIS,2025,P10/P90,10,90,0.5890694558620453,0.7697160542011261,0.1806465983390808,20256,20256,3,2026,2026,0.10001974723538705,0.10001974723538705,0.2000394944707741,0.24363463203865265,0.20660074718564692,-0.0014081560058431626,-5.114951084616731,0.8395849268748005,20256,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,sentinel2,Sentinel-2,2025,P1/P99,1,99,0.012013977831229488,0.05231882583349937,0.04030484800226988,19878,19878,3,199,199,0.010011067511822114,0.010011067511822114,0.02002213502364423,0.4215170929939064,0.3780390419001119,0.3780390419001119,-58503.88035499042,0.4564345211452563,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,sentinel2,Sentinel-2,2025,P2/P98,2,98,0.014187069945037302,0.046379034966230345,0.03219196502119304,19878,19878,3,398,398,0.02002213502364423,0.02002213502364423,0.04004427004728846,0.4622008420289593,0.40422948613583953,0.40422948613583953,-70342.371409829,0.41618898042594044,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,sentinel2,Sentinel-2,2025,P5/P95,5,95,0.016528908163309,0.04054343961179253,0.024014531448483527,19878,19878,3,993,994,0.04995472381527317,0.05000503068719187,0.09995975450246504,0.5201812611149803,0.4398316448335586,0.4398312423785641,-89097.64944790496,0.3584979164327603,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,sentinel2,Sentinel-2,2025,P10/P90,10,90,0.01829095426946873,0.036805511265993074,0.018514556996524344,19878,19878,3,1988,1988,0.10001006137438374,0.10001006137438374,0.2000201227487675,0.5686111524234547,0.46764321803004255,0.4676428155750481,-106460.47073456804,0.3091627885188121,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,landsat,Landsat 8/9,2025,P1/P99,1,99,0.034777249880135,0.07839691489934907,0.04361966501921406,14738,14738,3,148,148,0.01004206812321889,0.01004206812321889,0.02008413624643778,0.4859530740617822,0.4497006854956851,0.4497006854956851,-80855.44863863358,0.42259234214629876,14738,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
