AOI,sensor,Sensor,quantile_configuration,NDVI_low,NDVI_high,target_evaluation_pairs,unique_target_identities,RMSE_DPM,MAE_DPM,Bias_DPM,R2_DPM,Pearson_r_DPM,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,OLS_history,slope,intercept,RMSE_OLS,MAE_OLS,Bias_OLS,R2_OLS,Pearson_r_OLS,Delta_RMSE_DPM_minus_OLS,Delta_MAE_DPM_minus_OLS,RMSE_ratio_DPM_over_OLS
AOI-00,landsat,Landsat 8/9,P5/P95,0.4636481255292892,0.7610898911952972,20251,20251,0.20613163518261005,0.18069389203943298,0.10628317159625683,-3.4006518283735394,0.8457031037026776,1013,1013,0.05002222112488272,0.05002222112488272,W2023,0.8544793879372266,0.0011015203776342,0.0476226610050057,0.0388853851637769,-0.003141279440335,0.7651151369039468,0.8753008071620674,0.15850897417760434,0.14180850687565608,4.328435892335861
AOI-01,landsat,Landsat 8/9,P1/P99,0.034777249880135,0.07839691489934907,14738,14738,0.4859530740617822,0.4497006854956851,0.4497006854956851,-80855.44863863358,0.42259234214629876,148,148,0.01004206812321889,0.01004206812321889,W2023,0.1095402120280271,-0.005685602641599,0.0013556186888521,0.0006013871447245,0.0001330803360065,0.3707820696504035,0.6489570632237263,0.4845974553729301,0.4490992983509606,358.4732772261156
AOI-02,landsat,Landsat 8/9,P1/P99,0.1478291302919387,0.792552639245987,7600,7600,0.21109203456999545,0.19111693803430752,0.18667518835591002,-0.904330328400681,0.9293838407852004,75,76,0.009868421052631578,0.01,W2022,0.977813455251819,-0.0789307780039256,0.0564231055150082,0.043486605363749,0.0022533289255756,0.8639456084714267,0.9296188720290788,0.15466892905498725,0.14763033267055853,3.741233890677043
AOI-03,landsat,Landsat 8/9,P1/P99,0.08307182326912874,0.588023054599762,14402,14402,0.20968661556984877,0.17404384057775252,0.1721940635101434,-3.301035143859089,0.9367238144676899,145,145,0.010068046104707679,0.010068046104707679,W2022,0.8794830332519278,-0.0769441523345696,0.0352532708179777,0.025386190696769,8.771279047055058e-05,0.8784288833879982,0.937320338978168,0.17443334475187106,0.1486576498809835,5.948004559705062
AOI-00,modis,MODIS,P2/P98,0.3920171052217484,0.7969791352748872,20256,20256,0.19479936598548703,0.17777127714947594,0.15384488795004217,-2.9092191810924892,0.9110437563186726,406,406,0.0200434439178515,0.0200434439178515,W2022_2023,0.9987877562275846,-0.1157767353605744,0.0388677931786501,0.030956751110787,-0.000584499604653,0.8443695012741552,0.9189381442753438,0.15593157280683692,0.14681452603868894,5.011845285121292
AOI-01,modis,MODIS,P1/P99,0.04321985449641936,0.0838610455393791,19878,19878,0.430312700519638,0.38158584412794777,0.38158584412794777,-60970.944165668996,0.4695808650765571,199,198,0.010011067511822114,0.00996076063990341,W2022,0.0956840411553286,-0.0052895165780591,0.0013974994908815,0.0005742492357957,0.000156116145249,0.3569199582033443,0.6717992420444419,0.42891520102875647,0.3810115948921521,307.9161769484509
AOI-02,modis,MODIS,P1/P99,0.171018176972866,0.8072793000936508,16568,16568,0.20397915114597817,0.18630986170598415,0.18333536345147775,-0.46928696210156406,0.9587242139286205,166,166,0.010019314340898117,0.010019314340898117,W2023,1.0997951923976506,-0.1675155461141249,0.0481532800249521,0.0369956926189654,0.0029303274317861,0.9181183068195168,0.958805308505012,0.15582587112102608,0.14931416908701875,4.236038563526308
AOI-03,modis,MODIS,P1/P99,0.10157324656844137,0.561350684762001,17860,17860,0.21934072284940936,0.18995053593356045,0.18946377438738654,-3.552454367944451,0.9652768034497318,179,179,0.010022396416573348,0.010022396416573348,W2024,0.942723602090946,-0.1077609596947245,0.0282901187305938,0.0203832113381556,-0.0042599772311234,0.924268492688769,0.966580831796315,0.19105060411881555,0.16956732459540486,7.753262718272285
AOI-00,sentinel2,Sentinel-2,P2/P98,0.2307401186227798,0.7759096360206604,19233,19233,0.19362760866320924,0.17064962493414884,0.13001303384174565,-2.905269588407172,0.7924197456514931,385,385,0.020017677949357875,0.020017677949357875,W2022,0.6763205577731803,0.129900026751047,0.0630834398164498,0.0511500297482146,-0.0248776567617562,0.5854783780909002,0.8066320310505886,0.13054416884675946,0.11949959518593424,3.069388879658373
AOI-01,sentinel2,Sentinel-2,P1/P99,0.012013977831229488,0.05231882583349937,19878,19878,0.4215170929939064,0.3780390419001119,0.3780390419001119,-58503.88035499042,0.4564345211452563,199,199,0.010011067511822114,0.010011067511822114,W2022,0.073623000758823,-0.0021717558867151,0.001324261768048,0.0003503229565036,-0.0001709651314889,0.4225566335891377,0.8388369819179768,0.4201928312258584,0.3776887189436083,318.3034526589367
AOI-02,sentinel2,Sentinel-2,P1/P99,0.07076966293156144,0.8029259586334225,18534,18534,0.18003465544546748,0.15596130853190032,0.1429300399631854,-0.11815333070964451,0.9392304962915059,186,186,0.010035610229847848,0.010035610229847848,W2022_2024,0.8715566589278798,0.0186985409460812,0.0584417571152951,0.0450129782798967,-0.0025459797177648,0.8821754830274435,0.9394120392862396,0.1215928983301724,0.11094833025200362,3.080582520650285
AOI-03,sentinel2,Sentinel-2,P1/P99,0.04284177660942071,0.5620108699798576,18857,18857,0.20747311030282772,0.1720028710863279,0.16925277678157652,-3.1541137592256803,0.9223120313530705,189,189,0.010022803203054568,0.010022803203054568,W2022,0.8372042917999825,-0.0373421478103083,0.0395187606541772,0.027358606903054,-0.0020530110517562,0.8492832978981008,0.9221149698776744,0.16795434964865052,0.1446442641832739,5.249990305070396
