aoi_id,role,area_km2,expected_5km_block_count,geometry_version,centroid_lon,centroid_lat,elevation_median_m,elevation_iqr_m,elevation_range_m,slope_median_degrees,terrain_ruggedness_m,dem_items,tree_fraction,shrub_fraction,grassland_fraction,cropland_fraction,built_fraction,bare_sparse_fraction,snow_ice_fraction,water_fraction,wetland_fraction,mangrove_fraction,moss_lichen_fraction,vegetation_fraction,worldcover_items,historical_ndvi_median,historical_ndvi_iqr,historical_ndvi_years,historical_ndvi_items
AOI-00,original,583.1314166091697,39,aoi00-immutable-v1,99.5126037664068,38.038743681478,3865.489501953125,110.48095703125,289.755126953125,1.6944177150726318,1.56591796875,2,0.0,0.0,0.9496844319775596,0.0,0.0002990677336853,0.0349187360778813,5.1563402359541295e-05,0.0096217308802904,0.000670324230674,0.0,0.0047541456975497,0.9551089019057832,1,0.7000000000000001,0.041475,4,4
AOI-C01,candidate,583.1314165790752,39,translated-aoi00-shape-v1,101.40000048043044,37.50000021473519,3160.934326171875,233.640869140625,571.350341796875,5.622920989990234,5.0701904296875,1,0.0019347309802636966,0.0,0.6451867168946033,0.27560191630497094,0.010861108836295144,0.029328064859552864,0.0,0.0328597166489231,0.0018733109491442142,0.0,0.002354434526246827,0.651349193350258,1,0.760275,0.01868750000000008,4,4
AOI-C02,candidate,583.1314165069136,39,translated-aoi00-shape-v1,100.10000158457063,36.20000072172151,2945.354736328125,111.1767578125,216.93115234375,0.9682643413543701,0.9886474609375,2,0.0,0.0,0.4384599137020609,0.07577723464389527,0.00023133480180642307,0.47674079438359335,0.0,0.008458807318226165,0.00033191515041791137,0.0,0.0,0.4387918288524788,1,0.21715,0.07942500000000002,4,4
AOI-C03,candidate,583.1314165069764,39,translated-aoi00-shape-v1,98.40000158457063,36.2000007217215,3715.70947265625,330.570068359375,1043.1376953125,11.426450729370117,11.656494140625,1,9.052231375033946e-05,0.0,0.787453607314203,0.0004827856733351438,0.0,0.19782142964907518,0.0,0.002936946179455458,0.0,0.0,0.011214708870180943,0.7987588384981342,1,0.35625,0.03402499999999997,4,4
AOI-C04,candidate,583.1314164577324,39,translated-aoi00-shape-v1,99.30000230682596,35.30000106400584,4250.00927734375,261.54248046875,649.54052734375,12.515878677368164,12.437255859375,1,0.00010910966513251864,3.9676241866370415e-05,0.7490378511347405,0.0,0.0024896841771147437,0.13059435010315823,0.0,0.08427233772417077,0.00028765275353118553,0.0,0.03316933820028567,0.7826436279955562,1,0.47905,0.03282500000000005,4,4
AOI-C05,candidate,583.1314164251306,39,translated-aoi00-shape-v1,98.20000277068755,34.70000128847819,4250.77392578125,82.7451171875,172.06591796875,3.452476739883423,3.253173828125,1,0.0,0.0,0.7592114596469105,0.0,0.002236365069356873,0.09704051071878941,0.0,0.11334528688524591,0.028166377679697353,0.0,0.0,0.7873778373266078,1,0.42505000000000004,0.024999999999999967,4,4
AOI-C06,candidate,583.1314163448723,39,translated-aoi00-shape-v1,96.8000038737463,33.20000183748169,4628.20361328125,384.2900390625,816.322265625,21.093521118164062,21.66748046875,1,0.00014522218995062446,0.00013554071062058282,0.8207377287249492,0.0,6.777035531029141e-05,0.06070287539936102,0.0,0.0,6.777035531029141e-05,0.0,0.11814309226449801,0.9392293542453287,1,0.7294,0.021824999999999983,4,4
AOI-C07,candidate,583.1314163289553,39,translated-aoi00-shape-v1,95.60000408531165,32.9000019453025,4551.08740234375,366.47998046875,843.74951171875,21.262577056884766,22.752685546875,2,1.9279338333108406e-05,0.0002409917291638551,0.8084308546530683,0.0,0.00012531569916520466,0.09470974956139505,0.0,0.0033256858624612,0.0,0.0,0.09314812315641327,0.9018392488769785,2,0.616525,0.04698750000000007,4,4
AOI-C08,candidate,583.1314163981984,39,translated-aoi00-shape-v1,95.80000314707081,34.20000147336552,4433.59716796875,375.36669921875,740.78173828125,10.13749885559082,9.8587646484375,1,0.0,0.0,0.8607696838798351,0.0,0.0034262713528372276,0.10266051443157274,0.0,0.013037502454349106,0.00042214804633811115,0.0,0.01968387983506774,0.8808757117612409,1,0.5588,0.010050000000000003,4,4
AOI-C09,candidate,583.1314164794978,39,translated-aoi00-shape-v1,97.2000019898594,35.700000912723965,4686.14794921875,391.4140625,802.1435546875,12.240899085998535,12.059814453125,1,0.0,0.0,0.34617267667835694,0.0,0.0,0.5002447968186405,0.0001398838963660162,6.99419481830081e-05,0.0,0.0,0.1533727006584535,0.4995453773368104,1,0.24320000000000003,0.015174999999999994,4,4
AOI-C10,candidate,583.1314165235634,39,translated-aoi00-shape-v1,93.50000133638132,36.50000060607925,3232.8759765625,172.8291015625,425.0283203125,4.515046119689941,4.3555908203125,1,0.0,9.085586222213249e-05,0.0005451351733327949,0.0,0.0,0.9993640089644451,0.0,0.0,0.0,0.0,0.0,0.0006359910355549274,1,0.0609,0.0022000000000000075,4,4
