application,comparison,method,sensor,status,strategy,task_id
applications/2025/sentinel2/2022,comparisons/2025/sentinel2/2022,regression,sentinel2,completed,2022,new-sentinel2-2022
applications/2025/sentinel2/2023,comparisons/2025/sentinel2/2023,regression,sentinel2,completed,2023,new-sentinel2-2023
applications/2025/sentinel2/2024,comparisons/2025/sentinel2/2024,regression,sentinel2,completed,2024,new-sentinel2-2024
applications/2025/sentinel2/2022-2023,comparisons/2025/sentinel2/2022-2023,regression,sentinel2,completed,2022-2023,new-sentinel2-2022-2023
applications/2025/sentinel2/2023-2024,comparisons/2025/sentinel2/2023-2024,regression,sentinel2,completed,2023-2024,new-sentinel2-2023-2024
applications/2025/sentinel2/2022-2024,comparisons/2025/sentinel2/2022-2024,regression,sentinel2,completed,2022-2024,new-sentinel2-2022-2024
applications/2025/sentinel2/formula-p5-p95,comparisons/2025/sentinel2/formula-p5-p95,formula,sentinel2,completed,formula-p5-p95,new-sentinel2-formula-p5-p95
applications/2025/landsat/2022,comparisons/2025/landsat/2022,regression,landsat,completed,2022,new-landsat-2022
applications/2025/landsat/2023,comparisons/2025/landsat/2023,regression,landsat,completed,2023,new-landsat-2023
applications/2025/landsat/2024,comparisons/2025/landsat/2024,regression,landsat,completed,2024,new-landsat-2024
applications/2025/landsat/2022-2023,comparisons/2025/landsat/2022-2023,regression,landsat,completed,2022-2023,new-landsat-2022-2023
applications/2025/landsat/2023-2024,comparisons/2025/landsat/2023-2024,regression,landsat,completed,2023-2024,new-landsat-2023-2024
applications/2025/landsat/2022-2024,comparisons/2025/landsat/2022-2024,regression,landsat,completed,2022-2024,new-landsat-2022-2024
applications/2025/landsat/formula-p5-p95,comparisons/2025/landsat/formula-p5-p95,formula,landsat,completed,formula-p5-p95,new-landsat-formula-p5-p95
applications/2025/modis/2022,comparisons/2025/modis/2022,regression,modis,completed,2022,new-modis-2022
applications/2025/modis/2023,comparisons/2025/modis/2023,regression,modis,completed,2023,new-modis-2023
applications/2025/modis/2024,comparisons/2025/modis/2024,regression,modis,completed,2024,new-modis-2024
applications/2025/modis/2022-2023,comparisons/2025/modis/2022-2023,regression,modis,completed,2022-2023,new-modis-2022-2023
applications/2025/modis/2023-2024,comparisons/2025/modis/2023-2024,regression,modis,completed,2023-2024,new-modis-2023-2024
applications/2025/modis/2022-2024,comparisons/2025/modis/2022-2024,regression,modis,completed,2022-2024,new-modis-2022-2024
applications/2025/modis/formula-p5-p95,comparisons/2025/modis/formula-p5-p95,formula,modis,completed,formula-p5-p95,new-modis-formula-p5-p95
